mc	mn	timesig	onset	staff	voice	label
1	1	6/8	0	1	1	.F.I{
3	3	6/8	3/8	1	1	I6
4	4	6/8	0	1	1	ii65
4	4	6/8	3/8	1	1	I64
5	5	6/8	0	1	1	iv6
5	5	6/8	1/4	1	1	V(64)
5	5	6/8	3/8	1	1	iv6
5	5	6/8	5/8	1	1	V(64)
6	6	6/8	0	1	1	viio7/V
6	6	6/8	3/8	1	1	V}
7	7	6/8	0	1	1	I{
9	9	6/8	3/8	1	1	I6
10	10	6/8	0	1	1	ii65
10	10	6/8	3/8	1	1	I64
11	11	6/8	0	1	1	iv6
11	11	6/8	1/4	1	1	V(64)
11	11	6/8	3/8	1	1	iv6
11	11	6/8	5/8	1	1	V(64)
12	12	6/8	0	1	1	viio7/V
12	12	6/8	3/8	1	1	viio64
13	13	6/8	0	1	1	#viio65/ii
13	13	6/8	3/8	1	1	ii6
14	14	6/8	0	1	1	V7
14	14	6/8	3/8	1	1	I}
14	14	6/8	1/2	1	1	V{
15	15	6/8	0	1	1	V7
16	16	6/8	0	1	1	I
17	17	6/8	0	1	1	V7
18	18	6/8	0	1	1	I(#11)
18	18	6/8	3/8	1	1	I
19	19	6/8	0	1	1	V7
20	20	6/8	0	1	1	I
21	21	6/8	0	1	1	V7
22	22	6/8	0	1	1	I}
22	22	6/8	1/4	1	1	I6{
22	22	6/8	3/8	1	1	ii6
22	22	6/8	5/8	1	1	V6/V
23	23	6/8	0	1	1	iii6
23	23	6/8	1/4	1	1	V6/vi
23	23	6/8	3/8	1	1	IV6
23	23	6/8	5/8	1	1	viio
24	24	6/8	0	1	1	V2
25	25	6/8	0	1	1	I6
25	25	6/8	3/8	1	1	V(64)
25	25	6/8	5/8	1	1	#viio7/vi
26	26	6/8	0	1	1	vi(64)
26	26	6/8	3/8	1	1	vi
27	27	6/8	1/4	1	1	I6
27	27	6/8	3/8	1	1	ii6
27	27	6/8	5/8	1	1	V6/V
28	28	6/8	0	1	1	iii6
28	28	6/8	1/4	1	1	V6/vi
28	28	6/8	3/8	1	1	IV6
28	28	6/8	5/8	1	1	viio
29	29	6/8	0	1	1	V2
30	30	6/8	0	1	1	I6
30	30	6/8	3/8	1	1	IV
31	31	6/8	0	1	1	V(64)
31	31	6/8	3/8	1	1	V7
32	32	6/8	0	1	1	I[I}
32	32	6/8	3/8	1	1	V43
33	33	6/8	0	1	1	I
33	33	6/8	3/8	1	1	V43
34	34	6/8	0	1	1	I
