mc	mn	timesig	onset	staff	voice	label
1	1	4/4	0	1	1	.a.i[i{
2	2	4/4	0	1	1	V43
3	3	4/4	0	1	1	i
4	4	4/4	0	1	1	V43
5	5	4/4	0	1	1	i]
6	6	4/4	0	1	1	iv(9#7)
6	6	4/4	1/4	1	1	iv65
6	6	4/4	1/2	1	1	VII
7	7	4/4	0	1	1	III(7#2)
7	7	4/4	1/4	1	1	IIIM65
7	7	4/4	1/2	1	1	VI
8	8	4/4	1/4	1	1	iio6
8	8	4/4	1/2	1	1	V(64)
8	8	4/4	3/4	1	1	V7
9	9	4/4	0	1	1	i[i}{
10	10	4/4	0	1	1	#viio65
11	11	4/4	0	1	1	i]
12	12	4/4	0	1	1	V43/VI
13	13	4/4	0	1	1	VI
13	13	4/4	1/4	1	1	iv6
13	13	4/4	1/2	1	1	V43/iv
14	14	4/4	0	1	1	IV
14	14	4/4	1/4	1	1	V65/III
14	14	4/4	1/2	1	1	III(#9)
14	14	4/4	3/4	1	1	i
15	15	4/4	0	1	1	III.ii6
15	15	4/4	3/4	1	1	viio/V
16	16	4/4	0	1	1	V[V}{
16	16	4/4	1/2	1	1	i
16	16	4/4	3/4	1	1	V7
17	17	4/4	0	1	1	i
17	17	4/4	3/4	1	1	viio43/V
18	18	4/4	0	1	1	V
18	18	4/4	1/2	1	1	i
18	18	4/4	3/4	1	1	V7
19	19	4/4	0	1	1	i
19	19	4/4	3/4	1	1	viio43/V
20	20	4/4	0	1	1	V]
20	20	4/4	1/4	1	1	i
20	20	4/4	1/2	1	1	V
20	20	4/4	3/4	1	1	i
21	21	4/4	0	1	1	V
21	21	4/4	1/4	1	1	i
21	21	4/4	1/2	1	1	V
21	21	4/4	5/8	1	1	i
21	21	4/4	3/4	1	1	V
21	21	4/4	7/8	1	1	i
22	22	4/4	0	1	1	V}
22	22	4/4	5/8	1	1	{
23	23	4/4	0	1	1	I6
24	24	4/4	0	1	1	ii
25	25	4/4	0	1	1	V7
26	26	4/4	0	1	1	I
27	27	4/4	0	1	1	I6
28	28	4/4	0	1	1	ii6
29	29	4/4	0	1	1	I6(2)
29	29	4/4	1/2	1	1	I6
30	30	4/4	0	1	1	ii7
30	30	4/4	1/4	1	1	ii6
30	30	4/4	1/2	1	1	V
30	30	4/4	3/4	1	1	V65
31	31	4/4	0	1	1	I
31	31	4/4	1/4	1	1	V43
31	31	4/4	1/2	1	1	I6
31	31	4/4	3/4	1	1	V65/IV
32	32	4/4	0	1	1	IV
32	32	4/4	3/8	1	1	ii6
