mc	mn	timesig	onset	staff	voice	label
1	1	4/4	0	1	1	.Eb.I{
1	1	4/4	1/2	1	1	V(64)
1	1	4/4	3/4	1	1	V
2	2	4/4	0	1	1	I
2	2	4/4	1/4	1	1	V
2	2	4/4	1/2	1	1	I
3	3	4/4	1/4	1	1	ii
3	3	4/4	1/2	1	1	V(64)}
3	3	4/4	3/4	1	1	V
4	4	4/4	0	1	1	I{
4	4	4/4	1/2	1	1	V(64)
4	4	4/4	3/4	1	1	V7
5	5	4/4	0	1	1	I
5	5	4/4	1/4	1	1	V
5	5	4/4	1/2	1	1	I
6	6	4/4	0	1	1	V+6/IV
6	6	4/4	3/4	1	1	IV
7	7	4/4	0	1	1	I6
7	7	4/4	1/4	1	1	V(64)
7	7	4/4	3/8	1	1	V7(4)
7	7	4/4	7/16	1	1	V7
7	7	4/4	1/2	1	1	I}
8	8	4/4	0	1	1	V.I{
8	8	4/4	1/2	1	1	V(64)
8	8	4/4	3/4	1	1	V
8	8	4/4	7/8	1	1	V7(9)
9	9	4/4	0	1	1	V
9	9	4/4	1/8	1	1	V7(9)
9	9	4/4	1/4	1	1	V
9	9	4/4	1/2	1	1	I(974)}
9	9	4/4	3/4	1	1	I
9	9	4/4	7/8	1	1	I6{
10	10	4/4	1/2	1	1	IV
11	11	4/4	0	1	1	V7
11	11	4/4	1/2	1	1	vi(#4)
11	11	4/4	5/8	1	1	vi
12	12	4/4	0	1	1	I6
12	12	4/4	1/4	1	1	#viio65/ii
12	12	4/4	1/2	1	1	ii6
12	12	4/4	3/4	1	1	viio7/V
13	13	4/4	0	1	1	V(64)
13	13	4/4	1/4	1	1	V
13	13	4/4	1/2	1	1	I}
13	13	4/4	3/4	1	1	V7
14	14	4/4	0	1	1	I
14	14	4/4	1/4	1	1	V7
14	14	4/4	1/2	1	1	I
14	14	4/4	3/4	1	1	V7
15	15	4/4	0	1	1	I
15	15	4/4	3/8	1	1	V7
15	15	4/4	1/2	1	1	I
15	15	4/4	5/8	1	1	V7
15	15	4/4	3/4	1	1	I
15	15	4/4	7/8	1	1	V7
16	16	4/4	0	1	1	I
16	16	4/4	1/8	1	1	I.ii43
16	16	4/4	3/8	1	1	ii%43
16	16	4/4	1/2	1	1	V7
17	17	4/4	0	1	1	I{
17	17	4/4	1/2	1	1	V(64)
17	17	4/4	3/4	1	1	V7
18	18	4/4	0	1	1	I
18	18	4/4	1/4	1	1	V
18	18	4/4	1/2	1	1	I
19	19	4/4	9/32	1	1	ii
19	19	4/4	1/2	1	1	V(64)}
19	19	4/4	3/4	1	1	V
20	20	4/4	0	1	1	I{
20	20	4/4	1/2	1	1	V(64)
20	20	4/4	3/4	1	1	V
21	21	4/4	0	1	1	I
21	21	4/4	1/4	1	1	V
21	21	4/4	1/2	1	1	I
22	22	4/4	0	1	1	V+6/IV
22	22	4/4	1/2	1	1	V+65/IV
22	22	4/4	3/4	1	1	IV
23	23	4/4	0	1	1	I6
23	23	4/4	1/4	1	1	V(64)
23	23	4/4	3/8	1	1	V7(4)
23	23	4/4	7/16	1	1	V7
23	23	4/4	1/2	1	1	I}
24	24	4/4	0	1	1	IV.I{
24	24	4/4	1/4	1	1	I(94)
24	24	4/4	1/2	1	1	I
24	24	4/4	3/4	1	1	V7
25	25	4/4	0	1	1	I
