mc	mn	timesig	onset	staff	voice	label
1	0	2/4	0	1	1	.C.V{
2	1	2/4	0	1	1	I6
2	1	2/4	1/4	1	1	I
3	2	2/4	0	1	1	viio
3	2	2/4	1/4	1	1	V7
4	3	2/4	0	1	1	I
4	3	2/4	1/4	1	1	IV
4	3	2/4	3/8	1	1	V65/V
5	4	2/4	0	1	1	V}
6	5	2/4	0	1	1	I6{
6	5	2/4	1/4	1	1	I
7	6	2/4	0	1	1	viio
7	6	2/4	1/4	1	1	V7
8	7	2/4	0	1	1	I
8	7	2/4	1/4	1	1	V65
9	8	2/4	0	1	1	I
9	8	2/4	1/4	1	1	V65
10	9	2/4	0	1	1	I
10	9	2/4	1/8	1	1	I6
10	9	2/4	1/4	1	1	ii6
10	9	2/4	3/8	1	1	V
11	10	2/4	0	1	1	I}
11	10	2/4	3/8	1	1	{
12	11	2/4	0	1	1	I
13	12	2/4	0	1	1	V6
15	14	2/4	0	1	1	V.V43
16	15	2/4	0	1	1	V7
17	16	2/4	0	1	1	vi
17	16	2/4	1/4	1	1	iii6
18	17	2/4	0	1	1	ii6
18	17	2/4	3/8	1	1	V65/V
19	18	2/4	0	1	1	V}
19	18	2/4	1/4	1	1	V2{
19	18	2/4	3/8	1	1	I6
20	19	2/4	0	1	1	V64
20	19	2/4	1/8	1	1	I
20	19	2/4	1/4	1	1	V65
20	19	2/4	3/8	1	1	I
21	20	2/4	0	1	1	V}
21	20	2/4	1/4	1	1	V2{
21	20	2/4	3/8	1	1	I6
22	21	2/4	0	1	1	V64
22	21	2/4	1/8	1	1	I
22	21	2/4	1/4	1	1	V65
22	21	2/4	3/8	1	1	I
23	22	2/4	0	1	1	V}
23	22	2/4	3/8	1	1	{
25	24	2/4	0	1	1	vi
25	24	2/4	1/4	1	1	viio6/V
25	24	2/4	3/8	1	1	V
26	25	2/4	0	1	1	iii6
27	26	2/4	0	1	1	IV
27	26	2/4	1/4	1	1	ii6
27	26	2/4	3/8	1	1	I6
29	28	2/4	0	1	1	ii
29	28	2/4	1/4	1	1	viio6
29	28	2/4	3/8	1	1	I
30	29	2/4	0	1	1	IV
30	29	2/4	1/4	1	1	viio/V
31	30	2/4	0	1	1	V}
31	30	2/4	3/8	1	1	i
32	31	2/4	0	1	1	V
32	31	2/4	3/8	1	1	i
33	32	2/4	0	1	1	V
33	32	2/4	1/8	1	1	{
34	33	2/4	0	1	1	I
34	33	2/4	1/8	1	1	I6
34	33	2/4	1/4	1	1	IV
34	33	2/4	3/8	1	1	V
35	34	2/4	0	1	1	vi
35	34	2/4	1/8	1	1	IV6
35	34	2/4	1/4	1	1	iii6
35	34	2/4	3/8	1	1	ii6
36	35	2/4	0	1	1	I6
36	35	2/4	1/8	1	1	viio6
36	35	2/4	1/4	1	1	vi6
36	35	2/4	3/8	1	1	V6
37	36	2/4	0	1	1	IV6
37	36	2/4	1/8	1	1	iii6
37	36	2/4	1/4	1	1	ii6
37	36	2/4	3/8	1	1	I6
38	37	2/4	0	1	1	IV
38	37	2/4	1/4	1	1	V(64)
38	37	2/4	3/8	1	1	V
39	38	2/4	0	1	1	I}
39	38	2/4	1/4	1	1	IV6{
40	39	2/4	0	1	1	I64
40	39	2/4	1/4	1	1	ii65
41	40	2/4	0	1	1	I6
41	40	2/4	1/4	1	1	IV6
42	41	2/4	0	1	1	I64
42	41	2/4	1/4	1	1	ii65
43	42	2/4	0	1	1	I6
43	42	2/4	1/4	1	1	IV6
44	43	2/4	0	1	1	V(64)
44	43	2/4	1/4	1	1	ii65
45	44	2/4	0	1	1	I6
45	44	2/4	1/4	1	1	ii6
46	45	2/4	0	1	1	V(64)
46	45	2/4	1/4	1	1	V7
47	46	2/4	0	1	1	I}{
48	47	2/4	0	1	1	viio6/V
48	47	2/4	1/4	1	1	viio
48	47	2/4	3/8	1	1	I
49	48	2/4	0	1	1	ii6
50	49	2/4	0	1	1	V(64)
50	49	2/4	1/4	1	1	V
51	50	2/4	0	1	1	I}{
52	51	2/4	0	1	1	viio6/V
52	51	2/4	1/4	1	1	viio
52	51	2/4	3/8	1	1	I
53	52	2/4	0	1	1	ii6
54	53	2/4	0	1	1	V(64)
54	53	2/4	1/4	1	1	V
55	54	2/4	0	1	1	I}
55	54	2/4	1/4	1	1	V7
56	55	2/4	0	1	1	I
56	55	2/4	1/4	1	1	V7
57	56	2/4	0	1	1	I
58	56	2/4	0	1	1	{
60	58	2/4	0	1	1	I6
60	58	2/4	1/4	1	1	vii%7/V
60	58	2/4	3/8	1	1	V
61	59	2/4	0	1	1	iii6
62	60	2/4	0	1	1	vi6
62	60	2/4	1/4	1	1	#viio7/iii
62	60	2/4	3/8	1	1	iii
63	61	2/4	0	1	1	V65/IV
63	61	2/4	1/4	1	1	IV
64	62	2/4	0	1	1	vi.i
64	62	2/4	3/8	1	1	V}{
66	64	2/4	0	1	1	i
66	64	2/4	1/4	1	1	#viio43/v
66	64	2/4	3/8	1	1	v6
67	65	2/4	0	1	1	III
68	66	2/4	0	1	1	VI
68	66	2/4	1/4	1	1	vii%43/III
68	66	2/4	3/8	1	1	III6
69	67	2/4	0	1	1	i
70	68	2/4	0	1	1	iv
70	68	2/4	1/4	1	1	#viio43
70	68	2/4	3/8	1	1	i6
71	69	2/4	0	1	1	.It6
72	70	2/4	0	1	1	V
73	71	2/4	0	1	1	.It6
74	72	2/4	0	1	1	V[V}
74	72	2/4	1/8	1	1	i
74	72	2/4	1/4	1	1	V
74	72	2/4	3/8	1	1	i
75	73	2/4	0	1	1	V
75	73	2/4	1/8	1	1	i
75	73	2/4	1/4	1	1	V
75	73	2/4	3/8	1	1	i
76	74	2/4	0	1	1	V
76	74	2/4	1/8	1	1	i
76	74	2/4	1/4	1	1	V
