mc	mn	timesig	onset	staff	voice	label
1	1	4/4	0	1	1	.c.i{
3	3	4/4	0	1	1	i6
4	4	4/4	0	1	1	#viio65
5	5	4/4	0	1	1	V
7	7	4/4	0	1	1	#viio65
8	8	4/4	0	1	1	i6
9	9	4/4	0	1	1	V[V
9	9	4/4	3/4	1	1	V(64)
10	10	4/4	0	1	1	viio7/V
10	10	4/4	1/4	1	1	V7
10	10	4/4	1/2	1	1	I6(2)
10	10	4/4	3/4	1	1	i6
11	11	4/4	0	1	1	V7(4)
11	11	4/4	1/4	1	1	V7
11	11	4/4	3/4	1	1	V(64)
12	12	4/4	0	1	1	viio2/V
12	12	4/4	1/4	1	1	V7
12	12	4/4	1/2	1	1	I(2)
12	12	4/4	3/4	1	1	i
13	13	4/4	0	1	1	V(4)
13	13	4/4	1/4	1	1	V]
13	13	4/4	1/2	1	1	#viio43
14	14	4/4	0	1	1	i6(#762)
14	14	4/4	1/4	1	1	i6
14	14	4/4	1/2	1	1	V65
15	15	4/4	0	1	1	i
15	15	4/4	1/2	1	1	#viio43
16	16	4/4	0	1	1	i6(#762)
16	16	4/4	1/4	1	1	i6
16	16	4/4	1/2	1	1	#viio6
17	17	4/4	0	1	1	i
17	17	4/4	1/2	1	1	iio6
18	18	4/4	0	1	1	V(64)
18	18	4/4	1/2	1	1	V7
19	19	4/4	0	1	1	i}
21	21	4/4	0	1	1	III.V7
23	23	4/4	0	1	1	I{
23	23	4/4	1/2	1	1	V43
23	23	4/4	3/4	1	1	V2
24	24	4/4	0	1	1	I6
24	24	4/4	1/4	1	1	I
24	24	4/4	1/2	1	1	V6
24	24	4/4	3/4	1	1	V7
25	25	4/4	0	1	1	I
25	25	4/4	1/2	1	1	V43
25	25	4/4	3/4	1	1	V2
26	26	4/4	0	1	1	I6
26	26	4/4	1/4	1	1	I
26	26	4/4	1/2	1	1	V6
26	26	4/4	3/4	1	1	V7
27	27	4/4	0	1	1	I
27	27	4/4	1/2	1	1	V6
28	28	4/4	0	1	1	vi7
29	29	4/4	0	1	1	V43/V
30	30	4/4	0	1	1	V(2)}
30	30	4/4	1/4	1	1	V
30	30	4/4	1/2	1	1	iv6-It6
31	31	4/4	0	1	1	V
31	31	4/4	1/2	1	1	iv6-It6
32	32	4/4	0	1	1	V
32	32	4/4	1/2	1	1	iv6-It6
33	33	4/4	0	1	1	V
33	33	4/4	1/4	1	1	iv6-It6
33	33	4/4	1/2	1	1	V
33	33	4/4	3/4	1	1	iv6-It6
34	34	4/4	0	1	1	V
35	35	4/4	0	1	1	V7
36	36	4/4	0	1	1	I6{
36	36	4/4	1/2	1	1	V64
36	36	4/4	3/4	1	1	I6
37	37	4/4	0	1	1	#viio6/ii
37	37	4/4	1/2	1	1	V2
38	38	4/4	3/4	1	1	I6
39	39	4/4	0	1	1	V65(4)
39	39	4/4	1/2	1	1	V65
40	40	4/4	0	1	1	V6
40	40	4/4	1/2	1	1	vi7
40	40	4/4	3/4	1	1	V6
41	41	4/4	0	1	1	V+6
41	41	4/4	1/2	1	1	I
42	42	4/4	0	1	1	I64
42	42	4/4	3/4	1	1	I6
43	43	4/4	0	1	1	V43
43	43	4/4	1/2	1	1	I}
44	44	4/4	0	1	1	{
44	44	4/4	1/2	1	1	.It6/ii
45	45	4/4	0	1	1	V/ii
45	45	4/4	1/4	1	1	#viio43/ii
46	46	4/4	0	1	1	ii6
47	47	4/4	0	1	1	V(64)
47	47	4/4	1/2	1	1	V7(4)
47	47	4/4	3/4	1	1	#viio7/vi
48	48	4/4	0	1	1	vi
49	49	4/4	0	1	1	I
49	49	4/4	1/2	1	1	.It6/ii
50	50	4/4	0	1	1	V/ii
50	50	4/4	1/4	1	1	#viio43/ii
51	51	4/4	0	1	1	ii6
52	52	4/4	0	1	1	ii
56	56	4/4	0	1	1	ii6
56	56	4/4	1/2	1	1	viio7/V
57	57	4/4	0	1	1	V(64)
58	58	4/4	1/2	1	1	V7(4)
58	58	4/4	3/4	1	1	V7
59	59	4/4	0	1	1	I}{
59	59	4/4	1/2	1	1	V65
60	60	4/4	0	1	1	I
60	60	4/4	1/2	1	1	viio6
61	61	4/4	0	1	1	I6
61	61	4/4	1/2	1	1	IV
62	62	4/4	0	1	1	V(64)
62	62	4/4	1/2	1	1	V7(4)
62	62	4/4	3/4	1	1	V7
63	63	4/4	0	1	1	I}{
63	63	4/4	1/2	1	1	V65
64	64	4/4	0	1	1	I
64	64	4/4	1/2	1	1	V43
65	65	4/4	0	1	1	I6
66	66	4/4	0	1	1	IV
66	66	4/4	1/2	1	1	V(64)
66	66	4/4	3/4	1	1	V7
67	67	4/4	0	1	1	I[I}{
67	67	4/4	3/4	1	1	V+7/IV
68	68	4/4	0	1	1	IV
68	68	4/4	3/4	1	1	viio6
69	69	4/4	0	1	1	I
69	69	4/4	3/4	1	1	V+7/IV
70	70	4/4	0	1	1	IV
70	70	4/4	3/4	1	1	viio6
71	71	4/4	0	1	1	I]}
74	74	4/4	0	1	1	V7(+b9)/vi
75	75	4/4	0	1	1	iv.V{
77	77	4/4	0	1	1	#viio43
79	79	4/4	0	1	1	i}{
79	79	4/4	1/2	1	1	V43
80	80	4/4	0	1	1	i6
80	80	4/4	1/4	1	1	i
80	80	4/4	1/2	1	1	V6
80	80	4/4	3/4	1	1	V7
81	81	4/4	0	1	1	i
81	81	4/4	1/2	1	1	V43
82	82	4/4	0	1	1	i6
82	82	4/4	1/4	1	1	i
82	82	4/4	1/2	1	1	V6
82	82	4/4	3/4	1	1	V7
83	83	4/4	0	1	1	i}{
85	85	4/4	0	1	1	i.V7/v
87	87	4/4	0	1	1	v
89	89	4/4	0	1	1	#viio43
91	91	4/4	0	1	1	i6
93	93	4/4	0	1	1	V65
94	94	4/4	1/4	1	1	V7
95	95	4/4	0	1	1	#viio65
96	96	4/4	0	1	1	#viio7
99	99	4/4	0	1	1	V65}
100	100	4/4	0	1	1	i{
102	102	4/4	0	1	1	i6
103	103	4/4	0	1	1	#viio65
