mc	mn	timesig	onset	staff	voice	label
1	1	3/4	0	1	1	.G.I{
1	1	3/4	1/2	1	1	V43
2	2	3/4	0	1	1	I
3	3	3/4	0	1	1	IV64
3	3	3/4	1/2	1	1	I(6#4#2)
4	4	3/4	0	1	1	I
5	5	3/4	0	1	1	V43
6	6	3/4	0	1	1	I
6	6	3/4	1/4	1	1	vi
6	6	3/4	1/2	1	1	I6
7	7	3/4	0	1	1	ii6
7	7	3/4	1/4	1	1	IV
7	7	3/4	1/2	1	1	IV6
8	8	3/4	0	1	1	V(64)}
8	8	3/4	1/4	1	1	V
9	9	3/4	0	1	1	I{
9	9	3/4	1/2	1	1	V43
10	10	3/4	0	1	1	I
11	11	3/4	0	1	1	IV64
11	11	3/4	1/2	1	1	I(6#4#2)
12	12	3/4	0	1	1	I
13	13	3/4	0	1	1	V43
14	14	3/4	0	1	1	I
14	14	3/4	1/4	1	1	vi
14	14	3/4	1/2	1	1	I6
15	15	3/4	0	1	1	ii6
15	15	3/4	1/4	1	1	V(64)
15	15	3/4	1/2	1	1	V7
16	16	3/4	0	1	1	I(974)}
16	16	3/4	1/4	1	1	I
17	17	3/4	0	1	1	V.I{
18	18	3/4	0	1	1	V43
19	19	3/4	0	1	1	V65
20	20	3/4	0	1	1	I
20	20	3/4	1/4	1	1	IM2
20	20	3/4	1/2	1	1	IV6
21	21	3/4	0	1	1	I64
21	21	3/4	1/4	1	1	viio64
21	21	3/4	1/2	1	1	I6
22	22	3/4	0	1	1	ii64
22	22	3/4	1/4	1	1	#viio64/ii
22	22	3/4	1/2	1	1	ii6
23	23	3/4	0	1	1	V(64)
23	23	3/4	1/2	1	1	V7
24	24	3/4	0	1	1	I(974)}
24	24	3/4	1/4	1	1	I
25	25	3/4	0	1	1	I.I{
25	25	3/4	1/2	1	1	V43
26	26	3/4	0	1	1	I
27	27	3/4	0	1	1	IV64
27	27	3/4	1/2	1	1	I(6#4#2)
28	28	3/4	0	1	1	I
29	29	3/4	0	1	1	V43
30	30	3/4	0	1	1	I
30	30	3/4	1/4	1	1	vi
30	30	3/4	1/2	1	1	I6
31	31	3/4	0	1	1	ii6
31	31	3/4	1/4	1	1	V(64)
31	31	3/4	1/2	1	1	V7
32	32	3/4	0	1	1	I(974)}
32	32	3/4	1/4	1	1	I
33	33	3/4	0	1	1	i.i{
33	33	3/4	1/2	1	1	V43
34	34	3/4	0	1	1	i
35	35	3/4	0	1	1	V6
35	35	3/4	1/2	1	1	V7
36	36	3/4	0	1	1	i
36	36	3/4	1/2	1	1	VI6
37	37	3/4	0	1	1	.bIII.V6
38	38	3/4	0	1	1	I
38	38	3/4	1/4	1	1	vi
38	38	3/4	1/2	1	1	I6
39	39	3/4	0	1	1	ii6
39	39	3/4	1/4	1	1	V(64)
39	39	3/4	1/2	1	1	V7
40	40	3/4	0	1	1	I(974)}
40	40	3/4	1/4	1	1	I
41	41	3/4	0	1	1	iv.iv6{
41	41	3/4	1/4	1	1	V7
41	41	3/4	1/2	1	1	V2
42	42	3/4	0	1	1	i6
42	42	3/4	1/4	1	1	V43
42	42	3/4	1/2	1	1	i
43	43	3/4	0	1	1	i.viio7/V
43	43	3/4	1/4	1	1	i64
43	43	3/4	1/2	1	1	.Ger6
44	44	3/4	0	1	1	V(#764)}
44	44	3/4	1/4	1	1	V
45	45	3/4	0	1	1	#viio43{
46	46	3/4	0	1	1	i6
47	47	3/4	0	1	1	iio6
47	47	3/4	1/4	1	1	V(64)
47	47	3/4	1/2	1	1	V7
48	48	3/4	0	1	1	i(9#74)}
48	48	3/4	1/4	1	1	i
49	49	3/4	0	1	1	I.I{
49	49	3/4	1/2	1	1	V43
50	50	3/4	0	1	1	I
51	51	3/4	0	1	1	IV64
51	51	3/4	1/2	1	1	I(6#4#2)
52	52	3/4	0	1	1	I
53	53	3/4	0	1	1	V43
54	54	3/4	0	1	1	I
54	54	3/4	1/4	1	1	vi
54	54	3/4	1/2	1	1	I6
55	55	3/4	0	1	1	ii6
55	55	3/4	1/4	1	1	IV
55	55	3/4	1/2	1	1	IV6
56	56	3/4	0	1	1	V(64)}
56	56	3/4	1/4	1	1	V
57	57	3/4	0	1	1	I{
57	57	3/4	1/2	1	1	V43
58	58	3/4	0	1	1	I
59	59	3/4	0	1	1	IV64
59	59	3/4	1/2	1	1	I(6#4#2)
60	60	3/4	0	1	1	I
61	61	3/4	0	1	1	V43
62	62	3/4	0	1	1	I
62	62	3/4	1/4	1	1	vi
62	62	3/4	1/2	1	1	I6
63	63	3/4	0	1	1	ii6
63	63	3/4	1/4	1	1	V(64)
63	63	3/4	1/2	1	1	V7
64	64	3/4	0	1	1	I}
65	65	3/4	0	1	1	IV6/IV{
65	65	3/4	1/2	1	1	V65/IV
66	66	3/4	0	1	1	IV(#2)
66	66	3/4	1/4	1	1	IV
67	67	3/4	0	1	1	I6
67	67	3/4	1/8	1	1	ii6
67	67	3/4	1/4	1	1	V(64)
67	67	3/4	1/2	1	1	V7
68	68	3/4	0	1	1	I}
69	69	3/4	0	1	1	IV6/IV
69	69	3/4	1/4	1	1	V65/IV
69	69	3/4	1/2	1	1	V7/IV
70	70	3/4	0	1	1	IV
70	70	3/4	1/4	1	1	viio43
70	70	3/4	1/2	1	1	viio7/V
71	71	3/4	0	1	1	V(64)
71	71	3/4	1/2	1	1	V7
72	72	3/4	0	1	1	I}
72	72	3/4	5/8	1	1	V7
73	73	3/4	0	1	1	I
73	73	3/4	5/8	1	1	V7
74	74	3/4	0	1	1	I
