mc	mn	timesig	onset	staff	voice	label
1	1	4/4	0	1	1	.C.I{
2	2	4/4	0	1	1	V43
2	2	4/4	1/2	1	1	I
3	3	4/4	0	1	1	IV64
3	3	4/4	1/2	1	1	I
4	4	4/4	0	1	1	V6
4	4	4/4	1/4	1	1	V65
4	4	4/4	1/2	1	1	I}
5	5	4/4	0	1	1	IV{
6	6	4/4	0	1	1	I6
7	7	4/4	0	1	1	ii7
7	7	4/4	3/4	1	1	V43
8	8	4/4	0	1	1	I
9	9	4/4	0	1	1	ii6
10	10	4/4	0	1	1	IV
10	10	4/4	1/2	1	1	IV6
10	10	4/4	7/8	1	1	V65/V
11	11	4/4	0	1	1	V
11	11	4/4	1/4	1	1	V(64)
11	11	4/4	1/2	1	1	V
11	11	4/4	3/4	1	1	V(64)
12	12	4/4	0	1	1	V}
13	13	4/4	0	1	1	V.V{
13	13	4/4	1/2	1	1	V2
14	14	4/4	0	1	1	I6
15	15	4/4	0	1	1	V2(4)
15	15	4/4	1/4	1	1	V43
16	16	4/4	0	1	1	I6
17	17	4/4	0	1	1	V2(4)
17	17	4/4	1/4	1	1	V43
18	18	4/4	0	1	1	I6
18	18	4/4	1/2	1	1	IV
19	19	4/4	0	1	1	viio6
19	19	4/4	1/2	1	1	iii
20	20	4/4	0	1	1	vi6
20	20	4/4	1/2	1	1	ii
21	21	4/4	0	1	1	V6
21	21	4/4	1/2	1	1	I
22	22	4/4	0	1	1	ii6
24	24	4/4	0	1	1	V(64)
25	25	4/4	0	1	1	V7
26	26	4/4	0	1	1	I}
26	26	4/4	3/4	1	1	V7
27	27	4/4	0	1	1	I
27	27	4/4	3/4	1	1	V
28	28	4/4	0	1	1	I
29	29	4/4	0	1	1	v.i{
29	29	4/4	3/4	1	1	V7
30	30	4/4	0	1	1	i
30	30	4/4	3/4	1	1	V7
31	31	4/4	0	1	1	i
32	32	4/4	0	1	1	ii.V
33	33	4/4	0	1	1	i
33	33	4/4	3/4	1	1	V7
34	34	4/4	0	1	1	i
34	34	4/4	3/4	1	1	V7
35	35	4/4	0	1	1	i
36	36	4/4	0	1	1	vi.V6
37	37	4/4	0	1	1	i6
37	37	4/4	1/2	1	1	iv
38	38	4/4	0	1	1	V6/III
38	38	4/4	1/2	1	1	III
39	39	4/4	0	1	1	VI6
39	39	4/4	1/2	1	1	iio
40	40	4/4	0	1	1	V6
40	40	4/4	1/2	1	1	i
41	41	4/4	0	1	1	IV.IV6
41	41	4/4	1/2	1	1	V7
42	42	4/4	0	1	1	I}{
43	43	4/4	0	1	1	V43
43	43	4/4	1/2	1	1	I
44	44	4/4	0	1	1	IV64
44	44	4/4	1/2	1	1	I
45	45	4/4	0	1	1	V6
45	45	4/4	1/4	1	1	V65
45	45	4/4	1/2	1	1	I}
46	46	4/4	0	1	1	IV{
47	47	4/4	0	1	1	I6
48	48	4/4	0	1	1	ii7
48	48	4/4	3/4	1	1	V65
49	49	4/4	0	1	1	I
51	51	4/4	0	1	1	I.I6
52	52	4/4	0	1	1	ii7
52	52	4/4	3/4	1	1	V7
53	53	4/4	0	1	1	I
54	54	4/4	0	1	1	ii6
55	55	4/4	0	1	1	IV
55	55	4/4	1/2	1	1	IV6
55	55	4/4	7/8	1	1	V65/V
56	56	4/4	0	1	1	V
56	56	4/4	1/4	1	1	V(64)
56	56	4/4	1/2	1	1	V
56	56	4/4	3/4	1	1	V(64)
57	57	4/4	0	1	1	V}
58	58	4/4	0	1	1	{
58	58	4/4	1/2	1	1	V2
59	59	4/4	0	1	1	I6
60	60	4/4	0	1	1	V2(4)
60	60	4/4	1/4	1	1	V43
61	61	4/4	0	1	1	I6
62	62	4/4	0	1	1	V2(4)
62	62	4/4	1/4	1	1	V43
63	63	4/4	0	1	1	I6
63	63	4/4	1/2	1	1	IV
64	64	4/4	0	1	1	viio6
64	64	4/4	1/2	1	1	iii
65	65	4/4	0	1	1	vi6
65	65	4/4	1/2	1	1	ii
66	66	4/4	0	1	1	V6
66	66	4/4	1/2	1	1	I
67	67	4/4	0	1	1	ii6
68	68	4/4	0	1	1	viio7/V
69	69	4/4	0	1	1	V(64)
70	70	4/4	0	1	1	V7
71	71	4/4	0	1	1	I}
71	71	4/4	3/4	1	1	V7
72	72	4/4	0	1	1	I
72	72	4/4	3/4	1	1	V7
73	73	4/4	0	1	1	I
