mc	mn	timesig	onset	staff	voice	label
1	1	3/4	0	1	1	.F.I[I{
2	2	3/4	0	1	1	V7/IV
3	3	3/4	0	1	1	IV
3	3	3/4	1/2	1	1	ii6
4	4	3/4	0	1	1	viio6
5	5	3/4	0	1	1	I]
5	5	3/4	1/2	1	1	vi6
6	6	3/4	0	1	1	ii
6	6	3/4	1/4	1	1	V
7	7	3/4	0	1	1	I
7	7	3/4	1/4	1	1	I6
7	7	3/4	1/2	1	1	vi
8	8	3/4	0	1	1	ii7
8	8	3/4	1/4	1	1	V
9	9	3/4	0	1	1	I
9	9	3/4	1/4	1	1	IV6
9	9	3/4	1/2	1	1	IV
10	10	3/4	0	1	1	I6
10	10	3/4	1/2	1	1	vi
11	11	3/4	0	1	1	ii6
11	11	3/4	1/2	1	1	V7
12	12	3/4	0	1	1	I}
12	12	3/4	1/2	1	1	I6{
13	13	3/4	0	1	1	I
13	13	3/4	11/16	1	1	V
14	14	3/4	0	1	1	I6
15	15	3/4	0	1	1	V
16	16	3/4	1/4	1	1	I
16	16	3/4	1/2	1	1	I6
17	17	3/4	0	1	1	I
17	17	3/4	11/16	1	1	V
18	18	3/4	0	1	1	I6
19	19	3/4	0	1	1	V7
20	20	3/4	0	1	1	I}
20	20	3/4	1/2	1	1	V7
21	21	3/4	0	1	1	I
21	21	3/4	1/2	1	1	V7
22	22	3/4	0	1	1	I
22	22	3/4	1/2	1	1	V6/vi{
23	23	3/4	0	1	1	vi
25	25	3/4	0	1	1	#viio65/vi
27	27	3/4	0	1	1	vi6
29	29	3/4	0	1	1	V.viio65
31	31	3/4	0	1	1	i6
33	33	3/4	0	1	1	.bVI6
35	35	3/4	0	1	1	.Ger6
37	37	3/4	0	1	1	V}
37	37	3/4	1/2	1	1	i
38	38	3/4	0	1	1	V
38	38	3/4	1/2	1	1	i
39	39	3/4	0	1	1	V
41	41	3/4	0	1	1	I{
42	42	3/4	0	1	1	V7
43	43	3/4	0	1	1	I
43	43	3/4	1/4	1	1	I6
43	43	3/4	1/2	1	1	V
44	44	3/4	0	1	1	I(97)
44	44	3/4	1/2	1	1	I
45	45	3/4	0	1	1	IV6
46	46	3/4	0	1	1	V6
46	46	3/4	1/2	1	1	V65
47	47	3/4	0	1	1	I
47	47	3/4	1/4	1	1	IV6
47	47	3/4	1/2	1	1	ii6
48	48	3/4	0	1	1	V}
49	49	3/4	0	1	1	I{
50	50	3/4	0	1	1	V6
50	50	3/4	1/2	1	1	V65
51	51	3/4	0	1	1	I
51	51	3/4	1/4	1	1	I6
51	51	3/4	1/2	1	1	V
52	52	3/4	0	1	1	I(97)
52	52	3/4	1/2	1	1	I
53	53	3/4	0	1	1	IV6
54	54	3/4	0	1	1	V6
54	54	3/4	1/2	1	1	V65
55	55	3/4	0	1	1	I
55	55	3/4	1/4	1	1	ii6
55	55	3/4	1/2	1	1	V7
56	56	3/4	0	1	1	I}{
57	57	3/4	0	1	1	V7
58	58	3/4	0	1	1	i
59	59	3/4	0	1	1	V7
60	60	3/4	0	1	1	i
61	61	3/4	0	1	1	iv7
62	62	3/4	0	1	1	V7/bIII
63	63	3/4	0	1	1	.bIIIM7
64	64	3/4	0	1	1	.bVIM7
64	64	3/4	1/2	1	1	ii%7
65	65	3/4	1/4	1	1	V7
66	66	3/4	0	1	1	.bVI
66	66	3/4	1/4	1	1	i64
66	66	3/4	1/2	1	1	viio7/V
67	67	3/4	0	1	1	V}
67	67	3/4	5/8	1	1	viio7/V
68	68	3/4	0	1	1	V
68	68	3/4	5/8	1	1	viio7/V
69	69	3/4	0	1	1	V
71	71	3/4	0	1	1	IV{
72	72	3/4	1/2	1	1	I
73	73	3/4	0	1	1	V7
74	74	3/4	1/2	1	1	vi
75	75	3/4	0	1	1	ii6
75	75	3/4	1/4	1	1	V(64)
75	75	3/4	1/2	1	1	V
76	76	3/4	0	1	1	I}
77	77	3/4	0	1	1	IV64{
78	78	3/4	1/2	1	1	I
79	79	3/4	0	1	1	V7
80	80	3/4	1/2	1	1	vi
81	81	3/4	0	1	1	ii6
81	81	3/4	1/4	1	1	V(64)
81	81	3/4	1/2	1	1	viio64
82	82	3/4	0	1	1	I6
82	82	3/4	1/4	1	1	#viio7/vi
82	82	3/4	1/2	1	1	vi
83	83	3/4	0	1	1	ii6
83	83	3/4	1/4	1	1	V(64)
83	83	3/4	1/2	1	1	viio64
84	84	3/4	0	1	1	I6
84	84	3/4	1/4	1	1	#viio7/vi
84	84	3/4	1/2	1	1	vi
85	85	3/4	0	1	1	ii6
85	85	3/4	1/4	1	1	V(64)
85	85	3/4	1/2	1	1	V
86	86	3/4	0	1	1	I[I}{
87	87	3/4	1/2	1	1	V2(+4)
88	88	3/4	0	1	1	I
89	89	3/4	1/2	1	1	V2(+4)
90	90	3/4	0	1	1	I]
90	90	3/4	1/4	1	1	V6/vi
91	91	3/4	0	1	1	vi
91	91	3/4	1/4	1	1	I6
92	92	3/4	0	1	1	IV
92	92	3/4	1/4	1	1	V
93	93	3/4	0	1	1	I}
94	94	3/4	0	1	1	{
95	95	3/4	0	1	1	V(64)
95	95	3/4	1/2	1	1	V
96	96	3/4	0	1	1	I
97	97	3/4	0	1	1	V(64)
97	97	3/4	1/2	1	1	V
98	98	3/4	0	1	1	ii6
100	100	3/4	0	1	1	V7(9)
100	100	3/4	1/4	1	1	V7
101	101	3/4	0	1	1	I}
101	101	3/4	1/2	1	1	viio6
102	102	3/4	0	1	1	I{
103	103	3/4	0	1	1	V(64)
103	103	3/4	1/2	1	1	V
104	104	3/4	0	1	1	I
105	105	3/4	0	1	1	V(64)
105	105	3/4	1/2	1	1	V
106	106	3/4	0	1	1	ii6
108	108	3/4	0	1	1	V7(9)
108	108	3/4	1/4	1	1	V7
109	109	3/4	0	1	1	I}{
110	110	3/4	0	1	1	V7
111	111	3/4	0	1	1	i
112	112	3/4	0	1	1	V7
113	113	3/4	0	1	1	i
114	114	3/4	0	1	1	#viio65/v
115	115	3/4	0	1	1	v6
116	116	3/4	0	1	1	V65/v
117	117	3/4	0	1	1	v
118	118	3/4	0	1	1	vi.#viio65
119	119	3/4	0	1	1	i6
120	120	3/4	0	1	1	V65
121	121	3/4	0	1	1	i
122	122	3/4	0	1	1	.It6
123	123	3/4	0	1	1	V}
123	123	3/4	5/8	1	1	viio7/V
124	124	3/4	0	1	1	V
124	124	3/4	5/8	1	1	viio7/V
125	125	3/4	0	1	1	V
127	127	3/4	0	1	1	I.iii
129	129	3/4	0	1	1	V43
131	131	3/4	0	1	1	V7
133	133	3/4	0	1	1	I[I{
134	134	3/4	0	1	1	V7/IV
135	135	3/4	0	1	1	IV
135	135	3/4	1/2	1	1	ii6
136	136	3/4	0	1	1	viio6
137	137	3/4	0	1	1	I]
137	137	3/4	1/2	1	1	vi6
138	138	3/4	0	1	1	ii
138	138	3/4	1/4	1	1	V
139	139	3/4	0	1	1	I
139	139	3/4	1/4	1	1	I6
