mc	mn	timesig	onset	staff	voice	label
1	0	6/8	0	1	1	.D.I{
3	2	6/8	5/8	1	1	V2
4	3	6/8	0	1	1	I6
4	3	6/8	1/4	1	1	V6
4	3	6/8	3/8	1	1	I
4	3	6/8	5/8	1	1	ii6
5	4	6/8	0	1	1	V(64)}
5	4	6/8	3/8	1	1	V
5	4	6/8	5/8	1	1	ii{
7	6	6/8	5/8	1	1	#viio6/ii
8	7	6/8	0	1	1	ii6
8	7	6/8	5/8	1	1	V
9	8	6/8	0	1	1	I(94)}
9	8	6/8	3/8	1	1	I
9	8	6/8	5/8	1	1	{
11	10	6/8	0	1	1	V
11	10	6/8	5/8	1	1	V6
12	11	6/8	0	1	1	I
12	11	6/8	1/4	1	1	V64
12	11	6/8	3/8	1	1	I6
12	11	6/8	5/8	1	1	ii6
13	12	6/8	0	1	1	V(64)}
13	12	6/8	3/8	1	1	V
13	12	6/8	5/8	1	1	ii{
15	14	6/8	0	1	1	V7/ii
15	14	6/8	5/8	1	1	V65/ii
16	15	6/8	0	1	1	ii
16	15	6/8	5/8	1	1	V7
17	16	6/8	0	1	1	I}{
18	17	6/8	0	1	1	V6
18	17	6/8	3/8	1	1	V43
19	18	6/8	0	1	1	I
20	19	6/8	0	1	1	V6
20	19	6/8	3/8	1	1	V43
21	20	6/8	0	1	1	I6
21	20	6/8	3/8	1	1	V6
22	21	6/8	0	1	1	I
22	21	6/8	3/8	1	1	V43
22	21	6/8	1/2	1	1	I6
22	21	6/8	5/8	1	1	V2
23	22	6/8	0	1	1	I6
23	22	6/8	3/8	1	1	V6
24	23	6/8	0	1	1	I
24	23	6/8	3/8	1	1	V43
24	23	6/8	1/2	1	1	I6
24	23	6/8	5/8	1	1	V2
25	24	6/8	0	1	1	I6
25	24	6/8	1/4	1	1	viio6
25	24	6/8	3/8	1	1	vi6
25	24	6/8	5/8	1	1	V6
26	25	6/8	0	1	1	IV6
26	25	6/8	1/4	1	1	iii6
26	25	6/8	3/8	1	1	ii6
26	25	6/8	5/8	1	1	V65/V
27	26	6/8	0	1	1	V}
27	26	6/8	1/4	1	1	V(64)
27	26	6/8	3/8	1	1	V
27	26	6/8	5/8	1	1	V(64)
28	27	6/8	0	1	1	V
28	27	6/8	5/8	1	1	V.I{
30	29	6/8	3/8	1	1	V6/ii
31	30	6/8	0	1	1	ii
33	32	6/8	0	1	1	V
34	33	6/8	0	1	1	V65
35	34	6/8	0	1	1	I
36	35	6/8	0	1	1	V6
36	35	6/8	1/4	1	1	I
36	35	6/8	3/8	1	1	V43
36	35	6/8	1/2	1	1	I
36	35	6/8	5/8	1	1	V6
37	36	6/8	0	1	1	I
38	37	6/8	0	1	1	V6
38	37	6/8	1/4	1	1	I
38	37	6/8	3/8	1	1	V43
38	37	6/8	1/2	1	1	I
