mc	mn	timesig	onset	staff	voice	label
1	1	3/4	0	1	1	.F.I{
1	1	3/4	1/8	1	1	viio6
1	1	3/4	1/4	1	1	I
2	2	3/4	0	1	1	IV
2	2	3/4	1/8	1	1	V
2	2	3/4	1/4	1	1	I6
3	3	3/4	0	1	1	I
3	3	3/4	1/8	1	1	V6
3	3	3/4	1/4	1	1	I
3	3	3/4	5/8	1	1	vi6
4	4	3/4	0	1	1	ii(4)
4	4	3/4	1/8	1	1	V7
4	4	3/4	1/4	1	1	I}
4	4	3/4	1/2	1	1	{
5	5	3/4	0	1	1	V(64)
5	5	3/4	1/4	1	1	V
5	5	3/4	3/8	1	1	viio64
5	5	3/4	1/2	1	1	I6
5	5	3/4	5/8	1	1	iv6
6	6	3/4	0	1	1	V(4)/V
6	6	3/4	1/4	1	1	V/V
6	6	3/4	3/8	1	1	iv64
6	6	3/4	1/2	1	1	V65
6	6	3/4	5/8	1	1	V2
7	7	3/4	0	1	1	I6
7	7	3/4	1/2	1	1	IV
7	7	3/4	5/8	1	1	IV6
8	8	3/4	0	1	1	V(64)}
8	8	3/4	1/4	1	1	V
9	9	3/4	0	1	1	I{
9	9	3/4	1/8	1	1	viio6
9	9	3/4	1/4	1	1	I
10	10	3/4	0	1	1	IV
10	10	3/4	1/8	1	1	V
10	10	3/4	1/4	1	1	I6
11	11	3/4	1/8	1	1	viio6
11	11	3/4	1/4	1	1	I6
11	11	3/4	3/8	1	1	viio6
11	11	3/4	1/2	1	1	I6
11	11	3/4	5/8	1	1	V6/ii
12	12	3/4	0	1	1	ii(4)
12	12	3/4	1/8	1	1	viio
12	12	3/4	1/4	1	1	I}
12	12	3/4	1/2	1	1	{
13	13	3/4	0	1	1	V(64)
13	13	3/4	1/4	1	1	V
14	14	3/4	0	1	1	V/V
14	14	3/4	1/8	1	1	V65
14	14	3/4	1/2	1	1	I
14	14	3/4	11/16	1	1	viio6
15	15	3/4	0	1	1	I6
15	15	3/4	3/16	1	1	IV
15	15	3/4	1/4	1	1	V(64)
15	15	3/4	1/2	1	1	V7
16	16	3/4	0	1	1	I(94)}
16	16	3/4	1/4	1	1	I
17	17	3/4	0	1	1	{
17	17	3/4	1/8	1	1	viio6
17	17	3/4	1/4	1	1	I
18	18	3/4	0	1	1	IV
18	18	3/4	1/8	1	1	V
18	18	3/4	1/4	1	1	I6
19	19	3/4	0	1	1	I
19	19	3/4	1/8	1	1	V6
19	19	3/4	1/4	1	1	I
20	20	3/4	0	1	1	V64
20	20	3/4	1/8	1	1	V65
20	20	3/4	1/4	1	1	I}
20	20	3/4	1/2	1	1	{
21	21	3/4	0	1	1	V(64)
21	21	3/4	1/4	1	1	V7
21	21	3/4	3/8	1	1	V2
21	21	3/4	1/2	1	1	I6
21	21	3/4	5/8	1	1	I
22	22	3/4	0	1	1	V(4)/V
22	22	3/4	1/4	1	1	V/V
22	22	3/4	3/8	1	1	iv64
22	22	3/4	1/2	1	1	V65
22	22	3/4	5/8	1	1	V2
23	23	3/4	0	1	1	I6
23	23	3/4	1/2	1	1	IV
23	23	3/4	5/8	1	1	IV6
24	24	3/4	0	1	1	V(64)}
24	24	3/4	1/4	1	1	V
25	25	3/4	0	1	1	I{
25	25	3/4	1/8	1	1	viio6
25	25	3/4	1/4	1	1	I
26	26	3/4	0	1	1	IV
26	26	3/4	1/8	1	1	V
26	26	3/4	1/4	1	1	I6
27	27	3/4	1/8	1	1	viio6
27	27	3/4	1/4	1	1	I6
27	27	3/4	3/8	1	1	viio6
27	27	3/4	1/2	1	1	I6
27	27	3/4	11/16	1	1	vi6
28	28	3/4	0	1	1	ii(4)
28	28	3/4	1/8	1	1	viio
28	28	3/4	1/4	1	1	I}
28	28	3/4	1/2	1	1	{
29	29	3/4	0	1	1	V(64)
29	29	3/4	1/4	1	1	V
30	30	3/4	0	1	1	V/V
30	30	3/4	1/8	1	1	V65
30	30	3/4	1/2	1	1	I
30	30	3/4	11/16	1	1	viio6
31	31	3/4	0	1	1	I6
31	31	3/4	3/16	1	1	IV
31	31	3/4	1/4	1	1	V(64)
31	31	3/4	1/2	1	1	V7
32	32	3/4	0	1	1	I(974)}
32	32	3/4	1/4	1	1	I
33	33	3/4	0	1	1	V.I{
34	34	3/4	0	1	1	viio6(2)
34	34	3/4	1/4	1	1	viio6
35	35	3/4	0	1	1	V7
36	36	3/4	0	1	1	I(#2)}
36	36	3/4	1/4	1	1	I
36	36	3/4	1/2	1	1	I6{
37	37	3/4	0	1	1	ii65
37	37	3/4	3/8	1	1	viio7/V
37	37	3/4	1/2	1	1	V(64)
38	38	3/4	0	1	1	IV6
38	38	3/4	3/8	1	1	viio6/V
38	38	3/4	1/2	1	1	V65/IV
39	39	3/4	0	1	1	IV
39	39	3/4	1/8	1	1	ii6
39	39	3/4	1/4	1	1	V(64)
39	39	3/4	1/2	1	1	V7
40	40	3/4	0	1	1	I}{
40	40	3/4	1/2	1	1	I.I6
40	40	3/4	5/8	1	1	V2/vi
41	41	3/4	0	1	1	V65/ii
41	41	3/4	1/8	1	1	V7/ii
41	41	3/4	1/4	1	1	ii6
41	41	3/4	1/2	1	1	ii
41	41	3/4	5/8	1	1	IV64
42	42	3/4	0	1	1	V65
42	42	3/4	1/8	1	1	V7
42	42	3/4	1/4	1	1	I6
42	42	3/4	1/2	1	1	I
42	42	3/4	5/8	1	1	iii64
43	43	3/4	0	1	1	ii64(2)
43	43	3/4	1/8	1	1	ii64
43	43	3/4	1/4	1	1	viio
43	43	3/4	3/8	1	1	V7
43	43	3/4	1/2	1	1	vi
43	43	3/4	5/8	1	1	ii6
44	44	3/4	0	1	1	V(64)}
44	44	3/4	1/4	1	1	V
45	45	3/4	0	1	1	I{
45	45	3/4	1/8	1	1	viio6
45	45	3/4	1/4	1	1	I
46	46	3/4	0	1	1	IV
46	46	3/4	1/8	1	1	V
46	46	3/4	1/4	1	1	I6
47	47	3/4	0	1	1	I
47	47	3/4	5/8	1	1	vi6
48	48	3/4	0	1	1	viio6/V
48	48	3/4	1/8	1	1	V65
48	48	3/4	1/4	1	1	I}
48	48	3/4	1/2	1	1	{
49	49	3/4	0	1	1	V(64)
49	49	3/4	1/4	1	1	V
50	50	3/4	1/2	1	1	I
50	50	3/4	5/8	1	1	V43
50	50	3/4	0	1	2	viio6/V
50	50	3/4	1/8	1	2	viio
51	51	3/4	0	1	1	I6
51	51	3/4	1/8	1	1	IV
51	51	3/4	1/4	1	1	V(64)
51	51	3/4	1/2	1	1	V7
52	52	3/4	0	1	1	I(974)}
52	52	3/4	1/4	1	1	I
53	53	3/4	0	1	1	V.I{
54	54	3/4	0	1	1	viio6(2)
54	54	3/4	1/4	1	1	viio6
55	55	3/4	0	1	1	V7
56	56	3/4	0	1	1	I}
56	56	3/4	1/2	1	1	I6{
57	57	3/4	0	1	1	ii65
57	57	3/4	3/8	1	1	viio7/V
57	57	3/4	1/2	1	1	V(64)
58	58	3/4	0	1	1	IV6
58	58	3/4	3/8	1	1	viio6/V
58	58	3/4	1/2	1	1	I6
59	59	3/4	0	1	1	IV
59	59	3/4	1/8	1	1	ii6
59	59	3/4	1/4	1	1	V(64)
59	59	3/4	1/2	1	1	V7
60	60	3/4	0	1	1	I}{
60	60	3/4	1/2	1	1	I.I6
60	60	3/4	5/8	1	1	V2/iv
61	61	3/4	0	1	1	V65/ii
61	61	3/4	1/8	1	1	V7/ii
61	61	3/4	1/4	1	1	ii6
61	61	3/4	1/2	1	1	ii
61	61	3/4	5/8	1	1	IV64
62	62	3/4	0	1	1	V65
62	62	3/4	1/8	1	1	V7
62	62	3/4	1/4	1	1	I6
62	62	3/4	1/2	1	1	I
62	62	3/4	5/8	1	1	ii64
63	63	3/4	0	1	1	ii64(2)
63	63	3/4	1/8	1	1	ii64
63	63	3/4	1/4	1	1	viio
63	63	3/4	3/8	1	1	V
63	63	3/4	1/2	1	1	vi
63	63	3/4	5/8	1	1	ii6
64	64	3/4	0	1	1	V(64)}
64	64	3/4	1/4	1	1	V
65	65	3/4	0	1	1	I{
65	65	3/4	1/8	1	1	viio6
65	65	3/4	1/4	1	1	I
66	66	3/4	0	1	1	IV6
66	66	3/4	1/8	1	1	viio
66	66	3/4	1/4	1	1	I6
67	67	3/4	0	1	1	I
67	67	3/4	1/2	1	1	I6
68	68	3/4	0	1	1	V/V
68	68	3/4	1/8	1	1	V7
68	68	3/4	1/4	1	1	I}
68	68	3/4	1/2	1	1	{
69	69	3/4	0	1	1	I
69	69	3/4	1/4	1	1	V65
69	69	3/4	1/2	1	1	V43
69	69	3/4	9/16	1	1	I
69	69	3/4	5/8	1	1	V6
69	69	3/4	11/16	1	1	vi7
70	70	3/4	0	1	1	V
70	70	3/4	1/16	1	1	viio/V
70	70	3/4	1/8	1	1	V2
70	70	3/4	3/8	1	1	V6
70	70	3/4	5/8	1	1	viio7/V
71	71	3/4	1/8	1	1	V(64)
71	71	3/4	1/2	1	1	V7
72	72	3/4	0	1	1	I(974)}
72	72	3/4	1/4	1	1	I
72	72	3/4	1/2	1	1	{
73	73	3/4	0	1	1	V(64)
73	73	3/4	1/4	1	1	V
74	74	3/4	0	1	1	V
74	74	3/4	1/16	1	1	viio6
74	74	3/4	1/8	1	1	viio
74	74	3/4	1/2	1	1	I
74	74	3/4	5/8	1	1	viio6
75	75	3/4	0	1	1	I6
75	75	3/4	1/8	1	1	ii6
75	75	3/4	1/4	1	1	V(64)
75	75	3/4	1/2	1	1	V7
76	76	3/4	0	1	1	I}{
76	76	3/4	1/2	1	1	V7
77	77	3/4	0	1	1	I
77	77	3/4	1/2	1	1	V7
78	78	3/4	0	1	1	I
78	78	3/4	1/4	1	1	I6
78	78	3/4	1/2	1	1	V
78	78	3/4	5/8	1	1	V7
79	79	3/4	0	1	1	I(974)}
79	79	3/4	1/2	1	1	I
