mc	mn	timesig	onset	staff	voice	label
1	1	4/4	0	1	1	.Eb.I{
1	1	4/4	3/8	1	1	V
1	1	4/4	1/2	1	1	I
1	1	4/4	7/8	1	1	V
2	2	4/4	0	1	1	I
2	2	4/4	1/8	1	1	IV6
2	2	4/4	1/4	1	1	I6
2	2	4/4	3/8	1	1	IV
2	2	4/4	1/2	1	1	V(64)}
2	2	4/4	3/4	1	1	V
3	3	4/4	0	1	1	I6{
3	3	4/4	1/4	1	1	I
3	3	4/4	3/8	1	1	V
3	3	4/4	1/2	1	1	I6
3	3	4/4	5/8	1	1	V
3	3	4/4	3/4	1	1	I
3	3	4/4	7/8	1	1	IV6
4	4	4/4	0	1	1	I6
4	4	4/4	1/8	1	1	ii6
4	4	4/4	1/4	1	1	V(64)
4	4	4/4	3/8	1	1	V7
4	4	4/4	1/2	1	1	I(974)}
4	4	4/4	3/4	1	1	I
5	5	4/4	0	1	1	V{
5	5	4/4	1/4	1	1	V(64)
5	5	4/4	1/2	1	1	V7
6	6	4/4	0	1	1	I
6	6	4/4	1/4	1	1	I(4^2)
6	6	4/4	1/2	1	1	I
7	7	4/4	0	1	1	IV
7	7	4/4	1/4	1	1	i6
7	7	4/4	1/2	1	1	V7/V
7	7	4/4	3/4	1	1	#viio7/vi
8	8	4/4	0	1	1	vi
8	8	4/4	1/4	1	1	ii6
8	8	4/4	1/2	1	1	V(64)}
8	8	4/4	3/4	1	1	V
9	9	4/4	0	1	1	I{
9	9	4/4	3/8	1	1	V
9	9	4/4	1/2	1	1	I
9	9	4/4	7/8	1	1	V
10	10	4/4	0	1	1	I
10	10	4/4	1/8	1	1	IV6
10	10	4/4	1/4	1	1	I6
10	10	4/4	3/8	1	1	IV
10	10	4/4	1/2	1	1	V(64)
10	10	4/4	3/4	1	1	V
11	11	4/4	0	1	1	I6
11	11	4/4	1/4	1	1	I
11	11	4/4	3/8	1	1	V
11	11	4/4	1/2	1	1	I6
11	11	4/4	5/8	1	1	V
11	11	4/4	3/4	1	1	I
11	11	4/4	7/8	1	1	IV6
12	12	4/4	0	1	1	I6
12	12	4/4	1/8	1	1	ii6
12	12	4/4	1/4	1	1	V(64)
12	12	4/4	3/8	1	1	V7
12	12	4/4	1/2	1	1	I(974)}
12	12	4/4	3/4	1	1	I
13	13	4/4	0	1	1	vi.i{
13	13	4/4	1/2	1	1	#viio7
14	14	4/4	0	1	1	i
14	14	4/4	1/4	1	1	iio64
14	14	4/4	3/8	1	1	viio7/V
14	14	4/4	1/2	1	1	V(64)}
14	14	4/4	3/4	1	1	V
15	15	4/4	0	1	1	iii.bII6{
15	15	4/4	1/4	1	1	#viio43(2)
15	15	4/4	3/8	1	1	#viio43
15	15	4/4	1/2	1	1	i6
15	15	4/4	3/4	1	1	viio6(2)/V
15	15	4/4	7/8	1	1	viio6/V
16	16	4/4	0	1	1	V
16	16	4/4	1/8	1	1	VI
16	16	4/4	1/4	1	1	iio6
16	16	4/4	3/8	1	1	V
16	16	4/4	1/2	1	1	i}
16	16	4/4	11/16	1	1	vi.V7
17	17	4/4	0	1	1	I.V7/ii{
17	17	4/4	1/4	1	1	V(64)/ii
17	17	4/4	1/2	1	1	V7/ii
17	17	4/4	3/4	1	1	V(64)/ii
18	18	4/4	0	1	1	V7
18	18	4/4	1/4	1	1	V(64)
18	18	4/4	1/2	1	1	V7
18	18	4/4	3/4	1	1	V(64)
19	19	4/4	0	1	1	vi.viio6/V
19	19	4/4	1/4	1	1	V65
19	19	4/4	1/2	1	1	I
19	19	4/4	3/4	1	1	VI
20	20	4/4	0	1	1	.bII6
20	20	4/4	1/2	1	1	V(64)}
20	20	4/4	3/4	1	1	V
21	21	4/4	0	1	1	i{
21	21	4/4	1/2	1	1	#viio7
22	22	4/4	0	1	1	i
22	22	4/4	1/4	1	1	iio64
22	22	4/4	3/8	1	1	viio7/V
22	22	4/4	1/2	1	1	V(64)}
22	22	4/4	3/4	1	1	V
23	23	4/4	0	1	1	i{
23	23	4/4	1/4	1	1	i6(2)
23	23	4/4	3/8	1	1	i6
23	23	4/4	1/2	1	1	iv
23	23	4/4	3/4	1	1	.It6(2)
23	23	4/4	7/8	1	1	.It6
24	24	4/4	0	1	1	V
24	24	4/4	1/8	1	1	VI
24	24	4/4	1/4	1	1	iio6
24	24	4/4	3/8	1	1	V
24	24	4/4	1/2	1	1	i}
24	24	4/4	7/8	1	1	V/iv
25	24	4/4	0	1	1	V
25	24	4/4	1/8	1	1	VI
25	24	4/4	1/4	1	1	iio6
25	24	4/4	3/8	1	1	V
25	24	4/4	1/2	1	1	i}
25	24	4/4	3/4	1	1	I.V6/ii
26	25	4/4	1/2	1	1	ii
26	25	4/4	3/4	1	1	viio7
27	26	4/4	1/4	1	1	V6
27	26	4/4	1/2	1	1	V43
28	27	4/4	0	1	1	V65
29	28	4/4	0	1	1	I{
29	28	4/4	3/8	1	1	V
29	28	4/4	1/2	1	1	I
29	28	4/4	7/8	1	1	V
30	29	4/4	0	1	1	I
30	29	4/4	1/8	1	1	IV6
30	29	4/4	1/4	1	1	I6
30	29	4/4	3/8	1	1	IV
30	29	4/4	1/2	1	1	V(64)}
30	29	4/4	3/4	1	1	V
31	30	4/4	0	1	1	I6{
31	30	4/4	1/4	1	1	I
31	30	4/4	3/8	1	1	V
31	30	4/4	1/2	1	1	I6
31	30	4/4	5/8	1	1	V
31	30	4/4	3/4	1	1	I
31	30	4/4	7/8	1	1	IV6
32	31	4/4	0	1	1	I6
32	31	4/4	1/8	1	1	ii6
32	31	4/4	1/4	1	1	V(64)
32	31	4/4	3/8	1	1	V7
32	31	4/4	1/2	1	1	I(974)}
32	31	4/4	3/4	1	1	I
33	32	4/4	0	1	1	IV.I{
33	32	4/4	1/4	1	1	V43
33	32	4/4	1/2	1	1	I6
33	32	4/4	5/8	1	1	I
33	32	4/4	3/4	1	1	V6
33	32	4/4	7/8	1	1	V
34	33	4/4	0	1	1	V65
34	33	4/4	1/4	1	1	I
34	33	4/4	1/2	1	1	V6
34	33	4/4	5/8	1	1	V
34	33	4/4	3/4	1	1	I
35	34	4/4	0	1	1	V2/vi
35	34	4/4	1/4	1	1	vi6
35	34	4/4	1/2	1	1	I.V2
35	34	4/4	3/4	1	1	I6
36	35	4/4	0	1	1	ii6
36	35	4/4	1/4	1	1	V(64)
36	35	4/4	3/8	1	1	V7
36	35	4/4	1/2	1	1	I}
36	35	4/4	7/8	1	1	V7/IV
37	36	4/4	0	1	1	viio43/V{
37	36	4/4	1/4	1	1	V2/V
37	36	4/4	1/2	1	1	V65
37	36	4/4	3/4	1	1	V2/IV
38	37	4/4	0	1	1	IV.V65/IV
38	37	4/4	1/4	1	1	IV
38	37	4/4	3/8	1	1	ii
38	37	4/4	1/2	1	1	V(64)}
38	37	4/4	3/4	1	1	V
39	38	4/4	0	1	1	vi{
39	38	4/4	1/4	1	1	V2/V
39	38	4/4	1/2	1	1	V65
39	38	4/4	3/4	1	1	V2
40	39	4/4	0	1	1	I6
40	39	4/4	1/8	1	1	ii6
40	39	4/4	1/4	1	1	V(64)
40	39	4/4	3/8	1	1	V7
40	39	4/4	1/2	1	1	I(94)}
40	39	4/4	3/4	1	1	I
41	40	4/4	0	1	1	I.V6/ii{
41	40	4/4	1/4	1	1	ii
41	40	4/4	1/2	1	1	V6
41	40	4/4	3/4	1	1	I
42	41	4/4	0	1	1	viio65/V
42	41	4/4	1/2	1	1	V[V}
42	41	4/4	3/4	1	1	viio43/V
43	42	4/4	0	1	1	V
43	42	4/4	1/4	1	1	viio43/V
43	42	4/4	1/2	1	1	V7
44	43	4/4	1/2	1	1	V7(4)
44	43	4/4	3/4	1	1	V7]
45	44	4/4	0	1	1	I{
45	44	4/4	3/8	1	1	V
45	44	4/4	1/2	1	1	I
45	44	4/4	7/8	1	1	V
46	45	4/4	0	1	1	I
46	45	4/4	1/8	1	1	IV6
46	45	4/4	1/4	1	1	I6
46	45	4/4	3/8	1	1	IV
46	45	4/4	1/2	1	1	V(64)}
46	45	4/4	3/4	1	1	V
47	46	4/4	0	1	1	I6{
47	46	4/4	1/4	1	1	I
47	46	4/4	3/8	1	1	V
47	46	4/4	1/2	1	1	I6
47	46	4/4	5/8	1	1	V
47	46	4/4	3/4	1	1	I
47	46	4/4	7/8	1	1	IV6
48	47	4/4	0	1	1	I6
48	47	4/4	1/8	1	1	ii6
48	47	4/4	1/4	1	1	V(64)
48	47	4/4	3/8	1	1	V7
48	47	4/4	1/2	1	1	I(974)}
48	47	4/4	3/4	1	1	I
49	48	4/4	0	1	1	IV64{
49	48	4/4	1/2	1	1	I
50	49	4/4	0	1	1	IV64
50	49	4/4	1/2	1	1	I
51	50	4/4	0	1	1	IV6
51	50	4/4	1/4	1	1	V6(#4)
51	50	4/4	3/8	1	1	V6
51	50	4/4	1/2	1	1	I
51	50	4/4	3/4	1	1	I6(7)
51	50	4/4	7/8	1	1	I6
52	51	4/4	0	1	1	ii6
52	51	4/4	3/8	1	1	V7
52	51	4/4	1/2	1	1	#viio7/vi
52	51	4/4	3/4	1	1	vi
53	52	4/4	0	1	1	V7/V
53	52	4/4	1/4	1	1	V2/V
53	52	4/4	1/2	1	1	V65
53	52	4/4	3/4	1	1	V2
54	53	4/4	0	1	1	I6
54	53	4/4	1/8	1	1	ii6
54	53	4/4	1/4	1	1	V(64)
54	53	4/4	3/8	1	1	V7
54	53	4/4	1/2	1	1	I}
54	53	4/4	3/4	1	1	V7
55	54	4/4	0	1	1	I
55	54	4/4	1/4	1	1	V7
55	54	4/4	1/2	1	1	I
55	54	4/4	3/4	1	1	V7
56	55	4/4	1/2	1	1	I
