mc	mn	timesig	onset	staff	voice	label
1	0	2/4	0	1	1	.Eb.I{
3	2	2/4	0	1	1	V6
4	3	2/4	0	1	1	I
4	3	2/4	1/8	1	1	I6
4	3	2/4	1/4	1	1	IV
4	3	2/4	3/8	1	1	V
5	4	2/4	0	1	1	vi
5	4	2/4	1/8	1	1	viio
5	4	2/4	1/4	1	1	I
7	6	2/4	0	1	1	V6
8	7	2/4	0	1	1	I
8	7	2/4	1/8	1	1	I6
8	7	2/4	1/4	1	1	V43
8	7	2/4	3/8	1	1	I
9	8	2/4	0	1	1	V(64)}
9	8	2/4	1/8	1	1	V
9	8	2/4	3/8	1	1	V.I{
11	10	2/4	0	1	1	V65
12	11	2/4	0	1	1	I
13	12	2/4	0	1	1	V65
14	13	2/4	0	1	1	I
14	13	2/4	1/4	1	1	I6
15	14	2/4	0	1	1	ii6
16	15	2/4	0	1	1	V(64)}
16	15	2/4	1/8	1	1	V
16	15	2/4	1/4	1	1	{
17	16	2/4	0	1	1	I6
18	17	2/4	0	1	1	ii6(#7)
18	17	2/4	3/8	1	1	ii6
19	18	2/4	0	1	1	V7
20	19	2/4	0	1	1	vi(#4)
20	19	2/4	3/8	1	1	vi
21	20	2/4	0	1	1	I6
22	21	2/4	0	1	1	ii6
23	22	2/4	0	1	1	V(64)
23	22	2/4	1/4	1	1	V7
24	23	2/4	0	1	1	I}
25	24	2/4	0	1	1	I6{
26	25	2/4	0	1	1	ii6(#72)
26	25	2/4	3/8	1	1	ii6
27	26	2/4	0	1	1	V(9)
27	26	2/4	3/8	1	1	V7
28	27	2/4	0	1	1	vi(6)
28	27	2/4	3/8	1	1	vi
29	28	2/4	0	1	1	I6
30	29	2/4	0	1	1	ii6
31	30	2/4	0	1	1	V(64)
31	30	2/4	1/4	1	1	V7
32	31	2/4	0	1	1	vi
33	32	2/4	0	1	1	I6
34	33	2/4	0	1	1	IV
35	34	2/4	0	1	1	V(64)
35	34	2/4	1/4	1	1	V7
36	35	2/4	0	1	1	I}{
37	36	2/4	0	1	1	ii6
37	36	2/4	1/4	1	1	ii
37	36	2/4	3/8	1	1	V7
38	37	2/4	0	1	1	I6
39	38	2/4	0	1	1	ii6
39	38	2/4	1/4	1	1	ii
