mc	mn	timesig	onset	staff	voice	label
1	1	3/4	0	1	1	.F.I[I{
3	3	3/4	1/4	1	1	viio6
3	3	3/4	1/2	1	1	V7/IV
4	4	3/4	0	1	1	IV
5	5	3/4	0	1	1	V43
6	6	3/4	0	1	1	I]
7	7	3/4	0	1	1	V65
8	8	3/4	0	1	1	I
8	8	3/4	1/4	1	1	V43
8	8	3/4	1/2	1	1	I6
9	9	3/4	0	1	1	IV
9	9	3/4	1/4	1	1	ii6
9	9	3/4	1/2	1	1	V
10	10	3/4	0	1	1	V65
11	11	3/4	0	1	1	I
11	11	3/4	1/4	1	1	viio6
11	11	3/4	1/2	1	1	I6
12	12	3/4	0	1	1	IV
12	12	3/4	1/4	1	1	ii6
12	12	3/4	1/2	1	1	V
13	13	3/4	0	1	1	I}{
13	13	3/4	1/2	1	1	V7
14	14	3/4	0	1	1	I
14	14	3/4	1/4	1	1	V
14	14	3/4	1/2	1	1	I64
15	15	3/4	0	1	1	V7
15	15	3/4	1/2	1	1	I
16	16	3/4	0	1	1	V
16	16	3/4	1/4	1	1	I64
16	16	3/4	1/2	1	1	V7
17	17	3/4	0	1	1	I
17	17	3/4	1/4	1	1	vi6
17	17	3/4	1/2	1	1	I
18	18	3/4	0	1	1	viio43/V
18	18	3/4	1/4	1	1	V6
18	18	3/4	1/2	1	1	v6
19	19	3/4	0	1	1	viio43/IV
19	19	3/4	1/4	1	1	IV6
19	19	3/4	1/2	1	1	vi
20	20	3/4	0	1	1	#viio43/iii
20	20	3/4	1/4	1	1	III6
20	20	3/4	1/2	1	1	iii
21	21	3/4	0	1	1	#viio43/ii
21	21	3/4	1/4	1	1	II6
21	21	3/4	1/2	1	1	IV
22	22	3/4	0	1	1	viio43
22	22	3/4	1/4	1	1	I6
23	23	3/4	0	1	1	ii6
26	26	3/4	0	1	1	V(64)}
26	26	3/4	1/4	1	1	V
27	27	3/4	0	1	1	V.I{
28	28	3/4	0	1	1	I6
28	28	3/4	1/2	1	1	V43
29	29	3/4	0	1	1	I6
29	29	3/4	1/2	1	1	V43
30	30	3/4	0	1	1	V(64)
30	30	3/4	1/2	1	1	V
32	32	3/4	0	1	1	V43
32	32	3/4	1/2	1	1	I
33	33	3/4	0	1	1	V43
33	33	3/4	1/2	1	1	I
34	34	3/4	0	1	1	V7
34	34	3/4	1/2	1	1	I}
35	35	3/4	0	1	1	V65/IV{
36	36	3/4	0	1	1	ii6
37	37	3/4	0	1	1	V65/V
38	38	3/4	0	1	1	iii6
39	39	3/4	0	1	1	V65/vi
40	40	3/4	0	1	1	vi
40	40	3/4	1/4	1	1	IV6
40	40	3/4	1/2	1	1	I64
41	41	3/4	0	1	1	ii6
41	41	3/4	1/2	1	1	I6
42	42	3/4	0	1	1	ii6
42	42	3/4	1/4	1	1	V(64)
42	42	3/4	1/2	1	1	V7
43	43	3/4	0	1	1	I}{
44	44	3/4	0	1	1	viio6
45	45	3/4	0	1	1	I6
46	46	3/4	0	1	1	ii6
47	47	3/4	0	1	1	ii65
47	47	3/4	1/4	1	1	V(4)
47	47	3/4	1/2	1	1	V
48	48	3/4	0	1	1	I}{
49	49	3/4	0	1	1	viio6
50	50	3/4	0	1	1	I6
51	51	3/4	0	1	1	ii6
53	53	3/4	1/4	1	1	V(4)
53	53	3/4	1/2	1	1	V
54	54	3/4	0	1	1	I}
54	54	3/4	1/2	1	1	V7
55	55	3/4	0	1	1	I
55	55	3/4	1/2	1	1	V7
56	56	3/4	0	1	1	I
57	57	3/4	0	1	1	{
58	58	3/4	0	1	1	#viio64/ii
59	59	3/4	0	1	1	V7
60	60	3/4	0	1	1	viio6
61	61	3/4	0	1	1	I
61	61	3/4	1/2	1	1	vi
62	62	3/4	0	1	1	IV
62	62	3/4	1/4	1	1	ii6
62	62	3/4	1/2	1	1	V2
63	63	3/4	0	1	1	I6
63	63	3/4	1/2	1	1	V43
64	64	3/4	0	1	1	#viio7/ii
64	64	3/4	1/4	1	1	V65/ii
65	65	3/4	1/4	1	1	I6
65	65	3/4	1/2	1	1	V43
66	66	3/4	0	1	1	#viio7/ii}
66	66	3/4	1/4	1	1	V65/ii
67	67	3/4	0	1	1	vi.i{
69	69	3/4	0	1	1	iv
71	71	3/4	0	1	1	VII
73	73	3/4	0	1	1	III
75	75	3/4	0	1	1	.Ger6
76	76	3/4	0	1	1	V(64)
77	77	3/4	0	1	1	viio7/V
78	78	3/4	0	1	1	V[V}
78	78	3/4	1/4	1	1	VI6
78	78	3/4	1/2	1	1	viio43/V-Ger43
79	79	3/4	0	1	1	V6
79	79	3/4	1/4	1	1	VI6
79	79	3/4	1/2	1	1	viio43/V-Ger43
80	80	3/4	0	1	1	V]
81	81	3/4	0	1	1	viio7/V
82	82	3/4	0	1	1	I.V43
83	83	3/4	0	1	1	I[I{
85	85	3/4	1/4	1	1	viio6
85	85	3/4	1/2	1	1	V7/IV
86	86	3/4	0	1	1	IV
87	87	3/4	0	1	1	V43
88	88	3/4	0	1	1	I]
89	89	3/4	0	1	1	V65
90	90	3/4	0	1	1	I
90	90	3/4	1/4	1	1	V43
90	90	3/4	1/2	1	1	I6
91	91	3/4	0	1	1	IV
