mc	mn	timesig	onset	staff	voice	label
1	1	2/4	0	1	1	.G.I{
1	1	2/4	1/4	1	1	V6
1	1	2/4	3/8	1	1	I
2	2	2/4	0	1	1	V43
2	2	2/4	1/8	1	1	V6
2	2	2/4	1/4	1	1	I
3	3	2/4	0	1	1	IV6
3	3	2/4	1/8	1	1	I64
3	3	2/4	1/4	1	1	IV
3	3	2/4	7/16	1	1	I6
4	4	2/4	0	1	1	viio
4	4	2/4	1/8	1	1	I
4	4	2/4	1/4	1	1	V(64)}
4	4	2/4	3/8	1	1	V
5	5	2/4	0	1	1	I{
5	5	2/4	1/4	1	1	V6
5	5	2/4	3/8	1	1	I
6	6	2/4	0	1	1	V43
6	6	2/4	1/8	1	1	V6
6	6	2/4	1/4	1	1	I
7	7	2/4	0	1	1	IV6
7	7	2/4	1/8	1	1	I64
7	7	2/4	1/4	1	1	IV
7	7	2/4	7/16	1	1	IV6
8	8	2/4	0	1	1	V(64)
8	8	2/4	1/8	1	1	V
8	8	2/4	1/4	1	1	I}{
9	9	2/4	0	1	1	ii6
9	9	2/4	1/4	1	1	V7
10	10	2/4	0	1	1	I
10	10	2/4	1/4	1	1	vi
11	11	2/4	0	1	1	ii6
11	11	2/4	1/4	1	1	V7
12	12	2/4	0	1	1	I}
12	12	2/4	1/4	1	1	V.V7/ii{
13	13	2/4	0	1	1	ii
13	13	2/4	1/4	1	1	V7
14	14	2/4	0	1	1	I
14	14	2/4	1/4	1	1	viio6/V
15	15	2/4	1/4	1	1	V}
16	16	2/4	3/8	1	1	I6{
17	17	2/4	0	1	1	I
18	18	2/4	0	1	1	ii2
19	19	2/4	0	1	1	V6
19	19	2/4	1/4	1	1	IV6
20	20	2/4	0	1	1	V65/vi
20	20	2/4	1/4	1	1	vi
20	20	2/4	3/8	1	1	I64
21	21	2/4	0	1	1	V65/V
22	22	2/4	0	1	1	V2
22	22	2/4	1/4	1	1	I6
23	23	2/4	0	1	1	ii6
23	23	2/4	3/8	1	1	V6/V
24	24	2/4	0	1	1	V[V}
25	25	2/4	0	1	1	I{
25	25	2/4	1/4	1	1	V
25	25	2/4	3/8	1	1	I
26	26	2/4	0	1	1	V7
26	26	2/4	1/8	1	1	V
26	26	2/4	1/4	1	1	I(4)
