mc	mn	timesig	onset	staff	voice	label
1	1	2/4	0	1	1	.D.I6{
2	2	2/4	0	1	1	ii6
3	3	2/4	0	1	1	V6
4	4	2/4	0	1	1	I
5	5	2/4	0	1	1	I6
5	5	2/4	1/8	1	1	V43
5	5	2/4	1/4	1	1	I
6	6	2/4	0	1	1	V43
6	6	2/4	1/8	1	1	I6
6	6	2/4	1/4	1	1	V2
7	7	2/4	0	1	1	I6
7	7	2/4	1/4	1	1	V(64)/V
8	8	2/4	0	1	1	V7/V
8	8	2/4	1/4	1	1	I/V}
9	9	2/4	0	1	1	I{
9	9	2/4	1/4	1	1	vi
10	10	2/4	0	1	1	ii6
10	10	2/4	1/4	1	1	ii
11	11	2/4	0	1	1	viio
11	11	2/4	1/4	1	1	V
12	12	2/4	0	1	1	I
13	13	2/4	0	1	1	V2/IV
13	13	2/4	1/4	1	1	IV6
14	14	2/4	0	1	1	V2
14	14	2/4	1/4	1	1	I6
15	15	2/4	0	1	1	ii6
15	15	2/4	1/4	1	1	V(64)
15	15	2/4	3/8	1	1	V7
16	16	2/4	0	1	1	I[I}{
17	17	2/4	0	1	1	V43
18	18	2/4	0	1	1	I
19	19	2/4	0	1	1	V43
20	20	2/4	0	1	1	I
20	20	2/4	1/8	1	1	viio
20	20	2/4	1/4	1	1	I]
20	20	2/4	3/8	1	1	V7
21	21	2/4	0	1	1	I[I
21	21	2/4	1/8	1	1	viio
21	21	2/4	1/4	1	1	I]
21	21	2/4	3/8	1	1	V7
22	22	2/4	0	1	1	I
23	23	2/4	0	1	1	V
23	23	2/4	1/4	1	1	I
24	24	2/4	0	1	1	V
24	24	2/4	1/4	1	1	V(64)
25	25	2/4	0	1	1	V}
26	26	2/4	0	1	1	V.I{
27	27	2/4	0	1	1	ii
27	27	2/4	1/4	1	1	viio6
29	29	2/4	0	1	1	iii
29	29	2/4	1/4	1	1	#viio6/ii
30	30	2/4	0	1	1	ii6
30	30	2/4	1/4	1	1	#viio6/ii
30	30	2/4	3/8	1	1	ii
31	31	2/4	0	1	1	V65/ii
31	31	2/4	1/4	1	1	ii
32	32	2/4	0	1	1	V65
32	32	2/4	1/4	1	1	I
33	33	2/4	0	1	1	vi(4)
33	33	2/4	1/8	1	1	vio
33	33	2/4	1/4	1	1	.It6
34	34	2/4	0	1	1	V[V}
35	35	2/4	0	1	1	viio/V{
36	36	2/4	0	1	1	V7
37	37	2/4	0	1	1	V(64)
38	38	2/4	0	1	1	V
39	39	2/4	0	1	1	V(64)
39	39	2/4	1/4	1	1	V
39	39	2/4	3/8	1	1	#viio64/ii
40	40	2/4	0	1	1	V7]}
42	42	2/4	0	1	1	viio6{
42	42	2/4	1/8	1	1	I
42	42	2/4	1/4	1	1	V6
42	42	2/4	3/8	1	1	IV6
43	43	2/4	0	1	1	V-iii6
43	43	2/4	1/8	1	1	ii6
43	43	2/4	1/4	1	1	I6
43	43	2/4	3/8	1	1	viio6
44	44	2/4	0	1	1	I
44	44	2/4	1/4	1	1	V2
45	45	2/4	0	1	1	I6
45	45	2/4	1/4	1	1	V2
46	46	2/4	0	1	1	I6
46	46	2/4	1/8	1	1	viio/IV
46	46	2/4	1/4	1	1	V65/ii
46	46	2/4	3/8	1	1	ii
47	47	2/4	0	1	1	V65
47	47	2/4	1/8	1	1	I
47	47	2/4	1/4	1	1	IVM7
47	47	2/4	3/8	1	1	viio
48	48	2/4	0	1	1	V65/vi
48	48	2/4	1/8	1	1	vi
48	48	2/4	1/4	1	1	V65/V
48	48	2/4	3/8	1	1	V2
49	49	2/4	0	1	1	I6
49	49	2/4	1/8	1	1	IV
49	49	2/4	1/4	1	1	V(64)
49	49	2/4	3/8	1	1	V7
50	50	2/4	0	1	1	I}
50	50	2/4	1/4	1	1	{
50	50	2/4	3/8	1	1	#viio6/vi
51	51	2/4	0	1	1	vi
51	51	2/4	1/8	1	1	iii6
51	51	2/4	1/4	1	1	IV
51	51	2/4	3/8	1	1	I6
52	52	2/4	0	1	1	V43
52	52	2/4	1/8	1	1	I
52	52	2/4	3/8	1	1	I6
53	53	2/4	0	1	1	IV6
53	53	2/4	1/8	1	1	iii6
53	53	2/4	1/4	1	1	ii6
53	53	2/4	3/8	1	1	viio/V
54	54	2/4	0	1	1	V(64)}
54	54	2/4	1/8	1	1	V
54	54	2/4	1/4	1	1	I{
54	54	2/4	3/8	1	1	V6
55	55	2/4	0	1	1	vi
55	55	2/4	1/8	1	1	iii6
55	55	2/4	1/4	1	1	IV
55	55	2/4	3/8	1	1	I6
56	56	2/4	0	1	1	V43
56	56	2/4	1/8	1	1	I
56	56	2/4	3/8	1	1	I6
57	57	2/4	0	1	1	ii65
57	57	2/4	1/4	1	1	V(64)
57	57	2/4	3/8	1	1	V
58	58	2/4	0	1	1	I[I}{
59	59	2/4	0	1	1	V2
60	60	2/4	0	1	1	I
60	60	2/4	1/4	1	1	I.V7
61	61	2/4	0	1	1	I
62	62	2/4	0	1	1	V}
62	62	2/4	1/4	1	1	V7]
65	65	2/4	0	1	1	I6{
66	66	2/4	0	1	1	ii6
67	67	2/4	0	1	1	V6
68	68	2/4	0	1	1	I
69	69	2/4	0	1	1	I6
69	69	2/4	1/8	1	1	V43
69	69	2/4	1/4	1	1	I
70	70	2/4	0	1	1	V43
70	70	2/4	1/8	1	1	I6
70	70	2/4	1/4	1	1	V2
71	71	2/4	0	1	1	I6
71	71	2/4	1/4	1	1	V(64)/V
72	72	2/4	0	1	1	V7/V
72	72	2/4	1/4	1	1	I/V}
73	73	2/4	0	1	1	I{
73	73	2/4	1/4	1	1	vi
74	74	2/4	0	1	1	ii6
74	74	2/4	1/4	1	1	ii
75	75	2/4	0	1	1	viio
75	75	2/4	1/4	1	1	V
76	76	2/4	0	1	1	I
77	77	2/4	0	1	1	V2/IV
77	77	2/4	1/4	1	1	IV6
78	78	2/4	0	1	1	V2
78	78	2/4	1/4	1	1	I6
79	79	2/4	0	1	1	ii6
79	79	2/4	1/4	1	1	V(64)
79	79	2/4	3/8	1	1	V7
80	80	2/4	0	1	1	I[I}{
81	81	2/4	0	1	1	V43
82	82	2/4	0	1	1	i
83	83	2/4	0	1	1	V43
84	84	2/4	0	1	1	i
84	84	2/4	1/8	1	1	viio
84	84	2/4	1/4	1	1	i]
84	84	2/4	3/8	1	1	V7
85	85	2/4	0	1	1	i[i
85	85	2/4	1/8	1	1	viio
85	85	2/4	1/4	1	1	i]
85	85	2/4	3/8	1	1	.bIII.V7
86	86	2/4	0	1	1	I[I
86	86	2/4	1/8	1	1	viio
86	86	2/4	1/4	1	1	I]
86	86	2/4	3/8	1	1	V7
87	87	2/4	0	1	1	I[I
87	87	2/4	1/8	1	1	viio
87	87	2/4	1/4	1	1	I]
87	87	2/4	3/8	1	1	V7/iii
