mc	mn	timesig	onset	staff	voice	label
1	1	4/4	0	1	1	.D.I{
2	2	4/4	1/2	1	1	vi-IV6
3	3	4/4	0	1	1	ii-viio6
3	3	4/4	1/4	1	1	I
3	3	4/4	1/2	1	1	vi-IV6
3	3	4/4	3/4	1	1	V
4	4	4/4	5/8	1	1	V(64)
5	5	4/4	1/8	1	1	V
5	5	4/4	5/8	1	1	V(64)
6	6	4/4	1/8	1	1	V
6	6	4/4	5/8	1	1	V(64)
7	7	4/4	0	1	1	V7
9	9	4/4	0	1	1	I[I}{
9	9	4/4	1/2	1	1	viio
9	9	4/4	3/4	1	1	V7/IV
10	10	4/4	0	1	1	IV6
10	10	4/4	1/4	1	1	V65
10	10	4/4	1/2	1	1	I
11	11	4/4	1/2	1	1	viio6
11	11	4/4	3/4	1	1	I
12	12	4/4	0	1	1	IV
12	12	4/4	1/2	1	1	I]
13	13	4/4	0	1	1	ii65
14	14	4/4	0	1	1	V43/IV
15	15	4/4	0	1	1	IV6
16	16	4/4	0	1	1	.Ger6
17	17	4/4	0	1	1	V}{
17	17	4/4	3/8	1	1	I6
17	17	4/4	1/2	1	1	V43
17	17	4/4	5/8	1	1	I
17	17	4/4	3/4	1	1	V6
17	17	4/4	7/8	1	1	vi7
18	18	4/4	0	1	1	V
18	18	4/4	1/8	1	1	vi7
18	18	4/4	1/4	1	1	V6
18	18	4/4	3/8	1	1	I
18	18	4/4	1/2	1	1	V43
18	18	4/4	5/8	1	1	V6
18	18	4/4	3/4	1	1	I
18	18	4/4	7/8	1	1	vi7
19	19	4/4	0	1	1	V
19	19	4/4	3/8	1	1	I6
19	19	4/4	1/2	1	1	V43
19	19	4/4	5/8	1	1	I
19	19	4/4	3/4	1	1	V6
19	19	4/4	7/8	1	1	vi7
20	20	4/4	0	1	1	V
20	20	4/4	1/8	1	1	vi7
20	20	4/4	1/4	1	1	V6
20	20	4/4	3/8	1	1	I
20	20	4/4	1/2	1	1	V43
20	20	4/4	5/8	1	1	V6
20	20	4/4	3/4	1	1	I
20	20	4/4	7/8	1	1	vi7
21	21	4/4	0	1	1	V}
22	22	4/4	0	1	1	V.V{
23	23	4/4	0	1	1	V6(2)
23	23	4/4	1/8	1	1	V6
24	24	4/4	0	1	1	IV6(2)
24	24	4/4	1/8	1	1	IV6
24	24	4/4	1/2	1	1	iii6(2)
24	24	4/4	5/8	1	1	iii6
25	25	4/4	0	1	1	ii6
25	25	4/4	1/2	1	1	I6
26	26	4/4	0	1	1	V
27	27	4/4	0	1	1	V6(#7)
27	27	4/4	3/16	1	1	V6
28	28	4/4	0	1	1	IV6(2)
28	28	4/4	1/8	1	1	IV6(7)
28	28	4/4	3/8	1	1	IV6
28	28	4/4	1/2	1	1	iii6(2)
28	28	4/4	5/8	1	1	iii6(#7)
28	28	4/4	7/8	1	1	iii6
29	29	4/4	0	1	1	ii6(2)
29	29	4/4	1/8	1	1	ii6(#7)
29	29	4/4	3/8	1	1	ii6
29	29	4/4	1/2	1	1	I6(2)
29	29	4/4	11/16	1	1	I6
30	30	4/4	0	1	1	ii65
31	31	4/4	0	1	1	V43/IV
32	32	4/4	0	1	1	IV6
33	33	4/4	0	1	1	.Ger6
34	34	4/4	0	1	1	V[V}
34	34	4/4	1/4	1	1	{
34	34	4/4	1/2	1	1	V6(#7)/ii
34	34	4/4	5/8	1	1	V6/ii
34	34	4/4	3/4	1	1	ii
35	35	4/4	0	1	1	V7(#7)
35	35	4/4	1/8	1	1	V7
35	35	4/4	1/4	1	1	I
35	35	4/4	1/2	1	1	IV6
35	35	4/4	3/4	1	1	V7
36	36	4/4	0	1	1	I(#2)
36	36	4/4	1/8	1	1	I
36	36	4/4	1/4	1	1	I6
36	36	4/4	1/2	1	1	IV
37	37	4/4	0	1	1	I6
37	37	4/4	1/4	1	1	I
37	37	4/4	1/2	1	1	V7]
38	38	4/4	0	1	1	I
39	39	4/4	0	1	1	IV
40	40	4/4	0	1	1	V(64)
40	40	4/4	3/4	1	1	V7
41	41	4/4	0	1	1	I
42	42	4/4	0	1	1	IV
43	43	4/4	0	1	1	V(64)
43	43	4/4	3/4	1	1	V7
44	44	4/4	0	1	1	I}{
44	44	4/4	1/4	1	1	vi-IV6
44	44	4/4	1/2	1	1	IV
44	44	4/4	3/4	1	1	ii-viio6
45	45	4/4	0	1	1	V65
45	45	4/4	1/2	1	1	I
46	46	4/4	0	1	1	IV
47	47	4/4	0	1	1	viio7/V
48	48	4/4	0	1	1	V(64)
49	49	4/4	0	1	1	V7
50	50	4/4	0	1	1	I}
50	50	4/4	1/2	1	1	viio
