mc	mn	timesig	onset	staff	voice	label
1	1	3/4	0	1	1	.A.I{
1	1	3/4	1/4	1	1	V43
1	1	3/4	1/2	1	1	V2
2	2	3/4	0	1	1	I6
2	2	3/4	3/8	1	1	V65
3	3	3/4	0	1	1	I
3	3	3/4	1/4	1	1	IV
3	3	3/4	1/2	1	1	ii6
4	4	3/4	0	1	1	V(64)}
4	4	3/4	1/4	1	1	V
5	5	3/4	0	1	1	I{
5	5	3/4	1/4	1	1	V43
5	5	3/4	1/2	1	1	V2
6	6	3/4	0	1	1	I6
6	6	3/4	1/4	1	1	ii6(#4)
6	6	3/4	1/2	1	1	viio7/V
7	7	3/4	0	1	1	V(64)
7	7	3/4	5/8	1	1	V7
8	8	3/4	0	1	1	I(94)}
8	8	3/4	1/4	1	1	I
9	9	3/4	0	1	1	V7{
9	9	3/4	3/8	1	1	V(64)
9	9	3/4	1/2	1	1	V7
10	10	3/4	0	1	1	I[I
10	10	3/4	3/8	1	1	viio6
10	10	3/4	1/2	1	1	I]
10	10	3/4	5/8	1	1	V6
11	11	3/4	0	1	1	vi
11	11	3/4	1/2	1	1	V43/V
12	12	3/4	0	1	1	V(94)}
12	12	3/4	3/8	1	1	V
13	13	3/4	0	1	1	#viio7/ii{
13	13	3/4	1/4	1	1	ii
13	13	3/4	1/2	1	1	viio43
14	14	3/4	0	1	1	I6
14	14	3/4	1/4	1	1	#viio65/ii
15	15	3/4	0	1	1	ii6
15	15	3/4	1/4	1	1	V(64)
15	15	3/4	1/2	1	1	V7
16	16	3/4	0	1	1	I(94)}
16	16	3/4	1/4	1	1	I
17	17	3/4	0	1	1	vi.i{
18	18	3/4	0	1	1	V6
19	19	3/4	0	1	1	i
19	19	3/4	1/8	1	1	v6
19	19	3/4	1/4	1	1	.Ger6(2)
19	19	3/4	1/2	1	1	.Ger6
20	20	3/4	0	1	1	V}
20	20	3/4	1/2	1	1	#viio7
21	21	3/4	0	1	1	i{
22	22	3/4	0	1	1	IV.viio6
23	23	3/4	0	1	1	I6
23	23	3/4	1/8	1	1	#viio65/ii
23	23	3/4	1/4	1	1	ii6
23	23	3/4	3/8	1	1	viio7/V
23	23	3/4	1/2	1	1	V(64)
23	23	3/4	5/8	1	1	V7
24	24	3/4	0	1	1	I}{
24	24	3/4	1/2	1	1	V7
25	25	3/4	0	1	1	I
25	25	3/4	1/2	1	1	V7
26	26	3/4	0	1	1	I
26	26	3/4	9/16	1	1	V7/IV
27	27	3/4	0	1	1	#viio7/ii
28	28	3/4	0	1	1	ii
28	28	3/4	9/16	1	1	V7/V
29	29	3/4	0	1	1	vi.#viio7
30	30	3/4	0	1	1	i
30	30	3/4	1/4	1	1	IV6
30	30	3/4	1/2	1	1	.Ger6
31	31	3/4	0	1	1	V}
32	32	3/4	0	1	1	i{
33	33	3/4	0	1	1	V6
34	34	3/4	0	1	1	i
34	34	3/4	3/16	1	1	v6
34	34	3/4	1/4	1	1	.Ger6(2)
34	34	3/4	1/2	1	1	.Ger6
35	35	3/4	0	1	1	V}
35	35	3/4	1/2	1	1	#viio7
36	36	3/4	0	1	1	i{
37	37	3/4	0	1	1	#viio43/iv
38	38	3/4	0	1	1	IV6
38	38	3/4	1/8	1	1	.It6
38	38	3/4	1/4	1	1	V(64)
38	38	3/4	5/8	1	1	V7
39	39	3/4	0	1	1	i}{
39	39	3/4	1/2	1	1	V7
40	40	3/4	0	1	1	i
40	40	3/4	1/2	1	1	V7
41	41	3/4	0	1	1	i
42	42	3/4	0	1	1	VI6
43	43	3/4	0	1	1	I.V7
