mc	mn	timesig	onset	staff	voice	label
1	1	2/4	0	1	1	.C.I[I{
3	3	2/4	3/8	1	1	viio64
4	4	2/4	0	1	1	I
5	5	2/4	0	1	1	IV
6	6	2/4	0	1	1	I]
7	7	2/4	0	1	1	V(64)
7	7	2/4	1/4	1	1	V7
8	8	2/4	0	1	1	I(#2)
8	8	2/4	1/8	1	1	I
9	9	2/4	0	1	1	IV64
10	10	2/4	0	1	1	I
11	11	2/4	0	1	1	V(64)
11	11	2/4	1/4	1	1	V7
12	12	2/4	0	1	1	I}{
13	13	2/4	0	1	1	V(64)
13	13	2/4	1/8	1	1	V7
13	13	2/4	1/4	1	1	V(64)
13	13	2/4	3/8	1	1	V
14	14	2/4	0	1	1	I
15	15	2/4	0	1	1	V(64)
15	15	2/4	1/8	1	1	V7
15	15	2/4	1/4	1	1	V(64)
15	15	2/4	3/8	1	1	V
16	16	2/4	0	1	1	I
16	16	2/4	3/16	1	1	viio64/IV
16	16	2/4	1/4	1	1	IV6
16	16	2/4	3/8	1	1	IV
17	17	2/4	0	1	1	I6
17	17	2/4	1/8	1	1	I
18	18	2/4	0	1	1	V(64)}
18	18	2/4	1/4	1	1	V
19	19	2/4	0	1	1	V.I{
20	20	2/4	0	1	1	IV64
21	21	2/4	0	1	1	V65
22	22	2/4	0	1	1	I
24	24	2/4	0	1	1	IV64
25	25	2/4	0	1	1	V65
26	26	2/4	0	1	1	I}{
26	26	2/4	1/8	1	1	ii7
26	26	2/4	1/4	1	1	I6
26	26	2/4	3/8	1	1	I
27	27	2/4	0	1	1	IV
28	28	2/4	0	1	1	I
28	28	2/4	1/8	1	1	ii7
28	28	2/4	1/4	1	1	I6
28	28	2/4	3/8	1	1	I
29	29	2/4	0	1	1	IV
30	30	2/4	0	1	1	I
30	30	2/4	1/4	1	1	IV
31	31	2/4	0	1	1	V
31	31	2/4	1/8	1	1	#viio7/vi
31	31	2/4	3/8	1	1	vi
32	32	2/4	0	1	1	ii6
33	33	2/4	0	1	1	V(64)
33	33	2/4	1/4	1	1	V7(4)
33	33	2/4	3/8	1	1	V7
34	34	2/4	0	1	1	I}
34	34	2/4	1/4	1	1	{
36	36	2/4	0	1	1	V65
36	36	2/4	1/4	1	1	I
37	37	2/4	0	1	1	IV
37	37	2/4	3/8	1	1	vii%7/V
38	38	2/4	0	1	1	V(64)}
38	38	2/4	1/8	1	1	V
38	38	2/4	1/4	1	1	{
41	41	2/4	0	1	1	vi
41	41	2/4	1/8	1	1	ii6
41	41	2/4	1/4	1	1	V(64)
41	41	2/4	3/8	1	1	V7
42	42	2/4	0	1	1	I}{
42	42	2/4	1/4	1	1	I(64)
43	43	2/4	0	1	1	I
43	43	2/4	1/4	1	1	I(64)
44	44	2/4	0	1	1	I
44	44	2/4	1/8	1	1	V2
44	44	2/4	1/4	1	1	I6
44	44	2/4	3/8	1	1	V2
45	45	2/4	0	1	1	I6
45	45	2/4	1/8	1	1	V6
45	45	2/4	1/4	1	1	I
45	45	2/4	3/8	1	1	V43
46	46	2/4	0	1	1	I6
47	47	2/4	0	1	1	ii6
47	47	2/4	1/4	1	1	V(64)
47	47	2/4	3/8	1	1	V7
48	48	2/4	0	1	1	I}{
48	48	2/4	1/4	1	1	I(64)
49	49	2/4	0	1	1	I
49	49	2/4	1/4	1	1	I(64)
50	50	2/4	0	1	1	I
50	50	2/4	1/8	1	1	V2
50	50	2/4	1/4	1	1	I6
50	50	2/4	3/8	1	1	V2
51	51	2/4	0	1	1	I6
51	51	2/4	1/8	1	1	V6
51	51	2/4	1/4	1	1	I
51	51	2/4	3/8	1	1	V43
52	52	2/4	0	1	1	I6
53	53	2/4	0	1	1	ii6
53	53	2/4	1/4	1	1	V(64)
53	53	2/4	3/8	1	1	V7
54	54	2/4	0	1	1	I}
55	55	2/4	0	1	1	V(64)
55	55	2/4	1/4	1	1	V7
56	56	2/4	0	1	1	I
57	57	2/4	0	1	1	V(64)
57	57	2/4	1/4	1	1	V7
58	58	2/4	0	1	1	I
59	59	2/4	0	1	1	{
59	59	2/4	3/8	1	1	viio43/IV
60	60	2/4	0	1	1	IV6
60	60	2/4	3/8	1	1	#viio43/ii
61	61	2/4	0	1	1	ii6
61	61	2/4	3/8	1	1	viio43
62	62	2/4	0	1	1	I6
62	62	2/4	1/8	1	1	V2(9)
62	62	2/4	1/4	1	1	I6
62	62	2/4	3/8	1	1	V2(9)
63	63	2/4	0	1	1	I6
63	63	2/4	1/8	1	1	viio43
63	63	2/4	1/4	1	1	I6
63	63	2/4	3/8	1	1	viio43
64	64	2/4	0	1	1	I6
65	65	2/4	0	1	1	V(64)
65	65	2/4	1/4	1	1	V7
66	66	2/4	0	1	1	I}
66	66	2/4	5/16	1	1	{
67	67	2/4	0	1	1	I(6)
67	67	2/4	1/8	1	1	I
