mc	mn	timesig	onset	staff	voice	label
1	1	4/4	0	1	1	.C.I{
3	3	4/4	0	1	1	I6
3	3	4/4	1/2	1	1	V65/ii
4	4	4/4	0	1	1	V43
4	4	4/4	1/2	1	1	V6
5	5	4/4	0	1	1	I
5	5	4/4	1/2	1	1	I6
6	6	4/4	0	1	1	ii6
7	7	4/4	1/2	1	1	V(64)
7	7	4/4	3/4	1	1	V7
8	8	4/4	0	1	1	I}{
10	10	4/4	0	1	1	I6
10	10	4/4	1/2	1	1	V65/ii
11	11	4/4	0	1	1	V43
11	11	4/4	1/2	1	1	V6
12	12	4/4	0	1	1	I
12	12	4/4	1/2	1	1	I6
13	13	4/4	0	1	1	#viio43/ii
13	13	4/4	1/2	1	1	ii6
14	14	4/4	0	1	1	viio6/IV
14	14	4/4	1/2	1	1	IV6
15	15	4/4	1/2	1	1	IV
16	16	4/4	0	1	1	I6
16	16	4/4	1/2	1	1	I
17	17	4/4	0	1	1	ii6
17	17	4/4	1/2	1	1	V(64)
17	17	4/4	3/4	1	1	V
18	18	4/4	0	1	1	IV6
18	18	4/4	1/2	1	1	IV
19	19	4/4	0	1	1	I6
19	19	4/4	1/2	1	1	I
20	20	4/4	0	1	1	ii65
20	20	4/4	1/4	1	1	ii6
20	20	4/4	1/2	1	1	V(64)
20	20	4/4	3/4	1	1	V
21	21	4/4	0	1	1	I}{
23	23	4/4	0	1	1	V6
25	25	4/4	0	1	1	V.V65
27	27	4/4	0	1	1	I
27	27	4/4	1/4	1	1	V64
27	27	4/4	1/2	1	1	V65
27	27	4/4	3/4	1	1	V7
28	28	4/4	0	1	1	I
28	28	4/4	1/4	1	1	V64
28	28	4/4	1/2	1	1	V65
28	28	4/4	3/4	1	1	V7
29	29	4/4	0	1	1	I
29	29	4/4	1/2	1	1	I6
30	30	4/4	0	1	1	IV
30	30	4/4	1/2	1	1	IV6
31	31	4/4	0	1	1	ii
32	32	4/4	0	1	1	V}
34	34	4/4	0	1	1	V2
34	34	4/4	1/4	1	1	I6
34	34	4/4	1/2	1	1	V2
34	34	4/4	3/4	1	1	V64
35	35	4/4	0	1	1	I{
35	35	4/4	1/2	1	1	I6
36	36	4/4	0	1	1	V2
36	36	4/4	1/2	1	1	V64
37	37	4/4	0	1	1	I6
37	37	4/4	1/4	1	1	I
37	37	4/4	1/2	1	1	V43
37	37	4/4	3/4	1	1	V6
38	38	4/4	0	1	1	I
38	38	4/4	1/4	1	1	viio6/V
38	38	4/4	1/2	1	1	V}
39	39	4/4	0	1	1	I{
39	39	4/4	1/2	1	1	I6
40	40	4/4	0	1	1	V2
40	40	4/4	1/2	1	1	V64
41	41	4/4	0	1	1	I6
41	41	4/4	1/4	1	1	I
41	41	4/4	1/2	1	1	V43
41	41	4/4	3/4	1	1	V6
42	42	4/4	0	1	1	I
42	42	4/4	1/4	1	1	viio6/V
42	42	4/4	1/2	1	1	V}
42	42	4/4	3/4	1	1	V2
43	43	4/4	0	1	1	I6{
44	44	4/4	0	1	1	IV
45	45	4/4	0	1	1	V(64)
45	45	4/4	1/2	1	1	V7
46	46	4/4	0	1	1	I6
47	47	4/4	0	1	1	IV
48	48	4/4	0	1	1	I64
48	48	4/4	1/4	1	1	IV6
48	48	4/4	1/2	1	1	I64
48	48	4/4	3/4	1	1	IV
49	49	4/4	0	1	1	I6
49	49	4/4	1/4	1	1	IV6
49	49	4/4	1/2	1	1	I64
49	49	4/4	3/4	1	1	IV
50	50	4/4	0	1	1	#viio65/ii
51	51	4/4	0	1	1	ii6
52	52	4/4	0	1	1	V(64)
53	53	4/4	0	1	1	V7
54	54	4/4	0	1	1	I}
54	54	4/4	1/4	1	1	{
54	54	4/4	1/2	1	1	V43
54	54	4/4	3/4	1	1	viio
55	55	4/4	0	1	1	I(4)
55	55	4/4	1/8	1	1	I
55	55	4/4	1/4	1	1	vi
55	55	4/4	1/2	1	1	ii6(2)
55	55	4/4	5/8	1	1	ii6
55	55	4/4	3/4	1	1	V
56	56	4/4	0	1	1	I6(2)
56	56	4/4	1/8	1	1	I6
56	56	4/4	1/4	1	1	I
56	56	4/4	1/2	1	1	ii
56	56	4/4	3/4	1	1	viio
57	57	4/4	0	1	1	I
57	57	4/4	1/4	1	1	vi
57	57	4/4	1/2	1	1	ii6
57	57	4/4	3/4	1	1	V
58	58	4/4	0	1	1	I}
59	59	4/4	0	1	1	i{
61	61	4/4	0	1	1	i6
61	61	4/4	3/8	1	1	iio
61	61	4/4	1/2	1	1	i
62	62	4/4	0	1	1	i64
62	62	4/4	3/8	1	1	iio6
62	62	4/4	1/2	1	1	i6
63	63	4/4	0	1	1	ii.iv6
63	63	4/4	3/4	1	1	ii%43
64	64	4/4	0	1	1	V7(4)
64	64	4/4	1/2	1	1	V7
65	65	4/4	0	1	1	iv6
65	65	4/4	3/4	1	1	ii%43
66	66	4/4	0	1	1	V7(4)
66	66	4/4	1/2	1	1	V7
67	67	4/4	0	1	1	i}{
69	69	4/4	0	1	1	vi.iv6
69	69	4/4	3/4	1	1	ii%43
70	70	4/4	0	1	1	V7(4)
70	70	4/4	1/2	1	1	V7
71	71	4/4	0	1	1	iv6
71	71	4/4	3/4	1	1	ii%43
72	72	4/4	0	1	1	V7(4)
72	72	4/4	1/2	1	1	V7
73	73	4/4	0	1	1	i}{
73	73	4/4	1/2	1	1	VI6
74	74	4/4	0	1	1	viio43/V
74	74	4/4	1/2	1	1	V6
75	75	4/4	0	1	1	v.i
75	75	4/4	1/2	1	1	VI6
76	76	4/4	0	1	1	viio43/V
76	76	4/4	1/2	1	1	V6
77	77	4/4	0	1	1	viio43/IV
77	77	4/4	1/2	1	1	IV6
78	78	4/4	0	1	1	vi.#viio43
78	78	4/4	1/2	1	1	i6
79	79	4/4	0	1	1	viio7/V
81	81	4/4	1/2	1	1	V
81	81	4/4	3/4	1	1	V7
82	82	4/4	0	1	1	i}
82	82	4/4	1/4	1	1	{
82	82	4/4	1/2	1	1	V43
82	82	4/4	3/4	1	1	#viio
