mc	mn	timesig	onset	staff	voice	label
1	0	3/4	0	1	1	.F.I{
2	1	3/4	1/4	1	1	V43
2	1	3/4	1/2	1	1	I
3	2	3/4	0	1	1	V65
3	2	3/4	1/4	1	1	V7
3	2	3/4	1/2	1	1	I
4	3	3/4	0	1	1	ii6
4	3	3/4	1/4	1	1	V(64)
4	3	3/4	1/2	1	1	V7
5	4	3/4	0	1	1	IV6
5	4	3/4	1/4	1	1	V65
5	4	3/4	1/2	1	1	I
6	5	3/4	0	1	1	ii6
6	5	3/4	1/4	1	1	V(64)
6	5	3/4	1/2	1	1	V7
7	6	3/4	0	1	1	I}
7	6	3/4	1/3	1	1	{
8	7	3/4	0	1	1	V(64)
8	7	3/4	1/4	1	1	V
9	8	3/4	0	1	1	I(94)
9	8	3/4	1/4	1	1	V2/IV
9	8	3/4	1/2	1	1	viio/IV
10	9	3/4	0	1	1	IV(9)
10	9	3/4	1/4	1	1	IV
10	9	3/4	1/2	1	1	V65/V
11	10	3/4	0	1	1	V}
12	11	3/4	0	1	1	V.V43{
13	12	3/4	0	1	1	I6
14	13	3/4	0	1	1	V65
15	14	3/4	0	1	1	I
16	15	3/4	0	1	1	V65/V
16	15	3/4	1/4	1	1	V
16	15	3/4	1/2	1	1	V2
17	16	3/4	0	1	1	I6
17	16	3/4	1/6	1	1	IV
17	16	3/4	1/4	1	1	V(64)
17	16	3/4	1/2	1	1	V7
18	17	3/4	0	1	1	I6}
19	18	3/4	0	1	1	viio7/V{
19	18	3/4	1/4	1	1	V
19	18	3/4	1/2	1	1	vii%7
20	19	3/4	0	1	1	I
20	19	3/4	1/4	1	1	#viio7/vi
20	19	3/4	1/2	1	1	vi
21	20	3/4	0	1	1	ii6
21	20	3/4	1/4	1	1	V(64)
21	20	3/4	1/2	1	1	V7
22	21	3/4	0	1	1	I}{
22	21	3/4	1/4	1	1	viio6
22	21	3/4	1/2	1	2	I6
23	22	3/4	0	1	2	ii65
24	23	3/4	0	1	2	viio7/V
25	24	3/4	0	1	1	V(64)
26	25	3/4	0	1	1	viio/V
26	25	3/4	1/4	1	1	V(4)
26	25	3/4	1/2	1	1	V
27	26	3/4	0	1	1	I}{
27	26	3/4	1/2	1	1	V7
28	27	3/4	0	1	1	I
28	27	3/4	1/2	1	1	V7
29	28	3/4	0	1	1	I(974)}
29	28	3/4	1/2	1	1	I
30	28	3/4	0	1	1	{
32	30	3/4	0	1	1	V6
33	31	3/4	0	1	1	vi.iv6
34	32	3/4	0	1	1	V(64)
34	32	3/4	1/4	1	1	V
35	33	3/4	0	1	1	#viio43
35	33	3/4	1/4	1	1	i6
35	33	3/4	1/2	1	1	i
36	34	3/4	0	1	1	iio6
36	34	3/4	1/4	1	1	V(64)
36	34	3/4	1/2	1	1	V
37	35	3/4	0	1	1	#viio64
37	35	3/4	1/4	1	1	i6
37	35	3/4	1/2	1	1	i
38	36	3/4	0	1	1	iio6
38	36	3/4	1/4	1	1	V(64)
38	36	3/4	1/2	1	1	V
39	37	3/4	0	1	1	I.#viio65/ii
40	38	3/4	0	1	1	ii6
42	40	3/4	0	1	1	ii
43	41	3/4	0	1	1	V(64)}
43	41	3/4	1/4	1	1	V7
45	43	3/4	0	1	1	I{
45	43	3/4	1/4	1	1	V43
45	43	3/4	1/2	1	1	I
46	44	3/4	0	1	1	V65
46	44	3/4	1/4	1	1	V7
46	44	3/4	1/2	1	1	I
47	45	3/4	0	1	1	ii6
47	45	3/4	1/4	1	1	V(64)
47	45	3/4	1/2	1	1	V7
48	46	3/4	0	1	1	viio2
48	46	3/4	1/4	1	1	V7
48	46	3/4	1/2	1	1	viio2
49	47	3/4	0	1	1	V7
49	47	3/4	1/4	1	1	#viio7/vi
49	47	3/4	1/2	1	1	vi
50	48	3/4	0	1	1	V65/V
51	49	3/4	0	1	1	viio6/V
52	50	3/4	0	1	1	V}
53	51	3/4	0	1	1	V43{
54	52	3/4	0	1	1	I6
55	53	3/4	0	1	1	V65
56	54	3/4	0	1	1	I
57	55	3/4	0	1	1	V65/V
57	55	3/4	1/4	1	1	V
57	55	3/4	1/2	1	1	V2
58	56	3/4	0	1	1	I6
58	56	3/4	1/6	1	1	IV
58	56	3/4	1/4	1	1	V(64)
58	56	3/4	1/2	1	1	V7
59	57	3/4	0	1	1	I6}
60	58	3/4	0	1	1	viio7/V{
60	58	3/4	1/4	1	1	V
60	58	3/4	1/2	1	1	vii%7
61	59	3/4	0	1	1	I
61	59	3/4	1/4	1	1	#viio7/vi
61	59	3/4	1/2	1	1	vi
62	60	3/4	0	1	1	ii6
62	60	3/4	1/4	1	1	V(64)
62	60	3/4	1/2	1	1	V7
63	61	3/4	0	1	1	I}{
63	61	3/4	1/4	1	1	viio6
63	61	3/4	1/2	1	1	I6
64	62	3/4	0	1	2	ii6
64	62	3/4	1/4	1	2	V(64)
64	62	3/4	1/2	1	2	V7
65	63	3/4	0	1	2	I}{
65	63	3/4	1/4	1	2	viio6
65	63	3/4	1/2	1	2	I6
66	64	3/4	0	1	2	ii65
67	65	3/4	0	1	2	viio7/V
68	66	3/4	0	1	2	V(64)
69	67	3/4	0	1	2	V65/V
69	67	3/4	1/4	1	2	V(4)
69	67	3/4	1/2	1	2	V7
70	68	3/4	0	1	2	I}
70	68	3/4	1/3	1	2	{
71	69	3/4	0	1	1	V(64)
71	69	3/4	1/4	1	1	V
72	70	3/4	1/4	1	1	V2/IV
72	70	3/4	1/2	1	1	viio/IV
72	70	3/4	0	1	2	I(94)
73	71	3/4	0	1	1	IV
73	71	3/4	1/4	1	1	V(64)
73	71	3/4	1/2	1	1	V7
74	72	3/4	0	1	1	I}{
74	72	3/4	1/2	1	1	V7
75	73	3/4	0	1	1	I
75	73	3/4	1/2	1	1	V7
76	74	3/4	0	1	1	I(974)}
76	74	3/4	1/2	1	1	I
