mc	mn	timesig	onset	staff	voice	label
1	1	2/2	0	1	1	.F.I6{
1	1	2/2	1/2	1	1	I
2	2	2/2	0	1	1	V2
2	2	2/2	1/2	1	1	I6
3	3	2/2	0	1	1	V2
3	3	2/2	1/2	1	1	I6
4	4	2/2	0	1	1	V43
4	4	2/2	1/4	1	1	V65
4	4	2/2	1/2	1	1	I
4	4	2/2	3/4	1	1	I6
5	5	2/2	0	1	1	IV
5	5	2/2	1/2	1	1	vi-IV6
5	5	2/2	3/4	1	1	V65/V
6	6	2/2	0	1	1	V(4)}
6	6	2/2	1/4	1	1	V
7	7	2/2	0	1	1	I6{
7	7	2/2	1/2	1	1	I
8	8	2/2	0	1	1	V2
8	8	2/2	1/2	1	1	I6
9	9	2/2	0	1	1	V2
9	9	2/2	1/2	1	1	I6
10	10	2/2	0	1	1	V43
10	10	2/2	1/4	1	1	V65
10	10	2/2	1/2	1	1	I
10	10	2/2	3/4	1	1	vi
11	11	2/2	0	1	1	IV
11	11	2/2	3/8	1	1	ii6
11	11	2/2	1/2	1	1	V(64)
11	11	2/2	3/4	1	1	V7
12	12	2/2	0	1	1	I(74)}
12	12	2/2	1/2	1	1	I
13	13	2/2	0	1	1	V.I6{
13	13	2/2	1/2	1	1	IV
14	14	2/2	0	1	1	V7
14	14	2/2	1/2	1	1	vi
15	15	2/2	0	1	1	I6
15	15	2/2	1/2	1	1	IV
16	16	2/2	0	1	1	V7
16	16	2/2	1/2	1	1	vi
17	17	2/2	0	1	1	ii6
18	18	2/2	0	1	1	V(64)}
18	18	2/2	1/2	1	1	V
19	19	2/2	0	1	1	IV6{
19	19	2/2	1/2	1	1	I64
20	20	2/2	0	1	1	V2
20	20	2/2	1/2	1	1	I6
21	21	2/2	0	1	1	IV6
21	21	2/2	1/2	1	1	I64
22	22	2/2	0	1	1	V2
22	22	2/2	1/2	1	1	I6
23	23	2/2	0	1	1	viio6/V
23	23	2/2	3/4	1	1	V
24	24	2/2	0	1	1	V65
24	24	2/2	3/4	1	1	I
25	25	2/2	0	1	1	IV6
25	25	2/2	1/2	1	1	V(64)
25	25	2/2	3/4	1	1	V
26	26	2/2	0	1	1	I(97)}
26	26	2/2	1/2	1	1	I
27	27	2/2	0	1	1	V7/V{
27	27	2/2	3/4	1	1	V
28	28	2/2	0	1	1	V7
28	28	2/2	3/4	1	1	I
29	29	2/2	0	1	1	ii6
29	29	2/2	1/2	1	1	V(64)
29	29	2/2	3/4	1	1	V7
30	30	2/2	0	1	1	I}{
30	30	2/2	1/4	1	1	V[I
