mc	mn	timesig	onset	staff	voice	label
1	1	3/4	0	1	1	.A.I{
1	1	3/4	1/2	1	1	V7
2	2	3/4	0	1	1	I
3	3	3/4	0	1	1	V
3	3	3/4	1/2	1	1	I
4	4	3/4	0	1	1	V65
5	5	3/4	0	1	1	I6
5	5	3/4	1/2	1	1	V43
6	6	3/4	0	1	1	I
6	6	3/4	1/2	1	1	V2
7	7	3/4	0	1	1	I6
7	7	3/4	3/8	1	1	V2
7	7	3/4	1/2	1	1	I6
7	7	3/4	5/8	1	1	V43
8	8	3/4	0	1	1	I
8	8	3/4	1/8	1	1	ii6
8	8	3/4	1/4	1	1	V(64)}
8	8	3/4	1/2	1	1	V
9	9	3/4	0	1	1	I{
9	9	3/4	1/2	1	1	V7
10	10	3/4	0	1	1	I
11	11	3/4	0	1	1	V7
11	11	3/4	1/2	1	1	V
12	12	3/4	0	1	1	viio6
13	13	3/4	0	1	1	I6
13	13	3/4	1/2	1	1	V43
14	14	3/4	0	1	1	I
14	14	3/4	1/2	1	1	V2
15	15	3/4	0	1	1	I6
15	15	3/4	1/2	1	1	IV
16	16	3/4	0	1	1	V(64)
16	16	3/4	1/8	1	1	V7
16	16	3/4	1/4	1	1	I(94)}
16	16	3/4	1/2	1	1	I
17	17	3/4	0	1	1	{
17	17	3/4	1/4	1	1	I6
17	17	3/4	3/8	1	1	V2
17	17	3/4	1/2	1	1	I6
17	17	3/4	5/8	1	1	V2
18	18	3/4	0	1	1	I
18	18	3/4	1/8	1	1	V6
18	18	3/4	1/4	1	1	I
18	18	3/4	3/8	1	1	V43
18	18	3/4	1/2	1	1	I
18	18	3/4	5/8	1	1	V6
19	19	3/4	0	1	1	V
19	19	3/4	1/4	1	1	V6
19	19	3/4	3/8	1	1	V6(#4^2)
19	19	3/4	1/2	1	1	V6
19	19	3/4	5/8	1	1	V6(#4^2)
20	20	3/4	0	1	1	V6
20	20	3/4	1/8	1	1	I
20	20	3/4	1/4	1	1	V43
20	20	3/4	3/8	1	1	I6
20	20	3/4	1/2	1	1	V43
20	20	3/4	5/8	1	1	I
22	22	3/4	0	1	1	V.V43
23	23	3/4	0	1	1	I6
23	23	3/4	1/2	1	1	IV
24	24	3/4	0	1	1	V(64)
24	24	3/4	1/4	1	1	V
24	24	3/4	1/2	1	1	V7
25	25	3/4	0	1	1	I}{
26	26	3/4	0	1	1	V43
26	26	3/4	1/2	1	1	V65
27	27	3/4	0	1	1	I
28	28	3/4	0	1	1	V43
28	28	3/4	1/2	1	1	V65
29	29	3/4	0	1	1	I
29	29	3/4	1/4	1	1	IV
29	29	3/4	1/2	1	1	ii6
30	30	3/4	1/8	1	1	V7
30	30	3/4	1/4	1	1	I(94)}
30	30	3/4	1/2	1	1	I
31	31	3/4	0	1	1	I.I{
31	31	3/4	1/2	1	1	V7
32	32	3/4	0	1	1	I
33	33	3/4	0	1	1	V6
33	33	3/4	1/2	1	1	I
34	34	3/4	0	1	1	V43
35	35	3/4	0	1	1	I6
35	35	3/4	1/2	1	1	viio6
36	36	3/4	0	1	1	I64-iii6
36	36	3/4	1/2	1	1	ii6
37	37	3/4	0	1	1	I6
37	37	3/4	3/8	1	1	viio64
37	37	3/4	1/2	1	1	I6
37	37	3/4	5/8	1	1	viio6
38	38	3/4	0	1	1	I
38	38	3/4	1/8	1	1	I6
38	38	3/4	1/4	1	1	V(64)}
38	38	3/4	1/2	1	1	V
39	39	3/4	0	1	1	I{
39	39	3/4	1/2	1	1	V7
40	40	3/4	0	1	1	I
41	41	3/4	0	1	1	V7
41	41	3/4	1/2	1	1	V(64)
42	42	3/4	0	1	1	V7
43	43	3/4	0	1	1	I6
43	43	3/4	1/2	1	1	viio6
44	44	3/4	0	1	1	I
44	44	3/4	1/2	1	1	V2
45	45	3/4	0	1	1	I6
45	45	3/4	1/4	1	1	IV
45	45	3/4	1/2	1	1	IV6
46	46	3/4	0	1	1	V7
46	46	3/4	1/4	1	1	I(74)}
46	46	3/4	1/2	1	1	I
47	47	3/4	0	1	1	vi.i{
48	48	3/4	0	1	1	V65
49	49	3/4	0	1	1	#viio43/iv
50	50	3/4	0	1	1	IV6
51	51	3/4	0	1	1	.Ger6
52	52	3/4	0	1	1	V}
53	53	3/4	0	1	1	IV.I{
53	53	3/4	1/4	1	1	I6
53	53	3/4	3/8	1	1	V2
53	53	3/4	1/2	1	1	I6
53	53	3/4	5/8	1	1	V2
54	54	3/4	0	1	1	I
54	54	3/4	1/8	1	1	V6
54	54	3/4	1/4	1	1	I
54	54	3/4	3/8	1	1	V43
54	54	3/4	1/2	1	1	I
54	54	3/4	5/8	1	1	V6
55	55	3/4	0	1	1	V
55	55	3/4	1/4	1	1	V6
55	55	3/4	3/8	1	1	V6(#4^2)
55	55	3/4	1/2	1	1	V6
55	55	3/4	5/8	1	1	V6(#4^2)
56	56	3/4	0	1	1	V6
56	56	3/4	1/8	1	1	I
56	56	3/4	1/4	1	1	V43
56	56	3/4	3/8	1	1	I6
56	56	3/4	1/2	1	1	V43
56	56	3/4	5/8	1	1	I
58	58	3/4	0	1	1	I.V43
59	59	3/4	0	1	1	I6
59	59	3/4	1/2	1	1	IV6
60	60	3/4	0	1	1	V(64)
60	60	3/4	1/4	1	1	V
60	60	3/4	1/2	1	1	V7
61	61	3/4	0	1	1	I}{
62	62	3/4	0	1	1	V43
62	62	3/4	1/4	1	1	V6
62	62	3/4	1/2	1	1	V7
63	63	3/4	0	1	1	I
64	64	3/4	0	1	1	V43
64	64	3/4	1/4	1	1	V6
64	64	3/4	1/2	1	1	V7
65	65	3/4	0	1	1	I
65	65	3/4	1/4	1	1	IV
65	65	3/4	1/2	1	1	V65/V
66	66	3/4	0	1	1	V
66	66	3/4	1/4	1	1	viio6/V
67	67	3/4	1/4	1	1	V65
68	68	3/4	0	1	1	i
68	68	3/4	1/4	1	1	.bVI
68	68	3/4	3/8	1	1	viio7/V
69	69	3/4	0	1	1	V(#7b64)}
69	69	3/4	1/4	1	1	V
70	70	3/4	0	1	1	I{
70	70	3/4	1/2	1	1	V7
71	71	3/4	0	1	1	I
72	72	3/4	0	1	1	V
72	72	3/4	1/2	1	1	V(64)
73	73	3/4	0	1	1	V65
74	74	3/4	0	1	1	I6
74	74	3/4	1/2	1	1	V64
74	74	3/4	5/8	1	1	V43
75	75	3/4	0	1	1	I
75	75	3/4	1/2	1	1	ii65
75	75	3/4	5/8	1	1	V
76	76	3/4	0	1	1	I6
76	76	3/4	3/8	1	1	V2
76	76	3/4	1/2	1	1	I6
76	76	3/4	5/8	1	1	V43
77	77	3/4	0	1	1	I
77	77	3/4	1/8	1	1	I6
77	77	3/4	1/4	1	1	V(64)}
77	77	3/4	1/2	1	1	V
78	78	3/4	0	1	1	I{
78	78	3/4	1/4	1	1	I6
78	78	3/4	1/2	1	1	V7
79	79	3/4	0	1	1	I
79	79	3/4	1/8	1	1	V43
79	79	3/4	1/4	1	1	I
79	79	3/4	3/8	1	1	V6
79	79	3/4	1/2	1	1	I
80	80	3/4	0	1	1	V65
80	80	3/4	1/4	1	1	V7
80	80	3/4	1/2	1	1	I
81	81	3/4	0	1	1	V6
81	81	3/4	1/8	1	1	I
81	81	3/4	1/4	1	1	V43
81	81	3/4	3/8	1	1	I
81	81	3/4	1/2	1	1	V65
81	81	3/4	5/8	1	1	V7
82	82	3/4	0	1	1	I6
82	82	3/4	1/2	1	1	viio6
83	83	3/4	0	1	1	I
83	83	3/4	1/2	1	1	V2
84	84	3/4	0	1	1	I6
84	84	3/4	1/4	1	1	IV
84	84	3/4	5/8	1	1	IV6
85	85	3/4	0	1	1	V(64)
85	85	3/4	1/8	1	1	V7
85	85	3/4	1/4	1	1	#viio7/vi
85	85	3/4	1/2	1	1	vi
85	85	3/4	5/8	1	1	#viio43/ii
86	86	3/4	0	1	1	ii6
86	86	3/4	1/4	1	1	V7
87	87	3/4	0	1	1	V(64)
87	87	3/4	1/8	1	1	V7
87	87	3/4	1/4	1	1	#viio7/vi
87	87	3/4	1/2	1	1	vi
87	87	3/4	5/8	1	1	#viio43/ii
88	88	3/4	0	1	1	ii6
89	89	3/4	0	1	1	V7
90	90	3/4	0	1	1	I6
90	90	3/4	1/2	1	1	IV
91	91	3/4	0	1	1	V(64)
91	91	3/4	1/8	1	1	V7
91	91	3/4	1/4	1	1	I(94)}
91	91	3/4	1/2	1	1	I
92	92	3/4	1/8	1	1	viio
92	92	3/4	1/4	1	1	I(974)
92	92	3/4	1/2	1	1	I
