mc	mn	timesig	onset	staff	voice	label
1	0	3/4	0	1	1	.G.I{
3	2	3/4	0	1	1	V43
4	3	3/4	0	1	1	V6
4	3	3/4	1/2	1	1	V65
5	4	3/4	0	1	1	I
6	5	3/4	0	1	1	IV(4)
6	5	3/4	1/8	1	1	IV
7	6	3/4	0	1	1	I6(6)
7	6	3/4	1/8	1	1	I6
8	7	3/4	0	1	1	V43
8	7	3/4	1/4	1	1	I
8	7	3/4	1/2	1	1	V6
9	8	3/4	0	1	1	I
9	8	3/4	1/2	1	1	IV6
10	9	3/4	1/4	1	1	V(64)
10	9	3/4	1/2	1	1	V7
11	10	3/4	0	1	1	I}
11	10	3/4	1/2	1	1	{
12	11	3/4	0	1	1	IV(4)
12	11	3/4	1/8	1	1	IV
13	12	3/4	0	1	1	I6(6)
13	12	3/4	1/8	1	1	I6
14	13	3/4	0	1	1	V43
14	13	3/4	1/4	1	1	I
14	13	3/4	1/2	1	1	V6
15	14	3/4	0	1	1	I
15	14	3/4	1/2	1	1	IV6
16	15	3/4	1/4	1	1	V(64)
16	15	3/4	1/2	1	1	V7
17	16	3/4	0	1	1	I}
17	16	3/4	3/8	1	1	{
18	17	3/4	0	1	1	IV
18	17	3/4	3/8	1	1	ii
19	18	3/4	0	1	1	V
19	18	3/4	3/8	1	1	I6
19	18	3/4	5/8	1	1	viio6/IV
20	19	3/4	0	1	1	IV6
20	19	3/4	1/4	1	1	IV
20	19	3/4	1/2	1	1	IV6
20	19	3/4	5/8	1	1	viio
21	20	3/4	0	1	1	I
21	20	3/4	1/4	1	1	vi
21	20	3/4	1/2	1	1	vi6
22	21	3/4	0	1	1	I6
22	21	3/4	1/4	1	1	I
22	21	3/4	1/2	1	1	I6
22	21	3/4	5/8	1	1	viio/V
23	22	3/4	0	1	1	V}
24	23	3/4	0	1	1	V.I6{
24	23	3/4	1/4	1	1	V43
24	23	3/4	1/2	1	1	I(4)
24	23	3/4	5/8	1	1	I
25	24	3/4	0	1	1	V6(6)
25	24	3/4	1/8	1	1	V6
25	24	3/4	1/4	1	1	vi7(4)
25	24	3/4	3/8	1	1	vi7
25	24	3/4	1/2	1	1	V(4)
25	24	3/4	5/8	1	1	V
26	25	3/4	0	1	1	vi7(4)
26	25	3/4	1/16	1	1	vi7
26	25	3/4	1/4	1	1	V6(6)
26	25	3/4	5/16	1	1	V6
26	25	3/4	1/2	1	1	I(4)
26	25	3/4	9/16	1	1	I
27	26	3/4	0	1	1	V43
27	26	3/4	1/4	1	1	V6
27	26	3/4	1/2	1	1	V
28	27	3/4	0	1	1	I6
28	27	3/4	1/4	1	1	V43
28	27	3/4	1/2	1	1	I
29	28	3/4	0	1	1	V6
29	28	3/4	1/4	1	1	vi7
29	28	3/4	1/2	1	1	V
30	29	3/4	0	1	1	vi7
30	29	3/4	1/4	1	1	V65
30	29	3/4	1/2	1	1	I
31	30	3/4	0	1	1	V43
31	30	3/4	1/4	1	1	V6
31	30	3/4	1/2	1	1	V
32	31	3/4	0	1	1	I}{
32	31	3/4	1/2	1	1	viio
32	31	3/4	5/8	1	1	I
33	32	3/4	1/2	1	1	vii%7
33	32	3/4	5/8	1	1	I
34	33	3/4	1/2	1	1	viio/V
34	33	3/4	5/8	1	1	V
35	34	3/4	0	1	1	viio/IV
35	34	3/4	1/8	1	1	IV
35	34	3/4	1/4	1	1	viio43/V
35	34	3/4	3/8	1	1	V6
35	34	3/4	1/2	1	1	viio43/IV
35	34	3/4	5/8	1	1	IV6
36	35	3/4	0	1	1	V7
36	35	3/4	1/2	1	1	V2
37	36	3/4	0	1	1	I6
38	37	3/4	0	1	1	ii6
38	37	3/4	1/4	1	1	V(64)
38	37	3/4	1/2	1	1	V7
39	38	3/4	0	1	1	I}{
39	38	3/4	1/2	1	1	viio/V
39	38	3/4	5/8	1	1	V
40	39	3/4	0	1	1	viio/IV
40	39	3/4	1/8	1	1	IV
40	39	3/4	1/4	1	1	viio43/V
40	39	3/4	3/8	1	1	V6
40	39	3/4	1/2	1	1	viio43/IV
40	39	3/4	5/8	1	1	IV6
41	40	3/4	0	1	1	V7
41	40	3/4	1/2	1	1	V2
42	41	3/4	0	1	1	I6
43	42	3/4	0	1	1	ii6
43	42	3/4	1/4	1	1	V(64)
43	42	3/4	1/2	1	1	V7
44	43	3/4	0	1	1	I}{
44	43	3/4	3/8	1	1	iii6
44	43	3/4	1/2	1	1	IV6
44	43	3/4	5/8	1	1	viio
45	44	3/4	0	1	1	I
45	44	3/4	3/8	1	1	iii6
45	44	3/4	1/2	1	1	IV6
45	44	3/4	5/8	1	1	viio
46	45	3/4	0	1	1	I
46	45	3/4	1/8	1	1	vi6
46	45	3/4	1/4	1	1	V6(2)
46	45	3/4	3/8	1	1	V6
46	45	3/4	1/2	1	1	IV6(2)
46	45	3/4	5/8	1	1	IV6
47	46	3/4	0	1	1	iii6(2)
47	46	3/4	1/8	1	1	iii6
47	46	3/4	1/4	1	1	ii6(2)
47	46	3/4	3/8	1	1	ii6
47	46	3/4	1/2	1	1	I6(2)
47	46	3/4	5/8	1	1	I6
48	47	3/4	0	1	1	ii6(#7)
48	47	3/4	1/8	1	1	ii6
48	47	3/4	1/4	1	1	ii
48	47	3/4	1/2	1	1	V7
49	48	3/4	0	1	1	I}{
49	48	3/4	3/16	1	1	vi6
49	48	3/4	1/4	1	1	V6(2)
49	48	3/4	7/16	1	1	V6
49	48	3/4	1/2	1	1	IV6(2)
49	48	3/4	11/16	1	1	IV6
50	49	3/4	0	1	1	iii6(2)
50	49	3/4	3/16	1	1	iii6
50	49	3/4	1/4	1	1	ii6(2)
50	49	3/4	7/16	1	1	ii6
50	49	3/4	1/2	1	1	I6(2)
50	49	3/4	11/16	1	1	I6
51	50	3/4	0	1	1	ii6
51	50	3/4	1/4	1	1	V(64)
51	50	3/4	1/2	1	1	V7
52	51	3/4	0	1	1	I[I}
52	51	3/4	3/8	1	1	V7/IV
52	51	3/4	1/2	1	1	IV64
52	51	3/4	5/8	1	1	viio6
53	52	3/4	0	1	1	I
53	52	3/4	3/8	1	1	V7/IV
53	52	3/4	1/2	1	1	IV64
53	52	3/4	5/8	1	1	viio6
54	53	3/4	0	1	1	I]
56	54	3/4	0	1	1	{
57	55	3/4	0	1	1	viio6
58	56	3/4	0	1	1	I6
59	57	3/4	0	1	1	ii6
59	57	3/4	1/2	1	1	V
60	58	3/4	0	1	1	I
61	59	3/4	1/4	1	1	viio6(2)
61	59	3/4	1/2	1	1	viio6
62	60	3/4	1/4	1	1	I6
63	61	3/4	0	1	1	ii6
63	61	3/4	1/2	1	1	V
64	62	3/4	0	1	1	I}{
65	63	3/4	0	1	1	I.V[I
66	64	3/4	0	1	1	V7
68	66	3/4	0	1	1	I
69	67	3/4	0	1	1	I6
69	67	3/4	1/2	1	1	V7
70	68	3/4	0	1	1	V]}
72	70	3/4	0	1	1	V7
73	71	3/4	1/2	1	1	{
74	72	3/4	0	1	1	I
75	73	3/4	0	1	1	V43
76	74	3/4	0	1	1	V65
77	75	3/4	0	1	1	I
77	75	3/4	3/8	1	1	V6/ii
77	75	3/4	1/2	1	1	ii
79	77	3/4	0	1	1	V43/ii
80	78	3/4	0	1	1	V65/ii
81	79	3/4	0	1	1	ii
82	80	3/4	0	1	1	IV.IV6
82	80	3/4	1/2	1	1	V65
83	81	3/4	0	1	1	I(#2)
83	81	3/4	1/4	1	1	I
83	81	3/4	1/2	1	1	I6
84	82	3/4	0	1	1	I
85	83	3/4	0	1	1	V6
86	84	3/4	0	1	1	I
86	84	3/4	3/8	1	1	vi
87	85	3/4	0	1	1	ii
87	85	3/4	3/8	1	1	viio
87	85	3/4	5/8	1	1	viio6
88	86	3/4	0	1	1	I6
88	86	3/4	1/4	1	1	I
88	86	3/4	1/2	1	1	I6
88	86	3/4	5/8	1	1	I.viio
89	87	3/4	0	1	1	I
89	87	3/4	1/4	1	1	vi
89	87	3/4	1/2	1	1	vi6
90	88	3/4	0	1	1	I6
90	88	3/4	1/4	1	1	I
90	88	3/4	1/2	1	1	I6
90	88	3/4	5/8	1	1	viio/V
