mc	mn	timesig	onset	staff	voice	label
1	0	4/4	0	1	1	.Bb.I{
2	1	4/4	1/2	1	1	vi6
3	2	4/4	0	1	1	ii(4)
3	2	4/4	1/4	1	1	ii
4	3	4/4	0	1	1	V(4)
4	3	4/4	1/4	1	1	V7
5	4	4/4	0	1	1	I(97)
5	4	4/4	1/4	1	1	I
6	5	4/4	0	1	1	ii6
6	5	4/4	1/4	1	1	I6
6	5	4/4	1/2	1	1	ii6
6	5	4/4	3/4	1	1	viio6
7	6	4/4	0	1	1	I6
8	7	4/4	0	1	1	ii6
8	7	4/4	1/4	1	1	I6
8	7	4/4	1/2	1	1	ii6
8	7	4/4	3/4	1	1	viio6
9	8	4/4	0	1	1	I6
10	9	4/4	0	1	1	V65
10	9	4/4	1/4	1	1	I
10	9	4/4	1/2	1	1	ii6
10	9	4/4	3/4	1	1	V(64)
10	9	4/4	7/8	1	1	V
11	10	4/4	0	1	1	I}
11	10	4/4	3/4	1	1	{
12	11	4/4	5/8	1	1	vi6
13	12	4/4	0	1	1	V.V(4)
13	12	4/4	1/4	1	1	V7
14	13	4/4	0	1	1	V65
15	14	4/4	0	1	1	I
16	15	4/4	0	1	1	V2
16	15	4/4	1/2	1	1	I6
17	16	4/4	0	1	1	V2
17	16	4/4	1/2	1	1	I6
18	17	4/4	0	1	1	ii6
18	17	4/4	1/2	1	1	viio/V
19	18	4/4	0	1	1	V
19	18	4/4	1/4	1	1	vi7
19	18	4/4	1/2	1	1	V6
19	18	4/4	3/4	1	1	I
20	19	4/4	0	1	1	V43
20	19	4/4	1/4	1	1	V65
20	19	4/4	1/2	1	1	I
20	19	4/4	3/4	1	1	vi7
21	20	4/4	0	1	1	V
21	20	4/4	1/4	1	1	vi7
21	20	4/4	1/2	1	1	V6
21	20	4/4	3/4	1	1	I
22	21	4/4	0	1	1	V43
22	21	4/4	1/4	1	1	V65
22	21	4/4	1/2	1	1	I
22	21	4/4	3/4	1	1	V43/V
23	22	4/4	0	1	1	V}
24	23	4/4	0	1	1	I{
25	24	4/4	0	1	1	IV
25	24	4/4	3/4	1	1	I6
26	25	4/4	0	1	1	V65/V
26	25	4/4	1/4	1	1	I64
26	25	4/4	1/2	1	1	V65/V
26	25	4/4	3/4	1	1	I64
27	26	4/4	0	1	1	vi7
27	26	4/4	1/4	1	1	viio
27	26	4/4	1/2	1	1	I
28	27	4/4	0	1	1	ii6
29	28	4/4	0	1	1	I6
30	29	4/4	0	1	1	ii
30	29	4/4	1/4	1	1	viio
30	29	4/4	1/2	1	1	I
30	29	4/4	3/4	1	1	vi
31	30	4/4	0	1	1	V}
32	31	4/4	0	1	1	I{
33	32	4/4	0	1	1	IV
33	32	4/4	3/4	1	1	I6
34	33	4/4	0	1	1	V65/V
34	33	4/4	1/4	1	1	I64
34	33	4/4	1/2	1	1	V65/V
34	33	4/4	3/4	1	1	I64
35	34	4/4	0	1	1	vii7
35	34	4/4	1/4	1	1	viio
35	34	4/4	1/2	1	1	I
36	35	4/4	0	1	1	vi
36	35	4/4	3/8	1	1	#viio64/ii
36	35	4/4	1/2	1	1	ii6
36	35	4/4	7/8	1	1	I6
37	36	4/4	0	1	1	viio6
37	36	4/4	1/8	1	1	vi6
37	36	4/4	1/4	1	1	V6
37	36	4/4	3/8	1	1	V7
37	36	4/4	1/2	1	1	I
37	36	4/4	3/4	1	1	I6
38	37	4/4	0	1	1	ii6
38	37	4/4	1/2	1	1	V(64)
38	37	4/4	3/4	1	1	V
39	38	4/4	0	1	1	I}
40	39	4/4	0	1	1	V65{
40	39	4/4	1/4	1	1	V2
40	39	4/4	1/2	1	1	V65
40	39	4/4	3/4	1	1	V2
41	40	4/4	0	1	1	I6
41	40	4/4	1/8	1	1	V6
41	40	4/4	1/4	1	1	I
41	40	4/4	3/8	1	1	V43
41	40	4/4	1/2	1	1	I6
42	41	4/4	0	1	1	V65
42	41	4/4	1/4	1	1	V2
42	41	4/4	1/2	1	1	V65
42	41	4/4	3/4	1	1	V2
43	42	4/4	0	1	1	I6
43	42	4/4	1/8	1	1	V6
43	42	4/4	1/4	1	1	I
43	42	4/4	3/8	1	1	V43
43	42	4/4	1/2	1	1	I6
44	43	4/4	0	1	1	IV
44	43	4/4	1/2	1	1	V
45	44	4/4	0	1	1	#viio7/vi
45	44	4/4	1/2	1	1	vi
46	45	4/4	1/4	1	1	ii6
46	45	4/4	1/2	1	1	V(64)
46	45	4/4	3/4	1	1	V7
47	46	4/4	0	1	1	I}{
47	46	4/4	1/2	1	1	V7/IV
48	47	4/4	0	1	1	V65/ii
48	47	4/4	1/2	1	1	ii
49	48	4/4	0	1	1	V65
49	48	4/4	1/2	1	1	I
50	49	4/4	0	1	1	V65/V
50	49	4/4	1/2	1	1	V(64)
50	49	4/4	3/4	1	1	V7
51	50	4/4	0	1	1	I[I}{
51	50	4/4	1/4	1	1	viio
51	50	4/4	3/8	1	1	V7/V
51	50	4/4	1/2	1	1	IV6
51	50	4/4	5/8	1	1	I
51	50	4/4	3/4	1	1	viio
51	50	4/4	7/8	1	1	V7/IV
52	51	4/4	0	1	1	IV6
52	51	4/4	1/8	1	1	I
52	51	4/4	1/4	1	1	viio
52	51	4/4	3/8	1	1	V7/IV]
52	51	4/4	1/2	1	1	IV6
52	51	4/4	5/8	1	1	viio/IV
52	51	4/4	3/4	1	1	IV
52	51	4/4	7/8	1	1	viio6
53	52	4/4	0	1	1	I6
53	52	4/4	1/2	1	1	ii6
54	53	4/4	0	1	1	V(64)
54	53	4/4	1/2	1	1	V7
55	54	4/4	0	1	1	I[I}{
