mc	mn	timesig	onset	staff	voice	label
1	1	4/4	0	1	1	.D.I{
1	1	4/4	3/4	1	1	viio6
2	2	4/4	0	1	1	I6
3	3	4/4	1/4	1	1	I
3	3	4/4	1/2	1	1	ii7
3	3	4/4	3/4	1	1	V7
4	4	4/4	0	1	1	I}{
4	4	4/4	3/4	1	1	viio6
5	5	4/4	0	1	1	I6
6	6	4/4	1/2	1	1	ii7
6	6	4/4	3/4	1	1	V7
7	7	4/4	0	1	1	I}{
8	8	4/4	0	1	1	V43
9	9	4/4	0	1	1	V7
9	9	4/4	3/4	1	1	V2
10	10	4/4	0	1	1	I6
11	11	4/4	0	1	1	I
11	11	4/4	5/8	1	1	I6
12	12	4/4	0	1	1	ii6
12	12	4/4	7/8	1	1	viio/V
13	13	4/4	0	1	1	V
13	13	4/4	1/8	1	1	V2
13	13	4/4	1/4	1	1	I6
13	13	4/4	3/8	1	1	I
13	13	4/4	1/2	1	1	V65
13	13	4/4	5/8	1	1	V7
13	13	4/4	3/4	1	1	I
13	13	4/4	7/8	1	1	I6
14	14	4/4	0	1	1	V
14	14	4/4	1/8	1	1	V2
14	14	4/4	1/4	1	1	I6
14	14	4/4	3/8	1	1	I
14	14	4/4	1/2	1	1	V65
14	14	4/4	5/8	1	1	V7
14	14	4/4	3/4	1	1	I
14	14	4/4	7/8	1	1	I6
15	15	4/4	0	1	1	V
15	15	4/4	1/4	1	1	I
15	15	4/4	1/2	1	1	V
15	15	4/4	3/4	1	1	I
16	16	4/4	0	1	1	V}
16	16	4/4	3/4	1	1	V.I6{
17	17	4/4	0	1	1	I
17	17	4/4	1/4	1	1	V43
17	17	4/4	1/2	1	1	I6
17	17	4/4	3/4	1	1	I
18	18	4/4	0	1	1	ii
18	18	4/4	1/2	1	1	V65
18	18	4/4	3/4	1	1	V7
19	19	4/4	0	1	1	I6
19	19	4/4	1/4	1	1	V6
19	19	4/4	1/2	1	1	I
19	19	4/4	3/4	1	1	IV6
20	20	4/4	0	1	1	V(64)}
20	20	4/4	1/2	1	1	V
20	20	4/4	5/8	1	1	{
21	21	4/4	0	1	1	I
21	21	4/4	1/4	1	1	V43
21	21	4/4	1/2	1	1	I6
21	21	4/4	3/4	1	1	I
22	22	4/4	0	1	1	ii
22	22	4/4	1/2	1	1	V65
22	22	4/4	3/4	1	1	V
23	23	4/4	0	1	1	I
23	23	4/4	1/4	1	1	ii6
23	23	4/4	1/2	1	1	V(64)
23	23	4/4	3/4	1	1	V
24	24	4/4	0	1	1	I}{
24	24	4/4	1/2	1	1	V7
25	25	4/4	0	1	1	I
25	25	4/4	1/2	1	1	V7
26	26	4/4	0	1	1	I
26	26	4/4	1/2	1	1	V2
27	27	4/4	0	1	1	I6
27	27	4/4	1/2	1	1	V7
28	28	4/4	0	1	1	I}
28	28	4/4	1/4	1	1	I6{
28	28	4/4	1/2	1	1	ii7
28	28	4/4	3/4	1	1	I
29	29	4/4	0	1	1	IV
30	30	4/4	0	1	1	I6
30	30	4/4	1/2	1	1	ii7
30	30	4/4	3/4	1	1	I
31	31	4/4	0	1	1	ii6
31	31	4/4	1/2	1	1	V(64)
31	31	4/4	3/4	1	1	V7
32	32	4/4	0	1	1	I}
32	32	4/4	1/4	1	1	I6{
32	32	4/4	1/2	1	1	ii7
32	32	4/4	3/4	1	1	I
33	33	4/4	0	1	1	IV
34	34	4/4	0	1	1	I6
34	34	4/4	1/2	1	1	ii7
34	34	4/4	3/4	1	1	I
35	35	4/4	0	1	1	ii6
35	35	4/4	1/2	1	1	V(64)
35	35	4/4	3/4	1	1	V7
36	36	4/4	0	1	1	I}{
36	36	4/4	3/8	1	1	V7
36	36	4/4	1/2	1	1	I
36	36	4/4	7/8	1	1	V7
37	37	4/4	0	1	1	I
37	37	4/4	1/4	1	1	V7
37	37	4/4	1/2	1	1	I
38	38	4/4	0	1	1	ii6
38	38	4/4	1/2	1	1	V(64)
38	38	4/4	3/4	1	1	V
39	39	4/4	0	1	1	I(974)}
39	39	4/4	1/2	1	1	I
40	40	4/4	0	1	1	I.#viio/ii{
41	41	4/4	0	1	1	V7/ii
42	42	4/4	0	1	1	ii6
42	42	4/4	1/2	1	1	V65/ii
43	43	4/4	0	1	1	V2/ii
43	43	4/4	1/2	1	1	ii6}
44	44	4/4	0	1	1	viio{
45	45	4/4	0	1	1	V7
46	46	4/4	0	1	1	I6
46	46	4/4	1/2	1	1	V65
47	47	4/4	0	1	1	V2
47	47	4/4	1/2	1	1	I6}
48	48	4/4	0	1	1	I{
48	48	4/4	1/4	1	1	vi
48	48	4/4	1/2	1	1	I64
48	48	4/4	3/4	1	1	vii%7/V
49	49	4/4	0	1	1	V65/V
49	49	4/4	1/2	1	1	#viio/vi
50	50	4/4	0	1	1	vi.i(9)
50	50	4/4	1/2	1	1	i64
50	50	4/4	3/4	1	1	viio7/V
51	51	4/4	0	1	1	V65/V
51	51	4/4	1/2	1	1	viio/VI
52	52	4/4	0	1	1	VI
52	52	4/4	1/2	1	1	.Ger6
53	53	4/4	0	1	1	V7
53	53	4/4	1/2	1	1	viio7/V
54	54	4/4	0	1	1	V(64)
54	54	4/4	1/2	1	1	V7
55	55	4/4	0	1	1	i(9#74)}
55	55	4/4	1/2	1	1	i
56	56	4/4	0	1	1	{
56	56	4/4	1/2	1	1	IV.V43
57	57	4/4	0	1	1	I
57	57	4/4	1/2	1	1	vii%7}
58	58	4/4	1/4	1	1	I6{
58	58	4/4	1/2	1	1	ii7
58	58	4/4	3/4	1	1	I
59	59	4/4	0	1	1	IV
60	60	4/4	0	1	1	I6
60	60	4/4	1/2	1	1	ii7
60	60	4/4	3/4	1	1	I
61	61	4/4	0	1	1	ii6
61	61	4/4	1/2	1	1	V(64)
61	61	4/4	3/4	1	1	V7
62	62	4/4	0	1	1	I}
62	62	4/4	1/4	1	1	I6{
62	62	4/4	1/2	1	1	ii7
62	62	4/4	3/4	1	1	I
63	63	4/4	0	1	1	IV
64	64	4/4	0	1	1	I6
64	64	4/4	1/2	1	1	ii7
64	64	4/4	3/4	1	1	I
65	65	4/4	0	1	1	ii6
65	65	4/4	1/2	1	1	V(64)
65	65	4/4	3/4	1	1	V7
66	66	4/4	0	1	1	I}{
66	66	4/4	3/8	1	1	V65
66	66	4/4	1/2	1	1	I
66	66	4/4	7/8	1	1	V65
67	67	4/4	0	1	1	I
67	67	4/4	3/8	1	1	V65
67	67	4/4	1/2	1	1	I
67	67	4/4	5/8	1	1	V65
67	67	4/4	3/4	1	1	I
67	67	4/4	7/8	1	1	I.viio6
68	68	4/4	0	1	1	I6
68	68	4/4	3/8	1	1	V65
68	68	4/4	1/2	1	1	I
68	68	4/4	7/8	1	1	V65
69	69	4/4	0	1	1	I
69	69	4/4	3/8	1	1	V65/ii
69	69	4/4	1/2	1	1	ii
69	69	4/4	7/8	1	1	V65/ii
70	70	4/4	0	1	1	ii
70	70	4/4	3/8	1	1	vii%65
70	70	4/4	1/2	1	1	I6
70	70	4/4	7/8	1	1	V64
71	71	4/4	0	1	1	I6
71	71	4/4	3/8	1	1	viio/IV
71	71	4/4	1/2	1	1	IV
71	71	4/4	5/8	1	1	V6/IV
71	71	4/4	3/4	1	1	IV
71	71	4/4	7/8	1	1	V6/ii
72	72	4/4	0	1	1	ii
72	72	4/4	1/8	1	1	V6/ii
72	72	4/4	1/4	1	1	ii
72	72	4/4	3/8	1	1	V6
72	72	4/4	1/2	1	1	I
72	72	4/4	5/8	1	1	V6
72	72	4/4	3/4	1	1	I
72	72	4/4	7/8	1	1	V6/vi
73	73	4/4	0	1	1	vi
73	73	4/4	1/8	1	1	V6/vi
73	73	4/4	1/4	1	1	vi
73	73	4/4	3/8	1	1	#viio43/ii
73	73	4/4	1/2	1	1	ii6
74	74	4/4	3/4	1	1	V65/V
75	75	4/4	0	1	1	V
75	75	4/4	1/8	1	1	V2
75	75	4/4	1/4	1	1	I6
75	75	4/4	3/8	1	1	I
75	75	4/4	1/2	1	1	V65
75	75	4/4	5/8	1	1	V7
75	75	4/4	3/4	1	1	I
75	75	4/4	7/8	1	1	I6
76	76	4/4	0	1	1	V
76	76	4/4	1/8	1	1	V2
76	76	4/4	1/4	1	1	I6
76	76	4/4	3/8	1	1	I
76	76	4/4	1/2	1	1	V65
76	76	4/4	5/8	1	1	V7
76	76	4/4	3/4	1	1	I
76	76	4/4	7/8	1	1	I6
77	77	4/4	0	1	1	V
77	77	4/4	1/4	1	1	I
77	77	4/4	1/2	1	1	V
77	77	4/4	3/4	1	1	I
78	78	4/4	0	1	1	V}
78	78	4/4	3/4	1	1	I6{
79	79	4/4	0	1	1	I
79	79	4/4	1/4	1	1	V43
79	79	4/4	1/2	1	1	I6
79	79	4/4	3/4	1	1	I
80	80	4/4	0	1	1	ii
80	80	4/4	1/2	1	1	V65
80	80	4/4	3/4	1	1	V7
81	81	4/4	0	1	1	I6
81	81	4/4	1/4	1	1	V6
81	81	4/4	1/2	1	1	I
81	81	4/4	3/4	1	1	IV6
82	82	4/4	0	1	1	V(64)}
82	82	4/4	1/2	1	1	V
82	82	4/4	5/8	1	1	{
83	83	4/4	0	1	1	i
83	83	4/4	1/4	1	1	V43
83	83	4/4	1/2	1	1	i6
83	83	4/4	3/4	1	1	i
84	84	4/4	0	1	1	iio
84	84	4/4	1/2	1	1	V65
84	84	4/4	3/4	1	1	V
85	85	4/4	0	1	1	i
85	85	4/4	1/4	1	1	v6
85	85	4/4	1/2	1	1	.Ger6
86	86	4/4	0	1	1	V(#764)}
86	86	4/4	1/2	1	1	V
87	87	4/4	0	1	1	I{
87	87	4/4	1/2	1	1	V7
88	88	4/4	0	1	1	I
88	88	4/4	1/2	1	1	V7
89	89	4/4	0	1	1	I
89	89	4/4	1/2	1	1	V2
90	90	4/4	0	1	1	I6
90	90	4/4	1/2	1	1	V7
91	91	4/4	0	1	1	I}
91	91	4/4	1/4	1	1	I6{
91	91	4/4	1/2	1	1	ii7
91	91	4/4	3/4	1	1	I
92	92	4/4	0	1	1	IV
93	93	4/4	0	1	1	I6
93	93	4/4	1/2	1	1	ii7
93	93	4/4	3/4	1	1	I
94	94	4/4	0	1	1	ii6
94	94	4/4	1/2	1	1	V(64)
94	94	4/4	3/4	1	1	V7
95	95	4/4	0	1	1	I}
95	95	4/4	1/4	1	1	I6{
95	95	4/4	1/2	1	1	ii7
95	95	4/4	3/4	1	1	I
96	96	4/4	0	1	1	IV
97	97	4/4	0	1	1	I6
97	97	4/4	1/2	1	1	ii7
97	97	4/4	3/4	1	1	I
98	98	4/4	0	1	1	ii6
98	98	4/4	1/2	1	1	V(64)
98	98	4/4	3/4	1	1	V7
99	99	4/4	0	1	1	I}{
99	99	4/4	3/4	1	1	viio6
100	100	4/4	0	1	1	I6
101	101	4/4	0	1	1	I6
101	101	4/4	1/4	1	1	I
101	101	4/4	1/2	1	1	ii7
101	101	4/4	3/4	1	1	V7
102	102	4/4	0	1	1	I}{
102	102	4/4	3/4	1	1	viio6
103	103	4/4	0	1	1	I6
104	104	4/4	0	1	1	I6
104	104	4/4	1/4	1	1	I
104	104	4/4	1/2	1	1	ii7
104	104	4/4	3/4	1	1	V7
105	105	4/4	0	1	1	I6
105	105	4/4	1/2	1	1	IV
106	106	4/4	0	1	1	V(64)
106	106	4/4	1/2	1	1	V7
107	107	4/4	0	1	1	I6
107	107	4/4	1/2	1	1	IV
108	108	4/4	0	1	1	V(64)
108	108	4/4	1/2	1	1	V7
109	109	4/4	0	1	1	I}{
109	109	4/4	3/8	1	1	V7
109	109	4/4	1/2	1	1	I
109	109	4/4	7/8	1	1	V7
110	110	4/4	0	1	1	I
110	110	4/4	1/4	1	1	#viio7/vi
110	110	4/4	1/2	1	1	vi
111	111	4/4	0	1	1	ii6
111	111	4/4	1/2	1	1	V(64)
111	111	4/4	3/4	1	1	V
112	112	4/4	0	1	1	I(974)}
112	112	4/4	1/2	1	1	I
