mc	mn	timesig	onset	staff	voice	label
1	1	2/4	0	1	1	.C.I{
1	1	2/4	1/4	1	1	I6
1	1	2/4	3/8	1	1	V
2	2	2/4	0	1	1	I(97)
2	2	2/4	1/8	1	1	I
2	2	2/4	1/4	1	1	V
3	3	2/4	0	1	1	I
3	3	2/4	1/4	1	1	I6
3	3	2/4	3/8	1	1	V
4	4	2/4	0	1	1	I(94)
4	4	2/4	1/8	1	1	I
4	4	2/4	1/4	1	1	V
5	5	2/4	0	1	1	IV6
5	5	2/4	1/4	1	1	I64
6	6	2/4	0	1	1	IV
6	6	2/4	1/4	1	1	I6
7	7	2/4	0	1	1	V65
7	7	2/4	1/4	1	1	I
8	8	2/4	0	1	1	V}
9	9	2/4	0	1	1	I{
9	9	2/4	1/4	1	1	I6
9	9	2/4	3/8	1	1	V
10	10	2/4	0	1	1	I(97)
10	10	2/4	1/8	1	1	I
10	10	2/4	1/4	1	1	V
11	11	2/4	0	1	1	I
11	11	2/4	1/4	1	1	I6
11	11	2/4	3/8	1	1	V
12	12	2/4	0	1	1	I(94)
12	12	2/4	1/8	1	1	I
12	12	2/4	1/4	1	1	V
13	13	2/4	0	1	1	IV6
13	13	2/4	1/4	1	1	I64
14	14	2/4	0	1	1	IV
14	14	2/4	1/4	1	1	I6
15	15	2/4	0	1	1	ii6
15	15	2/4	1/4	1	1	V(64)
15	15	2/4	3/8	1	1	V
16	16	2/4	0	1	1	I}{
17	17	2/4	0	1	1	ii6
17	17	2/4	1/4	1	1	V(64)
17	17	2/4	3/8	1	1	V7
18	18	2/4	0	1	1	I
19	19	2/4	0	1	1	ii6
19	19	2/4	1/4	1	1	V(64)
19	19	2/4	3/8	1	1	V7
20	20	2/4	0	1	1	I}
21	21	2/4	0	1	1	{
21	21	2/4	3/8	1	1	V43
22	22	2/4	0	1	1	I6
22	22	2/4	1/8	1	1	V2
22	22	2/4	1/4	1	1	I6
22	22	2/4	3/8	1	1	V6(#4#2)
23	23	2/4	0	1	1	V6
23	23	2/4	1/4	1	1	I
23	23	2/4	3/8	1	1	V43
24	24	2/4	0	1	1	I
24	24	2/4	1/4	1	1	V6
25	25	2/4	0	1	1	V65
25	25	2/4	3/8	1	1	I
26	26	2/4	0	1	1	V43
26	26	2/4	1/8	1	1	I6
26	26	2/4	1/4	1	1	V2
26	26	2/4	3/8	1	1	V64
27	27	2/4	0	1	1	V65
27	27	2/4	3/8	1	1	V7
28	28	2/4	0	1	1	I(4#2)}
28	28	2/4	1/4	1	1	I
29	29	2/4	0	1	1	V.ii6{
30	30	2/4	0	1	1	I6
31	31	2/4	0	1	1	V65
31	31	2/4	1/4	1	1	I
32	32	2/4	0	1	1	V}
32	32	2/4	3/8	1	1	V2
33	33	2/4	0	1	1	I6{
33	33	2/4	1/8	1	1	I
33	33	2/4	1/4	1	1	I6
33	33	2/4	3/8	1	1	I
34	34	2/4	0	1	1	V43
34	34	2/4	1/8	1	1	I
34	34	2/4	1/4	1	1	V6
34	34	2/4	3/8	1	1	V7
35	35	2/4	0	1	1	I(#2)}
35	35	2/4	1/8	1	1	I
36	36	2/4	0	1	1	V2
36	36	2/4	1/8	1	1	I6
36	36	2/4	1/4	1	1	V2
36	36	2/4	3/8	1	1	V64
37	37	2/4	0	1	1	I6{
37	37	2/4	1/8	1	1	I
37	37	2/4	1/4	1	1	I6
37	37	2/4	3/8	1	1	I
38	38	2/4	0	1	1	V43
38	38	2/4	1/8	1	1	I
38	38	2/4	1/4	1	1	V6
38	38	2/4	3/8	1	1	V7
39	39	2/4	0	1	1	I
39	39	2/4	1/4	1	1	I(64)
40	40	2/4	0	1	1	I
40	40	2/4	1/4	1	1	IV/IV
41	41	2/4	0	1	1	IV6
41	41	2/4	1/4	1	1	IV
42	42	2/4	0	1	1	V(64)
42	42	2/4	1/4	1	1	V7
43	43	2/4	0	1	1	I(4)
43	43	2/4	1/8	1	1	I
43	43	2/4	1/4	1	1	I(64)
44	44	2/4	0	1	1	I
44	44	2/4	1/4	1	1	IV/IV
45	45	2/4	0	1	1	IV6
45	45	2/4	1/4	1	1	IV
46	46	2/4	0	1	1	V(64)
46	46	2/4	1/4	1	1	V7
47	47	2/4	0	1	1	I}{
47	47	2/4	1/4	1	1	V43
47	47	2/4	3/8	1	1	I6
48	48	2/4	0	1	1	V
48	48	2/4	1/4	1	1	V43/V
48	48	2/4	3/8	1	1	V65
49	49	2/4	0	1	1	I
49	49	2/4	1/4	1	1	V43
49	49	2/4	3/8	1	1	I6
50	50	2/4	0	1	1	V
50	50	2/4	1/4	1	1	V65/V
50	50	2/4	3/8	1	1	V65
51	51	2/4	0	1	1	I
52	52	2/4	0	1	1	V7/IV
53	53	2/4	0	1	1	IV
54	54	2/4	3/8	1	1	V7
54	54	2/4	0	1	2	viio7/V
54	54	2/4	1/4	1	2	V(64)
55	55	2/4	0	1	1	I}{
56	56	2/4	0	1	1	V7/IV
57	57	2/4	0	1	1	IV
58	58	2/4	0	1	1	viio7/V
59	59	2/4	0	1	1	V(64)
60	60	2/4	1/4	1	1	V7
61	61	2/4	0	1	1	I[I}
61	61	2/4	1/4	1	1	{
62	62	2/4	0	1	1	V43
62	62	2/4	1/4	1	1	viio64
63	63	2/4	0	1	1	I
64	64	2/4	0	1	1	V43
64	64	2/4	1/4	1	1	viio64
65	65	2/4	0	1	1	I
65	65	2/4	1/4	1	1	V2
66	66	2/4	0	1	1	I
66	66	2/4	1/4	1	1	V2
67	67	2/4	0	1	1	I]
67	67	2/4	3/8	1	1	V7
68	68	2/4	0	1	1	I(94)}
68	68	2/4	1/4	1	1	I
69	69	2/4	0	1	1	I6{
69	69	2/4	1/8	1	1	I
70	70	2/4	0	1	1	I6
70	70	2/4	1/8	1	1	V43
70	70	2/4	1/4	1	1	V6
71	71	2/4	0	1	1	V43
71	71	2/4	1/8	1	1	I
71	71	2/4	1/4	1	1	I6
71	71	2/4	3/8	1	1	V43
72	72	2/4	0	1	1	I6(134)
72	72	2/4	1/4	1	1	I6
73	73	2/4	3/8	1	1	#viio6/ii
74	74	2/4	0	1	1	ii6
74	74	2/4	1/4	1	1	viio/V
75	75	2/4	0	1	1	V(64)
75	75	2/4	1/4	1	1	V7
76	76	2/4	0	1	1	I(94)}
76	76	2/4	1/4	1	1	I
77	77	2/4	0	1	1	I6{
77	77	2/4	1/8	1	1	I
77	77	2/4	3/8	1	1	#viio/ii
78	78	2/4	0	1	1	V43
78	78	2/4	1/4	1	1	V6
78	78	2/4	3/8	1	1	V
79	79	2/4	0	1	1	I
79	79	2/4	1/4	1	1	ii7
80	80	2/4	0	1	1	VI
80	80	2/4	1/4	1	1	I6
81	81	2/4	0	1	1	ii7
81	81	2/4	1/4	1	1	I6
82	82	2/4	0	1	1	I.V43
82	82	2/4	1/4	1	1	I
83	83	2/4	0	1	1	V6
83	83	2/4	1/4	1	1	I
84	84	2/4	0	1	1	I6
84	84	2/4	1/4	1	1	V43
85	85	2/4	0	1	1	I
85	85	2/4	1/4	1	1	V6
85	85	2/4	3/8	1	1	I
86	86	2/4	0	1	1	V[V}{
87	87	2/4	0	1	1	i
87	87	2/4	1/4	1	1	i6
88	88	2/4	0	1	1	V
89	89	2/4	0	1	1	i
89	89	2/4	1/4	1	1	i6
90	90	2/4	0	1	1	V]
91	91	2/4	0	1	1	.Ger6(2)
91	91	2/4	1/4	1	1	.It6
92	92	2/4	0	1	1	V}
94	94	2/4	0	1	1	V7
96	96	2/4	0	1	1	I{
96	96	2/4	1/4	1	1	I6
96	96	2/4	3/8	1	1	V
97	97	2/4	0	1	1	I(97)
97	97	2/4	1/8	1	1	I
97	97	2/4	1/4	1	1	V
98	98	2/4	0	1	1	I
98	98	2/4	1/4	1	1	I6
98	98	2/4	3/8	1	1	V
99	99	2/4	0	1	1	I(94)
99	99	2/4	1/8	1	1	I
99	99	2/4	1/4	1	1	V
100	100	2/4	0	1	1	IV6
100	100	2/4	1/4	1	1	I64
101	101	2/4	0	1	1	IV
101	101	2/4	1/4	1	1	I6
102	102	2/4	0	1	1	V65
102	102	2/4	1/4	1	1	I
103	103	2/4	0	1	1	V}
104	104	2/4	0	1	1	I{
104	104	2/4	1/4	1	1	I6
104	104	2/4	3/8	1	1	V
105	105	2/4	0	1	1	I(97)
105	105	2/4	1/8	1	1	I
105	105	2/4	1/4	1	1	V
106	106	2/4	0	1	1	I
106	106	2/4	1/4	1	1	I6
106	106	2/4	3/8	1	1	V
