mc	mn	timesig	onset	staff	voice	label
1	0	2/2	0	1	1	.F.I{
2	1	2/2	1/2	1	1	viio
3	2	2/2	0	1	1	I
4	3	2/2	1/2	1	1	viio
5	4	2/2	0	1	1	I[I
6	5	2/2	0	1	1	V2
7	6	2/2	0	1	1	I
8	7	2/2	0	1	1	V2
9	8	2/2	0	1	1	I]}
9	8	2/2	3/4	1	1	{
10	9	2/2	1/2	1	1	viio
11	10	2/2	0	1	1	I
12	11	2/2	1/2	1	1	viio
13	12	2/2	0	1	1	I
14	13	2/2	0	1	1	V43
15	14	2/2	0	1	1	I
15	14	2/2	3/4	1	1	I6
16	15	2/2	0	1	1	V2
17	16	2/2	0	1	1	I6
17	16	2/2	3/8	1	1	viio6
17	16	2/2	1/2	1	1	vi6
17	16	2/2	7/8	1	1	V6
18	17	2/2	0	1	1	IV6
18	17	2/2	3/8	1	1	iii6
18	17	2/2	1/2	1	1	ii6
18	17	2/2	7/8	1	1	I6
19	18	2/2	0	1	1	viio6(2)}
19	18	2/2	1/2	1	1	viio6
20	19	2/2	0	1	1	viio{
20	19	2/2	3/4	1	1	V65
21	20	2/2	0	1	1	I
21	20	2/2	3/8	1	1	V7/IV
21	20	2/2	1/2	1	1	ii6
22	21	2/2	0	1	1	V(64)
22	21	2/2	1/2	1	1	V7(4)
22	21	2/2	3/4	1	1	V7
23	22	2/2	0	1	1	viio6/V
24	23	2/2	0	1	1	V43
25	24	2/2	0	1	1	I
25	24	2/2	1/2	1	1	vi
26	25	2/2	0	1	1	IV
26	25	2/2	1/2	1	1	ii
27	26	2/2	0	1	1	V65(4b2)}
27	26	2/2	1/2	1	1	V65
28	27	2/2	0	1	1	viio6{
28	27	2/2	3/4	1	1	V7
29	28	2/2	0	1	1	V(64)
29	28	2/2	1/4	1	1	V7
29	28	2/2	3/4	1	1	V65
30	29	2/2	0	1	1	I
30	29	2/2	1/4	1	1	V43
30	29	2/2	3/4	1	1	V7
31	30	2/2	0	1	1	V(64)
31	30	2/2	1/4	1	1	V7
32	31	2/2	0	1	1	I}
32	31	2/2	3/4	1	1	V
33	32	2/2	0	1	1	I
33	32	2/2	1/4	1	1	V.ii
33	32	2/2	1/2	1	1	V6/ii
33	32	2/2	3/4	1	1	{
34	33	2/2	0	1	1	ii
34	33	2/2	3/4	1	1	V7/ii
35	34	2/2	0	1	1	ii6
35	34	2/2	1/4	1	1	ii
35	34	2/2	1/2	1	1	V65
36	35	2/2	0	1	1	I
36	35	2/2	1/2	1	1	V7
37	36	2/2	0	1	1	i6
37	36	2/2	1/4	1	1	i
37	36	2/2	1/2	1	1	V65
38	37	2/2	0	1	1	i
38	37	2/2	1/2	1	1	i2
39	38	2/2	0	1	1	.bVI
39	38	2/2	1/2	1	1	i64
40	39	2/2	0	1	1	viio7/V
40	39	2/2	1/2	1	1	i64
41	40	2/2	0	1	1	.bVI
41	40	2/2	1/2	1	1	.It6
42	41	2/2	0	1	1	V}
42	41	2/2	1/2	1	1	{
44	43	2/2	0	1	1	I6
44	43	2/2	1/4	1	1	V2
44	43	2/2	1/2	1	1	I6
44	43	2/2	3/4	1	1	V6
45	44	2/2	0	1	1	I
45	44	2/2	1/4	1	1	IV6
45	44	2/2	1/2	1	1	I6
45	44	2/2	3/4	1	1	IV
46	45	2/2	0	1	1	V(64)}
46	45	2/2	1/4	1	1	V
46	45	2/2	1/2	1	1	V/ii{
47	46	2/2	0	1	1	#vi%7/ii
47	46	2/2	1/4	1	1	V65/ii
47	46	2/2	1/2	1	1	ii
47	46	2/2	3/4	1	1	#viio6/ii
48	47	2/2	0	1	1	ii6
48	47	2/2	3/4	1	1	V2
49	48	2/2	0	1	1	I6
49	48	2/2	1/4	1	1	V65/V
49	48	2/2	1/2	1	1	V(64)
49	48	2/2	3/4	1	1	V
50	49	2/2	0	1	1	I}
50	49	2/2	1/2	1	1	V{
51	50	2/2	1/4	1	1	V2
51	50	2/2	1/2	1	1	I6
51	50	2/2	3/4	1	1	V43
52	51	2/2	0	1	1	I
52	51	2/2	1/4	1	1	viio6
52	51	2/2	1/2	1	1	I6
52	51	2/2	3/4	1	1	viio(#3)/IV
53	52	2/2	0	1	1	ii6
54	53	2/2	0	1	1	V(4)}
54	53	2/2	1/4	1	1	V
54	53	2/2	1/2	1	1	vi{
55	54	2/2	1/4	1	1	#viio43/ii
55	54	2/2	1/2	1	1	ii6
55	54	2/2	3/4	1	1	#viio6/ii
56	55	2/2	0	1	1	ii
56	55	2/2	1/4	1	1	V2/V
56	55	2/2	1/2	1	1	V6
56	55	2/2	3/4	1	1	V2
57	56	2/2	0	1	1	I6
57	56	2/2	1/4	1	1	ii6
57	56	2/2	1/2	1	1	V(64)
57	56	2/2	3/4	1	1	V7
58	57	2/2	0	1	1	I}
58	57	2/2	1/4	1	1	{
58	57	2/2	3/4	1	1	viio43/V
59	58	2/2	0	1	1	V6
59	58	2/2	1/4	1	1	IV6
59	58	2/2	1/2	1	1	iii6
59	58	2/2	3/4	1	1	ii6
60	59	2/2	0	1	1	I6
60	59	2/2	1/4	1	1	i
60	59	2/2	3/4	1	1	viio7/V
61	60	2/2	0	1	1	V(4)
61	60	2/2	1/4	1	1	V43
61	60	2/2	1/2	1	1	I
61	60	2/2	3/4	1	1	V65
62	61	2/2	0	1	1	I}
62	61	2/2	1/4	1	1	{
62	61	2/2	3/4	1	1	V+65/IV
63	62	2/2	0	1	1	IV
63	62	2/2	1/4	1	1	ii
63	62	2/2	3/4	1	1	V+43/V
64	63	2/2	0	1	1	V6
64	63	2/2	1/4	1	1	V
64	63	2/2	3/4	1	1	V2/V
65	64	2/2	0	1	1	V
65	64	2/2	3/4	1	1	V43/V
66	65	2/2	0	1	1	V
66	65	2/2	1/4	1	1	V43/V
66	65	2/2	1/2	1	1	V
66	65	2/2	3/4	1	1	V43/V
67	66	2/2	0	1	1	V}
67	66	2/2	1/4	1	1	{
68	67	2/2	0	1	1	I
68	67	2/2	1/2	1	1	IV
69	68	2/2	0	1	1	vi
69	68	2/2	1/2	1	1	V6
