mc	mn	timesig	onset	staff	voice	label
1	1	3/4	0	1	1	.Bb.I{
5	5	3/4	0	1	1	V7
7	7	3/4	0	1	1	I
9	9	3/4	0	1	1	V7
11	11	3/4	0	1	1	I}
12	12	3/4	7/16	1	1	{
13	13	3/4	0	1	1	IV
14	14	3/4	0	1	1	I6
15	15	3/4	0	1	1	V65
16	16	3/4	0	1	1	I(#2)
16	16	3/4	1/4	1	1	I
17	17	3/4	0	1	1	IV
18	18	3/4	0	1	1	I6
19	19	3/4	0	1	1	V7
20	20	3/4	0	1	1	I}
21	21	3/4	0	1	1	vi
22	22	3/4	0	1	1	V/vi
23	23	3/4	0	1	1	IV{
24	24	3/4	0	1	1	V65/IV
25	25	3/4	0	1	1	IV
26	26	3/4	0	1	1	V65/IV
27	27	3/4	0	1	1	IV
28	28	3/4	0	1	1	#viio65/ii
29	29	3/4	0	1	1	ii6
30	30	3/4	0	1	1	V2
31	31	3/4	0	1	1	I6
32	32	3/4	0	1	1	V.V7
33	33	3/4	0	1	1	vi
34	34	3/4	0	1	1	V7/V
35	35	3/4	0	1	1	V
35	35	3/4	1/2	1	1	V2
36	36	3/4	0	1	1	I6
36	36	3/4	1/4	1	1	V65
36	36	3/4	1/2	1	1	I
37	37	3/4	0	1	1	V
37	37	3/4	1/2	1	1	V2
38	38	3/4	0	1	1	I6
38	38	3/4	1/4	1	1	V65
38	38	3/4	1/2	1	1	I
39	39	3/4	0	1	1	V}
41	41	3/4	0	1	1	I{
45	45	3/4	0	1	1	viio
48	48	3/4	0	1	1	V43
49	49	3/4	0	1	1	I6
50	50	3/4	0	1	1	V2
51	51	3/4	0	1	1	I6
52	52	3/4	0	1	1	V2
53	53	3/4	0	1	1	I6
54	54	3/4	0	1	1	V7/ii
55	55	3/4	0	1	1	ii
55	55	3/4	1/4	1	1	V6
55	55	3/4	1/2	1	1	I
56	56	3/4	0	1	1	ii6
56	56	3/4	1/4	1	1	V(64)
56	56	3/4	1/2	1	1	V7
57	57	3/4	0	1	1	I}{
58	58	3/4	0	1	1	V6
58	58	3/4	1/2	1	1	V65
59	59	3/4	0	1	1	I
60	60	3/4	0	1	1	V6
60	60	3/4	1/2	1	1	V65
61	61	3/4	0	1	1	I
61	61	3/4	1/2	1	1	V43
62	62	3/4	0	1	1	V6/ii
62	62	3/4	1/2	1	1	V65/ii
63	63	3/4	0	1	1	II
63	63	3/4	1/4	1	1	viio7
63	63	3/4	1/2	1	1	I
64	64	3/4	0	1	1	ii6
64	64	3/4	1/4	1	1	V(64)
64	64	3/4	1/2	1	1	viio64
65	65	3/4	0	1	1	I6
66	66	3/4	0	1	1	ii6
66	66	3/4	1/2	1	1	V43/V
67	67	3/4	0	1	1	V(64)
68	68	3/4	0	1	1	V7
69	69	3/4	0	1	1	I}
70	70	3/4	0	1	1	IV6{
70	70	3/4	1/4	1	1	I64
70	70	3/4	1/2	1	1	IV
