mc	mn	timesig	onset	staff	voice	label
1	0	3/8	0	1	1	.F.I{
3	2	3/8	0	1	1	V43
4	3	3/8	0	1	1	I
5	4	3/8	0	1	1	V2
6	5	3/8	0	1	1	I6
7	6	3/8	0	1	1	IV
8	7	3/8	0	1	1	ii
8	7	3/8	1/8	1	1	ii6
8	7	3/8	1/4	1	1	viio/V
9	8	3/8	0	1	1	V}
9	8	3/8	1/4	1	1	I{
11	10	3/8	0	1	1	V43
12	11	3/8	0	1	1	I
13	12	3/8	0	1	1	V2
14	13	3/8	0	1	1	I6
15	14	3/8	0	1	1	IV
16	15	3/8	0	1	1	V(64)
16	15	3/8	1/4	1	1	V
17	16	3/8	0	1	1	I[I}
18	17	3/8	0	1	1	ii6{
19	18	3/8	1/8	1	1	I
20	19	3/8	1/8	1	1	viio6
21	20	3/8	0	1	1	I
22	21	3/8	0	1	1	ii
23	22	3/8	1/8	1	1	I
24	23	3/8	1/8	1	1	viio
25	24	3/8	0	1	1	I}
26	25	3/8	0	1	1	V.ii6]{
27	26	3/8	0	1	1	I6
28	27	3/8	0	1	1	viio6
29	28	3/8	0	1	1	I
30	29	3/8	0	1	1	ii6
32	31	3/8	1/4	1	1	vii%7/V
33	32	3/8	0	1	1	V}
34	33	3/8	1/4	1	1	vii%7/V
35	34	3/8	0	1	1	V
36	35	3/8	1/4	1	1	vii%7/V
37	36	3/8	0	1	1	V
39	38	3/8	0	1	1	V7{
40	39	3/8	0	1	1	V7(9)
41	40	3/8	0	1	1	V7
42	41	3/8	0	1	1	V7(9)
43	42	3/8	0	1	1	I
44	43	3/8	0	1	1	V65
45	44	3/8	0	1	1	I
46	45	3/8	0	1	1	V65
47	46	3/8	0	1	1	I
48	47	3/8	0	1	1	IV6
48	47	3/8	1/4	1	1	iii6
49	48	3/8	0	1	1	ii6
49	48	3/8	1/4	1	1	viio/V
50	49	3/8	0	1	1	V(4)}
50	49	3/8	1/4	1	1	V
51	50	3/8	0	1	1	ii{
55	54	3/8	0	1	1	I
56	55	3/8	0	1	1	V65
