mc	mn	timesig	onset	staff	voice	label
1	1	3/8	0	1	1	.Eb.I{
4	4	3/8	0	1	1	V6
4	4	3/8	1/8	1	1	vi7
4	4	3/8	1/4	1	1	V
5	5	3/8	0	1	1	V2
5	5	3/8	1/8	1	1	vi64
5	5	3/8	1/4	1	1	viio6
6	6	3/8	0	1	1	I
6	6	3/8	1/8	1	1	vi
6	6	3/8	1/4	1	1	IV
7	7	3/8	0	1	1	V(64)
7	7	3/8	1/4	1	1	V7
8	8	3/8	0	1	1	I}{
9	9	3/8	0	1	1	I6
10	10	3/8	0	1	1	ii6
11	11	3/8	0	1	1	V7
12	12	3/8	0	1	1	I
12	12	3/8	1/4	1	1	V7
13	13	3/8	0	1	1	I
13	13	3/8	1/8	1	1	I6
13	13	3/8	1/4	1	1	V7
14	14	3/8	0	1	1	I}
16	16	3/8	0	1	1	{
18	18	3/8	0	1	1	V6
20	20	3/8	0	1	1	V.V43
20	20	3/8	1/4	1	1	V65
21	21	3/8	0	1	1	I
22	22	3/8	0	1	1	V43
22	22	3/8	1/4	1	1	V65
23	23	3/8	0	1	1	I
24	24	3/8	0	1	1	ii6
26	26	3/8	0	1	1	V(64)}
26	26	3/8	1/4	1	1	V
28	28	3/8	0	1	1	I{
29	29	3/8	1/8	1	1	ii
30	30	3/8	0	1	1	V7
31	31	3/8	1/8	1	1	I
32	32	3/8	0	1	1	I6
33	33	3/8	0	1	1	IV
33	33	3/8	1/4	1	1	ii6
34	34	3/8	0	1	1	V(64)
34	34	3/8	1/4	1	1	V7
35	35	3/8	0	1	1	vi
35	35	3/8	1/8	1	1	I64
35	35	3/8	1/4	1	1	ii6
36	36	3/8	0	1	1	I6
37	37	3/8	0	1	1	IV
37	37	3/8	1/4	1	1	ii6
38	38	3/8	0	1	1	V(64)
38	38	3/8	1/4	1	1	V7
39	39	3/8	0	1	1	#viio43/ii
39	39	3/8	1/8	1	1	ii6
39	39	3/8	1/4	1	1	viio7/V
40	40	3/8	0	1	1	V(64)
40	40	3/8	1/4	1	1	V7
41	41	3/8	0	1	1	#viio43/ii
41	41	3/8	1/8	1	1	ii6
41	41	3/8	1/4	1	1	viio7/V
42	42	3/8	0	1	1	V(64)
42	42	3/8	1/4	1	1	V7
43	43	3/8	0	1	1	I}
43	43	3/8	1/4	1	1	V7
44	44	3/8	0	1	1	I
44	44	3/8	1/8	1	1	I6
44	44	3/8	1/4	1	1	V7
45	45	3/8	0	1	1	I
47	47	3/8	0	1	1	{
48	48	3/8	1/8	1	1	I.V(64)
48	48	3/8	1/4	1	1	V7
49	49	3/8	0	1	1	V(64)
50	50	3/8	1/8	1	1	V7
50	50	3/8	1/4	1	1	V(6#4)
51	51	3/8	0	1	1	V7
52	52	3/8	1/8	1	1	V(64)
52	52	3/8	1/4	1	1	V
53	53	3/8	0	1	1	viio7/V
