mc	mn	timesig	onset	staff	voice	label
1	1	3/4	0	1	1	.A.I{
3	3	3/4	1/2	1	1	vi6
4	4	3/4	0	1	1	V7/V
4	4	3/4	1/4	1	1	V
6	6	3/4	0	1	1	V7
7	7	3/4	0	1	1	V(64)
8	8	3/4	0	1	1	ii6
10	10	3/4	0	1	1	V7
10	10	3/4	1/4	1	1	I}
11	11	3/4	0	1	1	V.I{
12	12	3/4	0	1	1	V7
13	13	3/4	0	1	1	I
14	14	3/4	0	1	1	V7
15	15	3/4	0	1	1	I
17	17	3/4	0	1	1	ii6
17	17	3/4	1/4	1	1	V(64)
17	17	3/4	1/2	1	1	V7
18	18	3/4	0	1	1	I}
19	19	3/4	0	1	1	I.iv/ii
20	20	3/4	0	1	1	V(4)/ii
20	20	3/4	1/4	1	1	V/ii
21	21	3/4	0	1	1	V(64)/ii
22	22	3/4	0	1	1	V7(6)/ii
22	22	3/4	1/4	1	1	V7/ii
23	23	3/4	0	1	1	ii
23	23	3/4	1/4	1	1	iio
24	24	3/4	0	1	1	V(4)
24	24	3/4	1/4	1	1	V
25	25	3/4	0	1	1	V(64)
26	26	3/4	0	1	1	V7(6)
26	26	3/4	1/4	1	1	V7
27	27	3/4	0	1	1	i
27	27	3/4	1/2	1	1	i2
28	28	3/4	0	1	1	.Ger6
30	30	3/4	0	1	1	V}
31	31	3/4	0	1	1	I{
33	33	3/4	1/2	1	1	vi6
34	34	3/4	0	1	1	V7/V
34	34	3/4	1/4	1	1	V
36	36	3/4	0	1	1	V7
37	37	3/4	0	1	1	V(64)
38	38	3/4	1/4	1	1	V43/IV
39	39	3/4	0	1	1	IV
40	40	3/4	0	1	1	I6
40	40	3/4	3/16	1	1	IV
40	40	3/4	1/4	1	1	V(64)}
40	40	3/4	1/2	1	1	V
41	41	3/4	0	1	1	I{
42	42	3/4	0	1	1	V7
43	43	3/4	0	1	1	I
44	44	3/4	0	1	1	V7
45	45	3/4	0	1	1	I
45	45	3/4	1/4	1	1	IV6
45	45	3/4	1/2	1	1	IV
46	46	3/4	0	1	1	I6
47	47	3/4	0	1	1	IV
