mc	mn	timesig	onset	staff	voice	label
1	0	3/4	0	1	1	.F.V{
2	1	3/4	0	1	1	I
2	1	3/4	1/2	1	1	V7
3	2	3/4	0	1	1	vi(64)
3	2	3/4	1/4	1	1	vi
3	2	3/4	3/8	1	1	I6
3	2	3/4	1/2	1	1	V64
3	2	3/4	5/8	1	1	I
4	3	3/4	0	1	1	IV6
4	3	3/4	1/8	1	1	IV
4	3	3/4	1/4	1	1	I6
4	3	3/4	1/2	1	1	viio6/V
5	4	3/4	0	1	1	V(64)}
5	4	3/4	1/4	1	1	V
5	4	3/4	3/8	1	1	{
6	5	3/4	0	1	1	V.V65
6	5	3/4	1/2	1	1	I
7	6	3/4	0	1	1	V43
7	6	3/4	1/4	1	1	I6
8	7	3/4	0	1	1	ii6
8	7	3/4	1/4	1	1	V(64)
8	7	3/4	1/2	1	1	V7
9	8	3/4	0	1	1	I}
10	8	3/4	0	1	1	I.V{
11	9	3/4	0	1	1	#viio43(2)/ii
11	9	3/4	1/4	1	1	#viio43/ii
11	9	3/4	1/2	1	1	ii6
11	9	3/4	5/8	1	1	V43/ii
12	10	3/4	0	1	1	ii(9#74)
12	10	3/4	1/4	1	1	ii
12	10	3/4	3/8	1	1	viio43
12	10	3/4	1/2	1	1	I6
12	10	3/4	5/8	1	1	V43
13	11	3/4	0	1	1	I
13	11	3/4	1/8	1	1	IV6
13	11	3/4	1/4	1	1	I6
13	11	3/4	1/2	1	1	IV
13	11	3/4	5/8	1	1	ii
14	12	3/4	0	1	1	V(64)}
14	12	3/4	1/4	1	1	V
14	12	3/4	3/8	1	1	{
15	13	3/4	0	1	1	V7
15	13	3/4	1/4	1	1	V65
15	13	3/4	3/8	1	1	I
15	13	3/4	1/2	1	1	V64
15	13	3/4	5/8	1	1	I6
16	14	3/4	0	1	1	V2(4)
16	14	3/4	1/4	1	1	V2
16	14	3/4	3/8	1	1	V65/IV
18	16	3/4	0	1	1	IV(#9)
18	16	3/4	1/4	1	1	IV
19	17	3/4	0	1	1	I(64)
19	17	3/4	1/4	1	1	I
20	18	3/4	0	1	1	V6
20	18	3/4	1/4	1	1	V65
20	18	3/4	3/8	1	1	V2
20	18	3/4	1/2	1	1	I6
20	18	3/4	5/8	1	1	V43
21	19	3/4	0	1	1	I
21	19	3/4	1/4	1	1	V(64)
21	19	3/4	1/2	1	1	V7
22	20	3/4	0	1	1	I}
23	20	3/4	0	1	1	i.i[i{
24	21	3/4	3/8	1	1	iio6
24	21	3/4	5/8	1	1	#viio6
25	22	3/4	0	1	1	i]
26	23	3/4	0	1	1	V6
26	23	3/4	5/8	1	1	#viio
27	24	3/4	0	1	1	i(94)
27	24	3/4	1/8	1	1	i
28	25	3/4	0	1	1	VI6(2)
28	25	3/4	1/8	1	1	VI6
29	26	3/4	0	1	1	.bIII.V65
30	27	3/4	0	1	1	I
30	27	3/4	1/8	1	1	ii6
30	27	3/4	1/4	1	1	V(64)
30	27	3/4	1/2	1	1	V7(4)
30	27	3/4	5/8	1	1	V7
31	28	3/4	0	1	1	I}
32	28	3/4	0	1	1	{
33	29	3/4	1/2	1	1	V43/V
34	30	3/4	0	1	1	V(64)
34	30	3/4	1/4	1	1	V6
34	30	3/4	3/8	1	1	i.V65
34	30	3/4	1/2	1	1	i
35	31	3/4	0	1	1	VIM7
35	31	3/4	3/8	1	1	VI
35	31	3/4	1/2	1	1	iio64
35	31	3/4	5/8	1	1	.It6
36	32	3/4	0	1	1	V(64)}
36	32	3/4	1/4	1	1	V
36	32	3/4	3/8	1	1	{
36	32	3/4	1/2	1	1	i6
37	33	3/4	0	1	1	iv(6)
37	33	3/4	1/8	1	1	iv
37	33	3/4	1/4	1	1	viio/V
37	33	3/4	3/8	1	1	V
37	33	3/4	1/2	1	1	i64
38	34	3/4	0	1	1	VI(4)
38	34	3/4	1/8	1	1	VI
38	34	3/4	1/4	1	1	V7/iv
39	35	3/4	0	1	1	iv
39	35	3/4	1/8	1	1	iio6
39	35	3/4	1/4	1	1	V(64)
39	35	3/4	1/2	1	1	V7
40	36	3/4	0	1	1	i[i}
41	36	3/4	0	1	1	{
42	37	3/4	3/8	1	1	iio6
42	37	3/4	5/8	1	1	#viio6
43	38	3/4	0	1	1	i
44	39	3/4	0	1	1	#viio(64)
44	39	3/4	3/8	1	1	#viio
44	39	3/4	1/2	1	1	#viio7
44	39	3/4	5/8	1	1	V2
45	40	3/4	0	1	1	i]}
46	40	3/4	0	1	1	I.V{
47	41	3/4	0	1	1	I
47	41	3/4	1/2	1	1	V7
48	42	3/4	0	1	1	vi(64)
48	42	3/4	1/4	1	1	vi
48	42	3/4	3/8	1	1	I6
48	42	3/4	1/2	1	1	V64
48	42	3/4	5/8	1	1	I
49	43	3/4	0	1	1	IV6
