mc	mn	timesig	onset	staff	voice	label
1	0	3/4	0	1	1	.Bb.I6{
3	2	3/4	0	1	1	V2
5	4	3/4	0	1	1	I6
5	4	3/4	1/2	1	1	I
6	5	3/4	0	1	1	V[I6
6	5	3/4	1/4	1	1	V7
6	5	3/4	1/2	1	1	I
7	6	3/4	0	1	1	I6
7	6	3/4	1/4	1	1	V7
7	6	3/4	1/2	1	1	I
8	7	3/4	0	1	1	I6]
10	9	3/4	0	1	1	V.V(64)
10	9	3/4	1/2	1	1	V7
11	10	3/4	0	1	1	I}
11	10	3/4	1/2	1	1	IV{
12	11	3/4	0	1	1	I
12	11	3/4	1/2	1	1	viio64
13	12	3/4	0	1	1	I}
14	12	3/4	0	1	1	I.viio43/ii{
15	13	3/4	0	1	1	II6
15	13	3/4	1/4	1	1	viio43
15	13	3/4	1/2	1	1	I6
16	14	3/4	0	1	1	viio6/V
16	14	3/4	1/4	1	1	viio7
16	14	3/4	1/2	1	1	I
17	15	3/4	0	1	1	ii6
17	15	3/4	1/2	1	1	viio7/V
18	16	3/4	0	1	1	V
18	16	3/4	1/4	1	1	V2
18	16	3/4	1/2	1	1	I6
19	17	3/4	0	1	2	viio
19	17	3/4	1/4	1	2	I
19	17	3/4	1/2	1	2	vii%7/V
20	18	3/4	1/2	1	1	I6{
20	18	3/4	0	1	2	V(64)}
20	18	3/4	1/4	1	2	V
21	19	3/4	0	1	2	I
22	20	3/4	0	1	2	V65
23	21	3/4	0	1	2	viio6
24	22	3/4	0	1	2	I
25	23	3/4	0	1	2	V[I6
25	23	3/4	1/4	1	2	V7
25	23	3/4	1/2	1	2	I
26	24	3/4	0	1	2	I6
26	24	3/4	1/4	1	2	V7
26	24	3/4	1/2	1	2	I
27	25	3/4	0	1	2	I6]
29	27	3/4	0	1	1	V(64)
29	27	3/4	1/2	1	2	V7
30	28	3/4	0	1	2	I}
30	28	3/4	1/2	1	2	IV{
31	29	3/4	0	1	2	I
31	29	3/4	1/2	1	2	viio64
32	30	3/4	1/2	1	1	vi
32	30	3/4	0	1	2	I
33	31	3/4	0	1	2	IV
33	31	3/4	1/4	1	2	ii
33	31	3/4	1/2	1	2	V7
34	32	3/4	0	1	2	I}
35	32	3/4	0	1	1	IV.V[V{
36	33	3/4	0	1	1	I
37	34	3/4	0	1	1	V7(4)
37	34	3/4	1/4	1	1	V7
38	35	3/4	0	1	1	I
39	36	3/4	0	1	1	V7]
40	37	3/4	0	1	1	I
40	37	3/4	1/2	1	1	V65/IV
41	38	3/4	0	1	1	IV
41	38	3/4	1/2	1	1	#viio43/ii
42	39	3/4	0	1	1	ii6
42	39	3/4	1/2	1	1	vii%7/V
43	40	3/4	0	1	1	V(64)}
43	40	3/4	1/4	1	1	V
43	40	3/4	1/2	1	1	I.I{
44	41	3/4	0	1	1	V43
44	41	3/4	1/4	1	1	V2
45	42	3/4	0	1	1	I6
45	42	3/4	1/4	1	1	I
46	43	3/4	0	1	1	V43
46	43	3/4	1/4	1	1	V2
47	44	3/4	0	1	1	I6
47	44	3/4	1/4	1	1	I
48	45	3/4	1/4	1	1	I6
49	46	3/4	1/4	1	1	ii65
49	46	3/4	1/2	1	1	V65/V
50	47	3/4	0	1	1	V(64)
50	47	3/4	1/2	1	1	V7
51	48	3/4	0	1	1	I}
52	48	3/4	0	1	1	{
53	49	3/4	0	1	1	I[ii6
53	49	3/4	1/2	1	1	I
54	50	3/4	0	1	1	IV6
54	50	3/4	1/2	1	1	I
55	51	3/4	0	1	1	IV
55	51	3/4	1/2	1	1	viio6
56	52	3/4	0	1	1	I]}
56	52	3/4	1/2	1	1	{
57	53	3/4	0	1	1	IV.bVI
58	54	3/4	5/8	1	1	.It6
59	55	3/4	0	1	1	V[V}
60	56	3/4	1/2	1	1	{
61	57	3/4	0	1	1	I
62	58	3/4	0	1	1	V7(4)
62	58	3/4	1/4	1	1	V7
63	59	3/4	0	1	1	I
64	60	3/4	0	1	1	V7]
65	61	3/4	0	1	1	I
65	61	3/4	1/2	1	1	V65/IV
66	62	3/4	0	1	1	IV
66	62	3/4	1/2	1	1	#viio43/ii
67	63	3/4	0	1	1	ii6
67	63	3/4	1/2	1	1	vii%7/V
68	64	3/4	0	1	1	V(64)}
68	64	3/4	1/4	1	1	V
68	64	3/4	1/2	1	1	I{
69	65	3/4	0	1	1	V43
69	65	3/4	1/4	1	1	V2
70	66	3/4	0	1	1	I6
70	66	3/4	1/4	1	1	I
71	67	3/4	0	1	1	V43
71	67	3/4	1/4	1	1	V2
72	68	3/4	0	1	1	I6
72	68	3/4	1/4	1	1	I
73	69	3/4	1/4	1	1	I6
74	70	3/4	1/4	1	1	ii65
74	70	3/4	1/2	1	1	V65/V
75	71	3/4	0	1	1	V(64)
75	71	3/4	1/2	1	1	V7
76	72	3/4	0	1	1	I}
