mc	mn	timesig	onset	staff	voice	label
1	1	3/4	0	1	1	.Bb.I{
1	1	3/4	1/4	1	1	viio6
1	1	3/4	1/2	1	1	I6
2	2	3/4	0	1	1	viio65/V
2	2	3/4	1/4	1	1	V64/V
2	2	3/4	1/2	1	1	V43/V
3	3	3/4	0	1	1	V(4)
3	3	3/4	1/4	1	1	V
3	3	3/4	5/8	1	1	IV6
4	4	3/4	0	1	1	V65
4	4	3/4	1/4	1	1	I}
4	4	3/4	1/2	1	1	{
5	5	3/4	0	1	1	ii(9#74)
5	5	3/4	1/4	1	1	ii
6	6	3/4	0	1	1	viio6
6	6	3/4	1/4	1	1	I6
7	7	3/4	0	1	1	ii6(11#72)
7	7	3/4	1/4	1	1	ii6
8	8	3/4	0	1	1	V7
8	8	3/4	1/4	1	1	I
8	8	3/4	1/2	1	1	V6
9	9	3/4	0	1	1	vi
9	9	3/4	1/2	1	1	V43/V
10	10	3/4	0	1	1	V(974)}
10	10	3/4	1/4	1	1	V
11	11	3/4	0	1	1	I{
11	11	3/4	1/4	1	1	viio6
11	11	3/4	1/2	1	1	I6
12	12	3/4	0	1	1	viio65/V
12	12	3/4	1/4	1	1	V64/V
12	12	3/4	1/2	1	1	V43/V
13	13	3/4	0	1	1	V(4)
13	13	3/4	1/4	1	1	V
13	13	3/4	5/8	1	1	IV6
14	14	3/4	0	1	1	V65
14	14	3/4	1/4	1	1	I}
14	14	3/4	1/2	1	1	{
15	15	3/4	0	1	1	ii(9#74)
15	15	3/4	1/4	1	1	ii
16	16	3/4	0	1	1	viio6
16	16	3/4	1/4	1	1	I6
17	17	3/4	0	1	1	ii(11#72)
17	17	3/4	1/4	1	1	ii
18	18	3/4	0	1	1	V7
18	18	3/4	1/4	1	1	I
18	18	3/4	1/2	1	1	V6
19	19	3/4	0	1	1	V.V43
20	20	3/4	0	1	1	V43/ii
21	21	3/4	0	1	1	ii6
22	22	3/4	0	1	1	V(64)}
22	22	3/4	1/4	1	1	V
23	23	3/4	0	1	1	I{
24	24	3/4	0	1	1	V(64)
25	25	3/4	0	1	1	viio6
26	26	3/4	0	1	1	V7
27	27	3/4	0	1	1	#viio6/ii
28	28	3/4	0	1	1	#viio43/ii
29	29	3/4	0	1	1	.bvii64
30	30	3/4	0	1	1	viio2/V
31	31	3/4	0	1	1	I6
31	31	3/4	1/2	1	1	IV
32	32	3/4	0	1	1	V(64)
32	32	3/4	1/2	1	1	V7
33	33	3/4	0	1	1	I[I}{
33	33	3/4	1/2	1	1	V43
34	34	3/4	0	1	1	I
34	34	3/4	1/2	1	1	V2
35	35	3/4	0	1	1	V43
35	35	3/4	1/4	1	1	I}
35	35	3/4	1/2	1	1	V43{
36	36	3/4	0	1	1	I
36	36	3/4	1/2	1	1	V2
37	37	3/4	0	1	1	I(764)}
37	37	3/4	1/4	1	1	I
38	38	3/4	0	1	1	i(#7b64)
38	38	3/4	1/4	1	1	i]
39	39	3/4	0	1	1	vii%7/bIII{
39	39	3/4	1/4	1	1	V65/bIII
40	40	3/4	0	1	1	.bIII
40	40	3/4	1/2	1	1	.bII6
41	41	3/4	0	1	1	V(b64)
41	41	3/4	1/8	1	1	V(64)
41	41	3/4	1/4	1	1	V7(4)
41	41	3/4	1/2	1	1	V(b64)
41	41	3/4	5/8	1	1	V7
42	42	3/4	0	1	1	I}{
42	42	3/4	1/2	1	1	ii6
43	43	3/4	0	1	1	V(64)
43	43	3/4	1/2	1	1	V7
44	44	3/4	0	1	1	I
44	44	3/4	1/4	1	1	V65/vi
44	44	3/4	1/2	1	1	vi
44	44	3/4	5/8	1	1	viio7/V
45	45	3/4	0	1	1	V(64)
45	45	3/4	1/2	1	1	V7
46	46	3/4	0	1	1	I(974)}
46	46	3/4	1/4	1	1	I
47	47	3/4	0	1	1	I{
48	48	3/4	0	1	1	I.V65/iii
49	49	3/4	0	1	1	iii
50	50	3/4	0	1	1	V65
51	51	3/4	0	1	1	I
52	52	3/4	0	1	1	V2
53	53	3/4	0	1	1	I6
54	54	3/4	0	1	1	V2/vi
55	55	3/4	0	1	1	vi6
55	55	3/4	1/2	1	1	#viio7/ii
56	56	3/4	0	1	1	ii
56	56	3/4	1/4	1	1	#viio7/iii
57	57	3/4	0	1	1	iii6
57	57	3/4	1/4	1	1	iii64
57	57	3/4	1/2	1	1	V2/vi
58	58	3/4	0	1	1	vi6
58	58	3/4	1/4	1	1	viio2/V/iii
58	58	3/4	1/2	1	1	V2/V/iii
59	59	3/4	0	1	1	V6/iii}
59	59	3/4	1/2	1	1	iii6{
60	60	3/4	0	1	1	viio(2)/V
60	60	3/4	1/4	1	1	viio/V
