mc	mn	timesig	onset	staff	voice	label
1	1	2/2	0	1	1	.Bb.I{
1	1	2/2	1/2	1	1	I6
1	1	2/2	3/4	1	1	vi
2	2	2/2	0	1	1	ii
2	2	2/2	1/2	1	1	V
2	2	2/2	3/4	1	1	viio64
3	3	2/2	0	1	1	I6
3	3	2/2	1/4	1	1	V6
3	3	2/2	1/2	1	1	I
3	3	2/2	3/4	1	1	ii6
4	4	2/2	0	1	1	V(64)}
4	4	2/2	1/2	1	1	V
5	5	2/2	0	1	1	I{
5	5	2/2	1/2	1	1	I6
5	5	2/2	3/4	1	1	vi
6	6	2/2	0	1	1	ii
6	6	2/2	1/2	1	1	V
6	6	2/2	3/4	1	1	viio64
7	7	2/2	0	1	1	I6
7	7	2/2	1/4	1	1	ii6
7	7	2/2	1/2	1	1	V(64)
7	7	2/2	3/4	1	1	V
8	8	2/2	0	1	1	I}
9	9	2/2	0	1	1	{
9	9	2/2	1/2	1	1	vi
10	10	2/2	0	1	1	ii6
10	10	2/2	1/2	1	1	V7
11	11	2/2	0	1	1	I6
11	11	2/2	1/4	1	1	V6
11	11	2/2	1/2	1	1	I
11	11	2/2	3/4	1	1	ii6
12	12	2/2	0	1	1	V(64)}
12	12	2/2	1/2	1	1	V
13	13	2/2	0	1	1	I{
13	13	2/2	1/2	1	1	vi
14	14	2/2	0	1	1	ii6
14	14	2/2	1/2	1	1	V7
15	15	2/2	0	1	1	I6
15	15	2/2	1/4	1	1	ii65
15	15	2/2	1/2	1	1	V(64)
15	15	2/2	3/4	1	1	V7
16	16	2/2	0	1	1	I}
16	16	2/2	3/8	1	1	{
17	17	2/2	1/2	1	1	vi
17	17	2/2	3/4	1	1	ii6
18	18	2/2	0	1	1	V
19	19	2/2	0	1	1	V7
19	19	2/2	1/4	1	1	ii
19	19	2/2	1/2	1	1	viio
19	19	2/2	3/4	1	1	V
20	20	2/2	0	1	1	I}
20	20	2/2	3/8	1	1	{
21	21	2/2	0	1	1	V.I6
21	21	2/2	1/2	1	1	I
22	22	2/2	0	1	1	viio6
22	22	2/2	1/2	1	1	viio
23	23	2/2	0	1	1	I
24	24	2/2	0	1	1	V(64)}
24	24	2/2	1/4	1	1	V
24	24	2/2	1/2	1	1	V2{
25	25	2/2	0	1	1	I6
25	25	2/2	1/2	1	1	V2
26	26	2/2	0	1	1	I6
26	26	2/2	1/2	1	1	V2
27	27	2/2	0	1	1	I6
27	27	2/2	1/2	1	1	V2
28	28	2/2	0	1	1	I6
28	28	2/2	1/2	1	1	V2
29	29	2/2	0	1	1	I6
30	30	2/2	0	1	1	IV
30	30	2/2	3/4	1	1	ii65
31	31	2/2	0	1	1	V(64)
31	31	2/2	1/2	1	1	V7
32	32	2/2	0	1	1	I}{
32	32	2/2	3/8	1	1	viio6
32	32	2/2	1/2	1	1	I6
32	32	2/2	7/8	1	1	V+6/IV
33	33	2/2	0	1	1	IV
33	33	2/2	1/2	1	1	ii6
34	34	2/2	0	1	1	V(64)
35	35	2/2	0	1	1	V7
36	36	2/2	0	1	1	I}
37	37	2/2	0	1	1	I.vi2
37	37	2/2	3/4	1	1	V(#4#2)
38	38	2/2	0	1	1	V
38	38	2/2	1/4	1	1	V+
38	38	2/2	1/2	1	1	V64
38	38	2/2	3/4	1	1	#viio64/ii
39	39	2/2	0	1	1	V7
41	41	2/2	0	1	1	I{
41	41	2/2	1/2	1	1	I6
41	41	2/2	3/4	1	1	vi
42	42	2/2	0	1	1	ii
42	42	2/2	1/2	1	1	V
42	42	2/2	3/4	1	1	viio64
43	43	2/2	0	1	1	I6
43	43	2/2	1/4	1	1	V6
43	43	2/2	1/2	1	1	I
43	43	2/2	3/4	1	1	ii6
44	44	2/2	0	1	1	V(64)}
44	44	2/2	1/2	1	1	V
45	45	2/2	0	1	1	I{
45	45	2/2	1/2	1	1	I6
45	45	2/2	3/4	1	1	vi
46	46	2/2	0	1	1	ii
46	46	2/2	1/2	1	1	V
46	46	2/2	3/4	1	1	viio64
47	47	2/2	0	1	1	I6
47	47	2/2	1/4	1	1	ii6
47	47	2/2	1/2	1	1	V(64)
47	47	2/2	3/4	1	1	V
48	48	2/2	0	1	1	I}
49	49	2/2	0	1	1	{
49	49	2/2	1/2	1	1	vi
50	50	2/2	0	1	1	ii6
50	50	2/2	1/2	1	1	V7
51	51	2/2	0	1	1	I6
51	51	2/2	1/4	1	1	V6
51	51	2/2	1/2	1	1	I
51	51	2/2	3/4	1	1	ii6
52	52	2/2	0	1	1	V(64)}
52	52	2/2	1/2	1	1	V
53	53	2/2	0	1	1	I{
53	53	2/2	1/2	1	1	vi
54	54	2/2	0	1	1	ii6
54	54	2/2	1/2	1	1	V7
55	55	2/2	0	1	1	I6
55	55	2/2	1/4	1	1	ii6
55	55	2/2	1/2	1	1	V(64)
55	55	2/2	3/4	1	1	V7
56	56	2/2	0	1	1	I}
56	56	2/2	3/8	1	1	{
57	57	2/2	1/2	1	1	vi
57	57	2/2	3/4	1	1	ii6
58	58	2/2	0	1	1	V
59	59	2/2	0	1	1	V7
59	59	2/2	1/4	1	1	ii
59	59	2/2	1/2	1	1	viio
59	59	2/2	3/4	1	1	V
60	60	2/2	0	1	1	I}
60	60	2/2	3/8	1	1	{
62	62	2/2	0	1	1	vi.#viio65
62	62	2/2	1/2	1	1	V7
63	63	2/2	0	1	1	VI
63	63	2/2	1/2	1	1	.Ger6
64	64	2/2	0	1	1	V}
64	64	2/2	7/16	1	1	{
65	65	2/2	0	1	1	i
66	66	2/2	0	1	1	iv64
68	68	2/2	0	1	1	i
69	69	2/2	0	1	1	#viio65
69	69	2/2	1/4	1	1	i6
70	70	2/2	0	1	1	#viio65
70	70	2/2	1/4	1	1	i6
71	71	2/2	0	1	1	VI
71	71	2/2	3/4	1	1	.It6
72	72	2/2	0	1	1	V}
73	73	2/2	0	1	1	v
74	74	2/2	0	1	1	IV.V6
75	75	2/2	0	1	1	V7
76	76	2/2	0	1	1	I{
76	76	2/2	1/2	1	1	I6
76	76	2/2	3/4	1	1	V2
77	77	2/2	0	1	1	I6
77	77	2/2	1/4	1	1	V6
77	77	2/2	1/2	1	1	I
77	77	2/2	3/4	1	1	V43
78	78	2/2	0	1	1	V
78	78	2/2	1/2	1	1	V6
79	79	2/2	1/2	1	1	V43
79	79	2/2	3/4	1	1	V6
80	80	2/2	0	1	1	I}
80	80	2/2	3/8	1	1	{
80	80	2/2	3/4	1	1	I6
81	81	2/2	1/4	1	1	IV
81	81	2/2	3/4	1	1	IV6
82	82	2/2	0	1	1	V(64)
82	82	2/2	3/4	1	1	I6
83	83	2/2	1/4	1	1	IV
83	83	2/2	3/4	1	1	IV6
84	84	2/2	0	1	1	V(64)
84	84	2/2	1/2	1	1	viio6/V
85	85	2/2	1/4	1	1	V+6/IV
85	85	2/2	1/2	1	1	IV
85	85	2/2	3/4	1	1	viio6
86	86	2/2	0	1	1	I6
86	86	2/2	1/2	1	1	V43
86	86	2/2	3/4	1	1	I
87	87	2/2	0	1	1	V65}
87	87	2/2	7/8	1	1	{
88	88	2/2	0	1	1	I
88	88	2/2	1/4	1	1	ii6
88	88	2/2	1/2	1	1	V(64)
88	88	2/2	3/4	1	1	V
89	89	2/2	0	1	1	V65}
89	89	2/2	7/8	1	1	{
90	90	2/2	0	1	1	I
90	90	2/2	1/4	1	1	ii6
90	90	2/2	1/2	1	1	V(64)}
90	90	2/2	3/4	1	1	V
91	91	2/2	0	1	1	I6{-vi64{
91	91	2/2	1/2	1	1	vi6
92	92	2/2	0	1	1	#viio65/vi
92	92	2/2	1/2	1	1	#viio43/vi
93	93	2/2	0	1	1	vi6
93	93	2/2	1/4	1	1	V6/vi
93	93	2/2	1/2	1	1	vi
93	93	2/2	3/4	1	1	V64/vi
94	94	2/2	0	1	1	vi6
94	94	2/2	1/4	1	1	V6/vi
94	94	2/2	1/2	1	1	vi}
95	95	2/2	0	1	1	i.I6
96	96	2/2	0	1	1	#viio65
96	96	2/2	1/2	1	1	#viio43
97	97	2/2	0	1	1	i
97	97	2/2	1/4	1	1	V6
97	97	2/2	1/2	1	1	i
97	97	2/2	3/4	1	1	V64
98	98	2/2	0	1	1	i
98	98	2/2	1/4	1	1	V6
98	98	2/2	1/2	1	1	i
99	99	2/2	0	1	1	V43/VI
99	99	2/2	1/2	1	1	VI
100	100	2/2	0	1	1	V43/iv
100	100	2/2	1/2	1	1	iv
101	101	2/2	0	1	1	V(64)
101	101	2/2	1/2	1	1	.Ger6
103	103	2/2	0	1	1	V[V}
103	103	2/2	1/2	1	1	i
104	104	2/2	0	1	1	V
104	104	2/2	1/2	1	1	i
105	105	2/2	0	1	1	V
105	105	2/2	1/4	1	1	i
105	105	2/2	1/2	1	1	V
105	105	2/2	3/4	1	1	viio64/V
106	106	2/2	0	1	1	V
