mc	mn	timesig	onset	staff	voice	label
1	1	4/4	0	1	1	.Eb.I{
1	1	4/4	1/2	1	1	V6
1	1	4/4	3/4	1	1	vi
1	1	4/4	7/8	1	1	viio6/V
2	2	4/4	0	1	1	V
2	2	4/4	1/2	1	1	V2/ii
2	2	4/4	3/4	1	1	ii6
3	3	4/4	0	1	1	V2
3	3	4/4	1/4	1	1	I6
3	3	4/4	1/2	1	1	ii7(4)
3	3	4/4	3/4	1	1	V7
4	4	4/4	0	1	1	I}{
5	5	4/4	0	1	1	viio6(9)
5	5	4/4	1/4	1	1	viio6
6	6	4/4	0	1	1	I6(9)
6	6	4/4	1/4	1	1	I6
6	6	4/4	1/2	1	1	i6
7	7	4/4	0	1	1	V.V7
7	7	4/4	1/2	1	1	viio7/V
8	8	4/4	0	1	1	V}
8	8	4/4	1/2	1	1	V(#7b64)
8	8	4/4	3/4	1	1	V
9	9	4/4	0	1	1	I{
9	9	4/4	1/2	1	1	V43
10	10	4/4	0	1	1	I
10	10	4/4	1/2	1	1	V43
11	11	4/4	0	1	1	I
11	11	4/4	3/8	1	1	V43
11	11	4/4	1/2	1	1	I6
12	12	4/4	0	1	1	ii6
12	12	4/4	1/2	1	1	V(64)
12	12	4/4	3/4	1	1	V7
13	13	4/4	0	1	1	vi
13	13	4/4	1/2	1	1	I6
14	14	4/4	0	1	1	ii65
14	14	4/4	3/8	1	1	V65/V
14	14	4/4	1/2	1	1	V(64)
14	14	4/4	3/4	1	1	V7
15	15	4/4	0	1	1	I}
15	15	4/4	1/4	1	1	V7
15	15	4/4	1/2	1	1	I
15	15	4/4	13/16	1	1	I.V7
16	16	4/4	0	1	1	#viio2/ii{
16	16	4/4	1/2	1	1	V7/ii
17	17	4/4	0	1	1	II64
17	17	4/4	3/8	1	1	ii64
17	17	4/4	1/2	1	1	IV6
17	17	4/4	3/4	1	1	iv6
18	18	4/4	0	1	1	V7
19	19	4/4	0	1	1	I
19	19	4/4	1/4	1	1	V2/IV
19	19	4/4	1/2	1	1	IV6
19	19	4/4	3/4	1	1	.It6
20	20	4/4	0	1	1	V[V}
20	20	4/4	1/4	1	1	viio6/V
20	20	4/4	1/2	1	1	V
20	20	4/4	3/4	1	1	viio6/V
21	21	4/4	0	1	1	viio64/V
21	21	4/4	1/4	1	1	V]
22	22	4/4	0	1	1	I{
22	22	4/4	1/2	1	1	V2/IV
23	23	4/4	0	1	1	IV6
23	23	4/4	1/2	1	1	I6
23	23	4/4	3/4	1	1	V65/IV
24	24	4/4	0	1	1	IV
24	24	4/4	1/2	1	1	V2
25	25	4/4	0	1	1	I6
25	25	4/4	1/2	1	1	viio7/V
26	26	4/4	0	1	1	V}
26	26	4/4	1/2	1	1	V(#7b64)
26	26	4/4	3/4	1	1	V
27	27	4/4	0	1	1	I{
27	27	4/4	1/2	1	1	V43
28	28	4/4	0	1	1	I
28	28	4/4	1/2	1	1	V43
29	29	4/4	0	1	1	I
29	29	4/4	3/8	1	1	viio6
29	29	4/4	1/2	1	1	I6
30	30	4/4	0	1	1	ii6
30	30	4/4	1/2	1	1	V(64)
30	30	4/4	3/4	1	1	V7
31	31	4/4	0	1	1	vi
31	31	4/4	1/2	1	1	I6
32	32	4/4	0	1	1	ii65
32	32	4/4	3/8	1	1	V65/V
32	32	4/4	1/2	1	1	V(64)
32	32	4/4	3/4	1	1	V7
33	33	4/4	0	1	1	I}
33	33	4/4	1/4	1	1	V
33	33	4/4	1/2	1	1	I
34	34	4/4	0	1	1	{
34	34	4/4	1/2	1	1	V6
34	34	4/4	3/4	1	1	vi
34	34	4/4	7/8	1	1	viio6/V
35	35	4/4	0	1	1	V(4)
35	35	4/4	1/8	1	1	V
35	35	4/4	1/4	1	1	vii%7
35	35	4/4	1/2	1	1	I
35	35	4/4	3/4	1	1	ii6
36	36	4/4	0	1	1	V(64)
36	36	4/4	3/8	1	1	V7
36	36	4/4	1/2	1	1	I(974)}
36	36	4/4	3/4	1	1	I
